"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.5562571235698,7039.05306305218,304
"2002/2003",2003,120,120,100,84.1836039982852,6097.23498177773,418
"2003/2004",2004,120,120,100,84.9504012522098,3518.20087674414,576
"2004/2005",2005,121,121,100,88.0625001860096,4518.14293718035,298
"2005/2006",2006,120,120,100,87.4833225072433,6410.43367515382,154
"2006/2007",2007,120,120,100,83.7855282464169,5503.55260846613,422
"2007/2008",2008,120,120,100,80.6968931967139,3667.64818411169,583
"2008/2009",2009,121,121,100,84.7504021423333,4428.25188368215,489
"2009/2010",2010,120,120,100,86.8846390743647,4918.94444350235,364
"2010/2011",2011,120,120,100,88.0501009971147,4459.9298366647,173
"2011/2012",2012,120,120,100,86.3665222799732,4080.60191764589,298
"2012/2013",2013,121,121,100,85.689127338225,5016.14666071639,548
"2013/2014",2014,120,120,100,83.5371917312366,3673.50178364757,434
"2014/2015",2015,120,120,100,70.5012792611885,5413.8301356578,996
"2015/2016",2016,120,120,100,87.2502290815053,5267.71279687562,314
"2016/2017",2017,121,121,100,77.615316623428,6675.34496941976,523
"2017/2018",2018,120,120,100,77.6620548535379,5873.87210674607,583
"2018/2019",2019,120,120,100,78.0810794526824,3798.97387227602,745
"2019/2020",2020,120,120,100,83.1365389078564,6172.49751313101,362
"2020/2021",2021,121,121,100,86.0542268971381,6813.89669303154,271
"2021/2022",2022,120,120,100,78.9227606722034,3697.50333293853,759
"2022/2023",2023,120,120,100,80.5523427226594,5497.32823104807,468
"2023/2024",2024,120,120,100,87.4596610909398,6150.14249370224,218
"2024/2025",2025,121,121,100,89.4882211462359,5415.88414193876,155
"2025/2026",2026,120,120,100,86.6361325125163,5231.20488322852,306
"2026/2027",2027,120,120,100,77.2643951965792,2646.48212535656,887
"2027/2028",2028,120,120,100,83.8676437801769,4794.05661819596,413
"2028/2029",2029,121,121,100,86.8581020744182,3889.07421596162,528
"2029/2030",2030,120,120,100,82.8617376336497,4475.49261313886,474
"2030/2031",2031,120,120,100,85.229853100961,6052.92866020557,375
"2031/2032",2032,120,120,100,81.7602861986288,4772.66168910358,590
"2032/2033",2033,121,121,100,87.006364098479,4467.64883843204,430
"2033/2034",2034,120,120,100,83.8276245208835,3442.07752689812,553
"2034/2035",2035,120,120,100,77.9945908625523,3806.80637551798,709
"2035/2036",2036,120,120,100,83.7167310090681,5137.62307427311,362
"2036/2037",2037,121,121,100,85.7640027574898,5431.65605959902,354
"2037/2038",2038,120,120,100,82.8502950403781,2598.83621243853,677
"2038/2039",2039,120,120,100,80.3133320062616,6296.95094772708,358
"2039/2040",2040,120,120,100,86.3267301552287,7410.44544453872,173
"2040/2041",2041,121,121,100,88.4078864572912,5293.09210726339,300
"2041/2042",2042,120,120,100,88.9364933709794,3520.50012334343,338
"2042/2043",2043,120,120,100,79.1230799928644,9434.27944911504,319
"2043/2044",2044,120,120,100,85.2441209478566,2865.24135331111,585
