"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.9581834057473,185.095915285284,67.741151505452,89.8793927240141,1917.58833156904,1796,1742.76383662857,1802,1804,1368,1789.5,86.0750773897084
"2002/2003",2003,120,120,100,42.7770973799876,176.468391320011,73.557054677031,90.221465428939,1989.52952575839,1857,1776.75278386222,1853,1879.5,1484,1861,84.0104662269459
"2003/2004",2004,120,120,100,50.536137788442,209.479140050229,75.614060958207,98.6021880287784,1968.20507233737,1723.5,1553.54382463987,1821.5,1684,1614,1675,82.0172190526325
"2004/2005",2005,121,121,100,59.1009125628075,252.730937716072,68.9831254064285,96.5802336491069,2232.82953154788,2044.5,1860.63267500029,2103,2035,1846,2022,89.305526744973
"2005/2006",2006,120,120,100,52.2414609784417,228.055531121644,63.8703400357592,90.8481567543875,2129.18144192481,2016,1922.73262907408,2028.5,2011,1590,2000,88.7620834058673
"2006/2007",2007,120,120,100,50.6930120231544,233.038988124672,69.9657993206219,91.9114364108567,2018.47942391727,1861.5,1754.72596839622,1874.5,1890.5,1539,1865.5,83.5844870244701
"2007/2008",2008,120,120,100,52.8136952995129,209.6151547708,79.4390596183496,98.1047396681332,1964.68311826858,1706,1534.71605931265,1843,1664,1603,1661,80.7461275135527
"2008/2009",2009,121,121,100,49.039264064287,244.098096814761,71.9115424255139,96.1257592879042,2020.07406609798,1826.5,1694.20763899207,1889.5,1798,1593,1796,84.4448915639807
"2009/2010",2010,120,120,100,48.2000704549027,199.431367475768,72.1031779318825,93.6081358133066,2055.28683714324,1865.5,1784.45996603353,1909.5,1878,1531,1873,86.7632327038095
"2010/2011",2011,120,120,100,59.3717315762783,236.968226917443,69.6467245262445,95.3578322288303,2260.98102998937,2080,1903.10148138848,2113,2056,1819,2056,89.9019846403971
"2011/2012",2012,120,120,100,60.8679190303717,222.504283647587,72.4179373578834,97.5223637644882,2203.30815873059,1997,1792.74551377517,2096.5,1947,1869,1942,87.4913819770902
"2012/2013",2013,121,121,100,44.5443999731448,198.792320538585,73.2237063559117,96.3555471691072,1955.29044971667,1744.5,1643.54907241948,1795.5,1737,1456,1729,85.7303260074157
