"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.1580369489527,186.431240291153,70.3006999005828,91.5506699718891,1900.01842657464,1738.5,1697.92579147116,1772,1756,1351,1746.5,84.7409017506415
"2002/2003",2003,120,120,100,47.9318891143687,194.743832555188,76.0614949232731,92.151253814292,2016.84849068251,1881.5,1737.67879486206,1886,1864.5,1588,1850.5,83.440353483604
"2003/2004",2004,120,120,100,51.5910456217072,220.020095249151,78.214819992267,100.690873331035,1958.55838970165,1661,1478.44704984133,1820.5,1612,1670,1606,84.2086905750054
"2004/2005",2005,121,121,100,57.1089608761873,241.945934837023,71.9291346330157,97.8194841961945,2170.0287361821,1944.5,1744.12800481798,2034,1912.5,1792,1899.5,87.2183425194851
"2005/2006",2006,120,120,100,53.5585236826237,226.950255572521,66.3144926658515,92.8009707724746,2109.7716315155,1948,1858.09504494321,1980.5,1927.5,1588,1921,88.3351531785128
"2006/2007",2007,120,120,100,52.879457438915,233.232740322293,72.6865389620353,93.4189392007609,2043.05456527928,1892.5,1738.02255058807,1908.5,1900,1597,1887.5,86.0182200967962
"2007/2008",2008,120,120,100,52.9740875211233,204.587806535856,82.4110050187566,99.1669249538834,1891.57183502567,1617.5,1429.67546297696,1766.5,1553,1579,1550,80.0837584099014
"2008/2009",2009,121,121,100,51.3168768014707,242.117798199142,75.0438252051079,96.6000970610491,1980.29853550719,1788,1635.97240239517,1859.5,1760,1588,1758,82.527409274878
"2009/2010",2010,120,120,100,51.7522769596751,209.992557996616,74.5817748362613,95.594921101125,2098.95532636684,1886.5,1761.67911384818,1949.5,1873,1642,1870.5,85.3644201813911
"2010/2011",2011,120,120,100,60.6829238509478,243.084903700222,72.2605107694726,97.3252513899534,2257.38835611704,2038,1840.07562912036,2122.5,1986,1866,1986,88.4245010358529
"2011/2012",2012,120,120,100,59.5255260586244,216.582060692169,75.1276083687324,98.6141909734655,2156.4230286852,1923.5,1718.10998657082,2032,1870,1804,1867,85.006451490392
"2012/2013",2013,121,121,100,47.302257362003,207.852795606623,75.7139682602372,98.6370736629435,1985.14920351277,1742.5,1593.75081323726,1823.5,1707,1556,1702,85.9297359865143
"2013/2014",2014,120,120,100,50.5212748194222,200.771077998797,80.1416949606016,98.6063629965571,1980.18266977491,1694.5,1513.52095148932,1859,1636,1693,1629.5,82.2625602081644
"2014/2015",2015,120,120,100,27.802838587145,118.080865387823,86.9068466738282,95.759398038417,1359.782904391,1088.5,941.262838924531,1237,1039.5,1026,999,68.551260578555
"2015/2016",2016,120,120,100,53.7989357729211,204.969577591802,72.4910637506283,96.1192333148631,2129.77765296822,1926.5,1756.17128050944,1971.5,1892,1675,1887.5,85.9580569877712
"2016/2017",2017,121,121,100,43.4762390847237,199.058311215201,74.4409925325775,94.8208193879808,1834.95300733598,1613,1465.76573244047,1691,1582.5,1429,1551.5,80.5229579079505
