"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.4224723488086,180.996586686624,68.7487783781561,90.3740150371595,1902.61143165473,1767,1726.08465587321,1779.5,1772,1342,1759,84.7434629472338
"2002/2003",2003,120,120,100,44.4858130770906,180.087474856393,74.5429402441601,90.7848213204359,2003.86052165361,1874.5,1777.38892710594,1868.5,1884,1512,1867,83.8964019958104
"2003/2004",2004,120,120,100,51.6227264525969,214.051850018289,76.6657476819981,99.3243891442246,1996.76217444279,1729.5,1553.86853282869,1854,1683.5,1666,1675.5,84.3898729291961
"2004/2005",2005,121,121,100,57.9565397666398,238.659497556601,70.2125915194987,96.7062749233121,2217.90829529585,2024,1845.04577957388,2083,2015.5,1802,2003.5,88.1130416965279
"2005/2006",2006,120,120,100,52.5658915102098,218.904587650478,64.8389754487886,91.2386332691025,2110.72242285874,1989,1904.99886849376,1990.5,1981.5,1561,1971.5,87.8059721668205
"2006/2007",2007,120,120,100,50.8742618219237,223.091071674035,71.0597232320781,92.1016386910344,2043.13502520202,1899,1787.06344177076,1896.5,1920,1548,1900,85.344253300558
"2007/2008",2008,120,120,100,53.2296987466261,202.951645206515,80.4932747549553,98.518453654115,1939.87302817118,1684,1500.33204185101,1815.5,1623.5,1590,1620.5,80.2965499154318
"2008/2009",2009,121,121,100,49.8214022456512,236.674408555296,73.3348268185933,95.9124736744016,2015.66210202476,1825.5,1697.46654890301,1880.5,1814,1591,1812.5,83.8153882178397
"2009/2010",2010,120,120,100,49.7153571813713,199.944271013599,73.1172985316299,94.0670934688805,2094.46256525122,1904,1811.49592789025,1932.5,1908.5,1573,1904.5,85.6289202115836
"2010/2011",2011,120,120,100,58.7839022133299,231.515033388365,70.8113487597262,95.7879861197994,2265.49030907674,2063.5,1899.95118407776,2132.5,2048,1851,2048,89.0821092567071
"2011/2012",2012,120,120,100,59.9812626696629,211.740924520495,73.3828337482883,97.6002662540239,2202.11349822644,2002.5,1798.56882540692,2090,1956.5,1822,1952.5,87.4769986972842
"2012/2013",2013,121,121,100,45.5172217666041,198.285154010679,74.2851104963908,97.1214257496568,1972.61711519739,1742.5,1627.84818536007,1803,1736,1481,1729.5,86.8221456182212
"2013/2014",2014,120,120,100,52.0352950216347,202.584500500412,78.130008750167,98.0335844258331,2039.19306866129,1761,1594.62835947516,1909,1719.5,1743,1712,83.1527869318018
"2014/2015",2015,120,120,100,27.4883699551706,119.634916377632,84.8497685192231,95.4426013738198,1399.52195767303,1123,996.06956390839,1280.5,1085,1057,1046,70.1996110247405
"2015/2016",2016,120,120,100,52.9611645725414,197.826567067028,70.9251091528278,94.5840436965597,2134.10957138922,1954.5,1823.87138653328,1981.5,1960.5,1619,1954.5,88.8026041279118
"2016/2017",2017,121,121,100,41.6927373778076,190.951115289132,72.7683361498616,93.6918220580738,1823.42892170843,1622,1486.41273818347,1694,1579,1412,1549,81.6822421709503
"2017/2018",2018,120,120,100,39.6317235638961,172.179918010121,76.6334701691114,93.2183746537692,1755.6175292058,1546,1456.44568607069,1625.5,1533,1324,1513,77.3546984800314
"2018/2019",2019,120,120,100,46.4084304234241,168.634191814619,86.0561968417421,97.6689973572897,1835.87513947686,1581,1381.52154072097,1725,1536,1537,1518.5,77.0549943414098
"2019/2020",2020,120,120,100,42.8447388217296,195.357704014383,69.7571912228137,93.2243033644412,1937.10300228979,1736,1642.45524368363,1816.5,1692.5,1466,1681,84.3798595254007
"2020/2021",2021,121,121,100,46.0366577890032,206.449375768623,66.2113539488797,91.9723250366343,2054.04673180917,1894.5,1824.65335869014,1897,1922,1521,1884.5,86.5794358074859
"2021/2022",2022,120,120,100,43.0507615114072,178.702878572073,85.3776646621188,98.6167809832195,1738.50105557092,1474.5,1281.96035047167,1647,1393.5,1482,1393,78.4925463425516
"2022/2023",2023,120,120,100,49.8060095811419,176.093635423228,75.3987957208676,96.4357226386084,1915.91755501079,1692,1506.4811362731,1807,1622,1563,1604,81.4116263286969
"2023/2024",2024,120,120,100,52.4988886879404,240.470565706682,65.3528982140624,92.4639273247004,2189.6141628163,2018,1924.9085765055,2036,2023.5,1676,2017,89.2019740595306
"2024/2025",2025,121,121,100,54.447563013544,205.334502104661,69.7010698964886,95.0281193399017,2201.03655925189,1966,1907.38054411269,2039,1999.5,1638,1997,89.6676677507662
"2025/2026",2026,120,120,100,46.7280082690485,194.780997985708,72.0991767438997,94.644726384647,2050.47785661332,1850,1689.92057654898,1929.5,1817.5,1609,1807,85.3399361054444
"2026/2027",2027,120,120,100,41.2405154747217,182.035524547778,87.3357598799487,98.6008386829296,1662.34577670564,1366,1244.39392354464,1519,1313.5,1365,1311,76.690653427278
"2027/2028",2028,120,120,100,47.3898380564413,154.259367507008,75.8300784839856,96.097682023915,2010.72747341113,1776.5,1671.15965655334,1873,1777.5,1572,1768.5,84.1577216368846
"2028/2029",2029,121,121,100,61.2839761830454,258.924917791296,75.5046062519221,99.2957012924496,2073.08294112502,1839,1643.97838954191,1954.5,1788,1740,1787.5,86.9194428332034
"2029/2030",2030,120,120,100,54.1846684748224,212.512139765562,76.1197463646446,97.1463777406097,1995.65523235241,1759,1625.85437005606,1860,1742,1564,1740.5,84.7783576096608
"2030/2031",2031,120,120,100,47.3342853742778,232.609996581091,67.5243528945344,93.0776957162833,1980.50444658105,1801.5,1723.89137560672,1859,1804,1480,1793.5,86.2907282453862
"2031/2032",2032,120,120,100,49.6038899097109,214.634696807135,75.9756130914269,95.5934559594487,1917.14464193332,1688,1516.28327815866,1770.5,1661,1580,1639.5,82.5021022330802
"2032/2033",2033,121,121,100,57.4490847494834,212.17803712005,75.0997106877247,96.2218676144266,2096.20194185189,1887,1763.91186466046,1956,1897.5,1671,1881.5,85.3855277907232
"2033/2034",2034,120,120,100,53.2897821511943,223.541094705912,77.7974830381866,99.1197061846764,1962.91177406479,1693.5,1540.26761726465,1830.5,1650,1614,1649.5,83.9777861729162
"2034/2035",2035,120,120,100,48.2162112565197,171.986884218506,82.9936678401544,98.849543472659,1823.65935175748,1594.5,1388.14431266015,1717.5,1525.5,1522,1524,78.8860402143382
"2035/2036",2036,120,120,100,52.5804155809757,196.449370012205,73.1610847748858,96.5377653168303,2019.67057393295,1795,1609.96060610562,1900.5,1749.5,1664,1734.5,83.858604568587
"2036/2037",2037,121,121,100,47.9263465059626,201.572770763172,73.1314251344347,93.7758310566183,2043.40268662003,1848.5,1809.26850581475,1859,1884.5,1461,1880,87.2446159043702
"2037/2038",2038,120,120,100,55.8828596900881,195.933994156249,83.8508328220058,101.158901118069,1944.52973051248,1628.5,1394.9529402719,1823,1557.5,1718,1554.5,80.5396930259085
"2038/2039",2039,120,120,100,45.1909129155483,183.377007524088,72.0295022870865,90.6075368163113,1990.90071732046,1892.5,1785.03043605294,1872.5,1883,1490,1873.5,85.08991832019
"2039/2040",2040,120,120,100,41.6413508358091,182.802713869127,63.5179357091846,89.4161216103793,2078.28396195415,1972,1953.09607374141,1946.5,2004.5,1439,1991,89.4131555022295
