"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.8057394743052,159.167167142232,65.8244182589837,87.3530935733096,1823.21835225899,1737,1707.84793411946,1727,1741.5,1240,1713,83.2403732598853
"2002/2003",2003,120,120,100,39.6709401825415,154.565122804925,71.1325408492941,88.167160627279,1930.01276082189,1833,1785.50547175449,1792,1875.5,1390,1852,83.9639962968482
"2003/2004",2004,120,120,100,50.2053637429637,197.964550905948,73.3315129301511,97.0698409313179,1997.58706211572,1721,1602.59116619036,1832.5,1712.5,1559,1698.5,84.8742500491256
"2004/2005",2005,121,121,100,53.7045671906373,222.280942390625,67.1962786091326,93.6289633827262,2177.842745165,2018,1896.66750138138,2030.5,2028.5,1696,2011,88.9265686475558
"2005/2006",2006,120,120,100,44.9807992836069,194.25489905349,61.9280653221829,87.9793234207502,2069.69488455038,1999.5,1951.21195468603,1952.5,2007,1430,1997,88.8738018000779
"2006/2007",2007,120,120,100,47.090369693358,209.218147452789,67.7047041975098,90.0161009503011,2014.46922149499,1878,1822.23830085674,1871,1932,1484,1906,84.3994747379413
"2007/2008",2008,120,120,100,49.0371834004082,190.781013767298,77.2787748148348,95.4371905040982,1944.99572095916,1753.5,1599.08919985875,1835.5,1721.5,1547,1713.5,80.0059207846604
"2008/2009",2009,121,121,100,42.7053864301084,209.813346238907,70.1785022748025,93.3127738653018,1978.03975478321,1805.5,1737.00484657413,1816,1810.5,1435,1804.5,84.8744072076438
"2009/2010",2010,120,120,100,46.7625932890591,185.145431870205,69.6037678875301,92.0271028709372,2092.84769973921,1921,1869.78546153032,1936,1960.5,1515,1952.5,87.3944081226239
"2010/2011",2011,120,120,100,57.9640349687647,221.653108004052,67.2748417473562,92.5512425978579,2288.68844313799,2167.5,2053.68215072599,2150,2169.5,1772,2169.5,90.9810073260321
"2011/2012",2012,120,120,100,55.4312684512331,201.379427455622,70.3230248167406,94.4215889909836,2162.74655974443,1998.5,1843.54695869714,2048.5,1976,1724,1963.5,86.0903122856021
"2012/2013",2013,121,121,100,46.2248010915678,197.669185081765,70.8330843159497,94.7306248674585,2013.80181759837,1795.5,1727.44670844417,1852,1823.5,1469,1805,87.5768983365961
"2013/2014",2014,120,120,100,51.132445761946,192.310738990963,74.6247267567216,95.6805451033415,2080.24479877823,1851.5,1690.22330249843,1935.5,1809.5,1691,1796,84.1515481873159
"2014/2015",2015,120,120,100,28.4302637016971,122.346918955694,81.189988320508,95.0225208861427,1444.61656694597,1132,990.777189409353,1339.5,1111,1116,1054.5,70.7256472983981
"2015/2016",2016,120,120,100,47.8158014090311,175.312663153395,67.8766984561057,91.6418848504869,2078.99798389457,1921.5,1846.57749764823,1912.5,1972.5,1485,1951.5,86.8484533868618
"2016/2017",2017,121,121,100,41.286077218131,185.202221822149,69.4826649390771,91.6178791630239,1853.86465794728,1646,1529.36658305287,1705.5,1663.5,1397,1602.5,80.3021064136938
"2017/2018",2018,120,120,100,34.5021995606486,152.199969129817,73.5235996214559,90.8058402956384,1722.77056910323,1540,1477.2918512181,1577.5,1553.5,1208,1517.5,77.2320638788733
"2018/2019",2019,120,120,100,46.3239602329689,164.087127535126,82.3038065069961,95.5551397550747,1886.43836581264,1661,1501.92245936122,1763.5,1620,1556,1597.5,77.800441977774
"2019/2020",2020,120,120,100,40.2144832489107,179.272036441951,66.8300904122636,90.050612842558,1908.77672384206,1751,1659.23618301302,1768.5,1740.5,1378,1715,84.4823432440376
"2020/2021",2021,121,121,100,42.4739509463699,184.358416984373,63.3701256859422,88.871901452844,1986.6454128023,1832.5,1803.57078379557,1820,1904,1407,1852.5,84.5374962152455
"2021/2022",2022,120,120,100,47.6993567035379,183.574479146143,81.3952666678016,97.016539029271,1816.41432209125,1578.5,1375.4969437811,1716.5,1498,1535,1489.5,80.8161128702868
"2022/2023",2023,120,120,100,53.3698456593756,182.337171878624,72.1529424159802,93.7909527076596,1964.75307813333,1782.5,1578.79887498047,1851,1736,1583,1704,80.9247874527568
"2023/2024",2024,120,120,100,48.0939361417922,217.135286681841,62.4519464691615,89.501387874246,2162.59637615693,2047.5,1973.93667924073,2026.5,2067,1572,2048,87.9722654199081
"2024/2025",2025,121,121,100,50.2287603939831,186.977284587111,66.7300084115995,91.4699757533258,2105.69126659002,1957.5,1907.56685998937,1992,1957.5,1520,1943.5,89.0765458098922
"2025/2026",2026,120,120,100,42.6404648213688,172.890877543435,69.2640796587414,91.2256255988941,1974.57108256746,1810.5,1698.92581952872,1850,1804.5,1460,1781.5,83.6219715236061
"2026/2027",2027,120,120,100,38.1782348528235,170.814794478829,83.9788880577144,96.8675341564383,1685.45075282679,1400,1322.00340042008,1528.5,1387.5,1293,1382.5,79.2029208971862
"2027/2028",2028,120,120,100,46.1811251883566,143.903069462335,72.5651547846415,93.2458088198462,1966.00287546526,1768,1673.24678978803,1831.5,1767.5,1485,1748,82.8170379635744
"2028/2029",2029,121,121,100,59.8774666964751,258.961578630135,72.0934344790238,96.7827729923394,2142.30460633614,1959.5,1792.3529751911,2021,1925,1741,1922,86.4940485861725
"2029/2030",2030,120,120,100,52.4491680068768,207.647581467369,72.6720937167463,94.4761763230689,2021.89353972294,1815.5,1719.46214481293,1895.5,1797,1552,1792,83.6272582458232
"2030/2031",2031,120,120,100,42.7823207123506,206.101107673227,64.7923673005398,89.6706260902131,1897.41713551045,1784,1711.64119498591,1784.5,1780,1334,1757.5,86.6829373661635
