"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.1418869737916,141.983407956042,69.1726434102188,88.9310423974146,1904.56669404712,1804.5,1769.7200239526,1810,1820,1324,1808.5,84.9376099308905
"2002/2003",2003,120,120,100,39.7556473180173,129.785475212919,74.7755869310006,89.1830570926285,1945.45925311102,1815,1794.3940542408,1799,1864,1355,1850.5,84.2756163716346
"2003/2004",2004,120,120,100,50.2382718689526,172.914974370294,76.7200563097185,98.2085020206072,2051.83783305056,1804.5,1677.38569867601,1878.5,1804,1609,1797.5,87.1051482097133
"2004/2005",2005,121,121,100,55.0240893974076,200.779451434243,70.7048324921629,95.1460483232798,2240.90915109037,2065,1920.27490655178,2086.5,2080,1742,2062,90.2563438235015
"2005/2006",2006,120,120,100,49.0023562445969,174.251188335206,65.3970418480703,89.6984176751048,2136.22938749582,2063,2008.50577738341,2023,2063,1539,2058,89.9760543800908
"2006/2007",2007,120,120,100,47.3943375546091,189.06127255401,72.1457820341464,90.3904663893497,2003.61951030705,1886.5,1818.97465964519,1883,1906.5,1484,1893,85.0216799449021
"2007/2008",2008,120,120,100,50.9422893029201,168.578821712908,81.0318677360418,97.20728976292,1980.79584128901,1763.5,1562.84157907136,1884,1718.5,1622,1715,81.099700324767
"2008/2009",2009,121,121,100,47.7683709669355,199.974674234474,73.8748173741865,94.7340900547615,2041.78214683893,1852.5,1777.32725093383,1901.5,1868,1547,1864.5,84.8393391708739
"2009/2010",2010,120,120,100,47.7056760814841,162.468235667589,73.4290086429994,92.3503373167858,2100.84290118752,1940,1914.72782669566,1940,1982,1505,1979,86.7503921949633
"2010/2011",2011,120,120,100,58.3787340384185,197.230049625087,70.7727515279226,94.2715758233617,2311.14289915998,2168.5,2024.07331038151,2165.5,2166,1826,2166,90.9622614727507
"2011/2012",2012,120,120,100,56.4579905619743,179.147008028071,73.9990836308789,96.1676012386402,2214.47165992878,2028.5,1858.98624415443,2106.5,2003.5,1815,2001,85.3128154931901
"2012/2013",2013,121,121,100,43.399500883275,161.741250206341,74.5389007465952,95.6719401764354,1991.98853043676,1770.5,1721.97603639094,1830.5,1812,1439,1806.5,87.2413570674257
"2013/2014",2014,120,120,100,49.3976996222883,177.483140090971,79.0041844829776,96.5803984243322,2074.50535126108,1798.5,1655.07014864985,1933,1751.5,1749,1744,82.9957220075678
"2014/2015",2015,120,120,100,26.4820016480756,95.1876479661027,85.9842930128352,94.1839859854515,1395.83494670218,1115.5,986.458227826542,1254.5,1092,1042,1036.5,69.1858629752412
"2015/2016",2016,120,120,100,50.7092175593288,154.22545954408,71.0981180750233,92.9352771958615,2119.79665454093,1967,1881.76998519837,1970,2000,1568,1993.5,86.6943079136799
"2016/2017",2017,121,121,100,40.8737849190415,158.181171389203,73.5536651213093,92.1064787838755,1810.78323006573,1643,1513.27740565281,1689.5,1618.5,1340,1577,78.4466854766865
"2017/2018",2018,120,120,100,37.8913381983071,132.673712130954,77.0078132658841,92.0376130195446,1760.76321184785,1569.5,1491.69573192432,1614.5,1569.5,1278,1545.5,77.5706207735238
"2018/2019",2019,120,120,100,44.6993390144238,135.441975099548,86.316668468058,96.5932073593052,1842.65967034272,1602,1420.2114881952,1722.5,1566,1509,1543.5,75.8588046339109
