"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.3476206841149,168.203896412963,68.1817398546483,89.1178146071884,1865.26567846015,1753,1716.66010167937,1771.5,1767.5,1307,1751,84.8042765341368
"2002/2003",2003,120,120,100,41.1445496430023,163.45215570166,73.8634712310882,89.6212723095502,1945.18704600915,1827,1754.13011545404,1809,1853.5,1436,1835.5,82.6471161008089
"2003/2004",2004,120,120,100,49.9923081197481,201.62166310029,75.818831471164,98.5662114189756,1986.82810764235,1702,1565.99934986403,1833,1688.5,1606,1681,85.039499305804
"2004/2005",2005,121,121,100,55.3989673416095,228.552343230452,69.5507973068201,95.6421183382439,2193.39169589405,2025.5,1854.62600915837,2070.5,2009.5,1749,1994.5,88.7397634074686
"2005/2006",2006,120,120,100,49.3813749696033,207.420771313689,64.0355385016777,90.2840030059681,2132.92958685175,2024,1966.65879123144,2013.5,2031.5,1530,2023,90.454847739217
"2006/2007",2007,120,120,100,50.0914014391621,218.353384572206,70.2643020483117,91.626126236842,2033.36923814152,1895.5,1796.77521206671,1897.5,1926,1526,1906.5,87.433780337218
"2007/2008",2008,120,120,100,50.5435206982297,191.251519251106,79.9648958102415,96.9005890608379,1915.80956555449,1700,1522.45842940981,1806.5,1660,1556,1654.5,79.4128610801878
"2008/2009",2009,121,121,100,46.7086391346221,221.986601129295,72.6038330692832,94.8524398140866,2000.49270289472,1810.5,1712.12235672895,1853.5,1813.5,1526,1809.5,84.2610511784746
"2009/2010",2010,120,120,100,48.5762254677574,192.748933356467,72.1401570119266,93.4623803450776,2106.80369595924,1928,1850.35014041551,1948,1946.5,1557,1942.5,87.1174506060047
"2010/2011",2011,120,120,100,60.8201849199798,233.440860891981,69.6333228992318,94.8451097240557,2320.2039995333,2152,1997.58059111687,2172,2149.5,1872,2149.5,89.947357801771
"2011/2012",2012,120,120,100,56.9751622636396,204.203520004778,72.7798671570454,96.4050096295704,2167.67860020887,1980.5,1797.88129712865,2059,1935.5,1761,1930.5,85.9461415616081
"2012/2013",2013,121,121,100,45.3959260480956,193.672351618898,73.5430888919374,96.1416600294583,1976.32228081457,1752.5,1656.46317513983,1814,1765,1450,1757.5,86.4742427279166
"2013/2014",2014,120,120,100,50.7826900513025,196.702569843301,77.2958806553518,97.2406354522919,2047.90171553801,1769.5,1627.06522139293,1907.5,1727.5,1719,1721.5,84.4176962503252
"2014/2015",2015,120,120,100,26.7658160083861,113.540100843223,84.367546328642,94.7803131171609,1368.99964455775,1077.5,937.174441608691,1250.5,1047,1024,990.5,67.8380430351813
"2015/2016",2016,120,120,100,50.1974345136129,180.745246838319,70.3401737418648,93.4531344907018,2091.74696173881,1922.5,1805.99783106874,1934.5,1937,1552,1927,86.2345339866133
"2016/2017",2017,121,121,100,42.2891764723837,187.015459991309,72.0144666187167,93.0957033611024,1847.85105278593,1637.5,1499.77080972383,1707,1625.5,1410,1577.5,80.3656554851104
"2017/2018",2018,120,120,100,36.8874982919178,156.387489366541,76.0849752245452,92.0180260905913,1720.17141488779,1541,1444.9504200294,1603.5,1532,1245,1503,75.8217190641408
"2018/2019",2019,120,120,100,45.1617361902514,159.927320802825,85.4479367040433,96.6564337292127,1819.02048452619,1567,1386.36682114314,1695.5,1528.5,1528,1506,76.4312849980693
"2019/2020",2020,120,120,100,42.1161476889425,188.206194798801,69.0691219900355,92.0399309770847,1932.35202578211,1758.5,1649.66154725978,1816,1731,1450,1716.5,84.8298249387358
