"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.9801898539715,188.113864992458,68.4710518839625,90.6959147768027,1918.03103516025,1782,1730.26816618733,1793,1788.5,1354,1776,85.5394463761641
"2002/2003",2003,120,120,100,45.4405338427981,188.824088068337,74.2540547486163,91.1118386565471,2021.50315602831,1889.5,1782.45837356977,1891,1894.5,1558,1879,83.6703873288308
"2003/2004",2004,120,120,100,52.0951586813287,219.879587817983,76.4187427393648,99.4121304928148,1982.25768942317,1723,1540.98547513843,1844,1668.5,1670,1661,84.0609315592372
"2004/2005",2005,121,121,100,58.9218029955908,249.95504627524,69.91520520471,97.0564089274583,2217.94424442188,2021,1826.61487462976,2082.5,1998.5,1830,1984.5,88.2938910386185
"2005/2006",2006,120,120,100,53.3603294370234,226.707520427675,64.7308968762075,91.4795356536331,2103.48102223623,1972.5,1875.8024539879,1985.5,1960.5,1570,1948.5,87.0032851330981
"2006/2007",2007,120,120,100,51.0838191235647,231.923558968674,70.8833566026391,92.2247894724961,2030.76841169822,1875.5,1759.92991615487,1888,1898,1557,1876,83.3419556916442
"2007/2008",2008,120,120,100,53.9360309930212,211.070294659308,80.1853188396823,98.9802355580395,1956.50799944529,1689,1501.13190766256,1826.5,1622.5,1613,1620,80.1345298377855
"2008/2009",2009,121,121,100,50.6744933825131,246.214891794574,72.9447463947257,96.3242057425132,2009.56182053981,1824,1677.62955980642,1889.5,1801,1602,1800.5,83.6166113099262
"2009/2010",2010,120,120,100,49.5620643194382,204.414402751231,72.9611701493657,94.2366210869453,2071.34106562066,1877.5,1779.22269493743,1920.5,1881,1563,1877,85.13090412053
"2010/2011",2011,120,120,100,58.1525344627962,236.79293551097,70.6947902763638,95.9933959147091,2233.40815154708,2017,1850.73973042082,2099,1996.5,1851,1996.5,88.0098706044189
"2011/2012",2012,120,120,100,61.1305593192771,221.532084726016,73.1998792434183,97.9860223441933,2203.35686457608,1991.5,1783.14140961984,2094.5,1949.5,1859,1945.5,86.9313209244822
"2012/2013",2013,121,121,100,45.745890854815,204.625996743637,73.9789797190577,97.3467537720112,1968.57851803065,1737.5,1620.96188078016,1811.5,1728.5,1512,1721,86.7413004107916
"2013/2014",2014,120,120,100,52.5369980055604,211.322136798621,77.9754169917755,98.3056048022808,2033.59962163906,1755.5,1570.80121012365,1904,1710.5,1734,1701,82.1349242732369
"2014/2015",2015,120,120,100,27.5832737446627,126.766789268041,84.4749377996753,95.7575547046091,1422.72634089255,1151,1032.10787437689,1301.5,1122.5,1072,1090,71.2629512325611
"2015/2016",2016,120,120,100,53.7884196775519,205.392228501267,70.645730928887,94.8579936893281,2147.95165805077,1966.5,1833.40935643165,1991.5,1971,1640,1965,88.6171331194114
"2016/2017",2017,121,121,100,41.1669746466222,196.438761137162,72.5692557237759,93.7515228447964,1809.10453741068,1606,1477.80621734565,1684.5,1566,1400,1541,80.5672949102686
"2017/2018",2018,120,120,100,40.0228242674403,177.254522747584,76.2963839250141,93.5041974287809,1767.55829691365,1558,1467.07746316283,1642.5,1538,1334,1521,77.1956638450424
"2018/2019",2019,120,120,100,47.2471551537774,174.983693124765,85.7453357626093,98.0318951837172,1848.81489230802,1596,1389.23418562068,1736.5,1547,1550,1531,77.5433147118993
"2019/2020",2020,120,120,100,43.1563384761786,203.991798624353,69.4987182151736,93.5125651234741,1937.38744915529,1727,1633.57219331669,1818,1696.5,1472,1684.5,84.5578375916753
"2020/2021",2021,121,121,100,45.7753231208457,211.395115709138,66.0853103909784,92.0073154443245,2043.60103319002,1882.5,1814.75030020741,1885.5,1917,1492,1876.5,86.2295478566057
"2021/2022",2022,120,120,100,42.8210786380649,181.912014794846,85.0549153052427,98.9065813986877,1730.42204951671,1466,1274.49862921472,1641,1385.5,1467,1385,78.6810259837002
"2022/2023",2023,120,120,100,49.7112775470996,182.599615502194,75.1410981627324,96.814940433577,1926.2830326766,1691.5,1519.8925775058,1812,1633.5,1558,1619.5,81.9850114479887
"2023/2024",2024,120,120,100,53.7886644933683,253.143839918018,65.099494219774,92.7850472684058,2200.1548872009,2024,1919.07828766946,2045,2025.5,1685,2018,89.4442191340554
"2024/2025",2025,121,121,100,56.3263020884007,215.66300902928,69.4722031443571,95.3503466058315,2220.24518607717,1984,1904.65795537642,2047.5,2016.5,1669,2011.5,89.8655922521511
"2025/2026",2026,120,120,100,46.4138713845196,202.345167264295,71.927330236552,94.8688293470658,2040.20423605913,1842,1669.84459355132,1919.5,1790.5,1624,1778.5,85.0326646084268
"2026/2027",2027,120,120,100,40.9067451192488,186.831712754556,86.9768386589188,98.8892538409642,1648.20334548327,1350.5,1225.26659404348,1503.5,1299.5,1367,1296.5,76.6017845492534
"2027/2028",2028,120,120,100,47.5839374598111,161.123699991437,75.6342373591679,96.3987550883257,2016.52506565509,1783.5,1669.53104334951,1885.5,1777,1603,1768,84.639038110854
"2028/2029",2029,121,121,100,61.7013370321032,265.262655597156,75.2564311106811,99.4226910482686,2058.45904872329,1825.5,1623.25951581394,1945,1770,1729,1768.5,86.7150940416745
"2029/2030",2030,120,120,100,54.7472971961294,218.977725289832,75.8908028973836,97.4356471240573,2000.60494427456,1751.5,1620.20449554872,1869,1737,1579,1735,84.1832333275661
"2030/2031",2031,120,120,100,47.7440802000114,241.634486138972,67.1888906277223,93.3407224853467,1978.41494807675,1800,1712.58160672199,1851,1801.5,1477,1792,86.2651500224374
"2031/2032",2032,120,120,100,50.1501515245855,222.466764677498,75.5900957246559,95.9714529774823,1913.90355998246,1680,1503.48084426398,1769,1650,1583,1629.5,81.263771377523
"2032/2033",2033,121,121,100,57.1573186352098,218.590265765135,74.9417561387824,96.4066612847939,2088.61403717693,1878.5,1747.56462909845,1953.5,1886.5,1664,1870.5,85.1311260835328
"2033/2034",2034,120,120,100,53.5738444874461,228.501538099921,77.4715960170414,99.4193682645214,1951.94281552882,1678,1524.5820921557,1821.5,1634.5,1602,1633,83.7796039691266
"2034/2035",2035,120,120,100,49.1264750533478,179.66216890799,82.6671147216647,99.2858506923251,1834.49370320677,1601.5,1387.8264370943,1723.5,1522,1539,1521.5,79.3398386183098
"2035/2036",2036,120,120,100,53.6990468283774,205.314764658419,72.9123258258806,96.9084512092453,2033.15568308589,1803.5,1611.3387540069,1911,1757.5,1699,1744,83.3446710081162
"2036/2037",2037,121,121,100,49.2246689827801,212.481329065937,72.8105587008748,94.0502228644706,2056.81572039709,1864,1811.54679364075,1884,1889.5,1512,1885,86.8383547956773
"2037/2038",2038,120,120,100,55.7950938998503,201.882343147852,83.6095575648644,101.450791461102,1936.82878390582,1608.5,1383.48330544699,1811.5,1544.5,1710,1542,81.0218721557176
"2038/2039",2039,120,120,100,45.8613341453079,193.030105256451,71.8530470785175,90.944374785454,1995.72010448373,1889,1770.5923390264,1875.5,1869,1514,1858,84.7306759119938
