"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,30.8123655332958,137.420524237877,61.9287120394071,83.958630533892,1735.25012229415,1686,1664.08652187287,1624.5,1707.5,1075,1660,80.8149631414835
"2002/2003",2003,120,120,100,33.0061736801061,126.739409254979,66.9644869917005,84.9670114270344,1833.86107301596,1742.5,1760.40484012916,1663.5,1825.5,1153,1778,81.5350444939841
"2003/2004",2004,120,120,100,48.0691530498617,195.309635131573,69.1920354972743,93.608212178188,1958.90515943367,1741,1632.14364949112,1813.5,1737.5,1483,1707,84.0842972983847
"2004/2005",2005,121,121,100,50.989268496495,211.45005320736,63.0600135243532,89.7165147880608,2149.73512381717,2044,1969.94273591724,1995,2090.5,1582,2062,89.738893574334
"2005/2006",2006,120,120,100,39.5854270283114,172.69275329935,58.1483593060282,83.8084829375808,1969.69923734916,1964,1949.9811863054,1852,1987.5,1257,1967,88.7845925873733
"2006/2007",2007,120,120,100,40.7844090322915,196.101723389845,63.4784777954649,87.2022672820553,1967.35657626629,1861,1833.37682530695,1800.5,1913,1348,1871,84.0210611730547
"2007/2008",2008,120,120,100,43.0893114453629,173.353233249951,72.688996698439,92.7313247574885,1960.61235271808,1804.5,1706.51998451479,1848.5,1791,1440,1781.5,84.0553428059037
"2008/2009",2009,121,121,100,38.2362087723054,198.736327591696,65.7129084813648,90.8267401148832,1938.77371017557,1779,1757.56017421377,1792,1805,1337,1791.5,86.6715055041288
"2009/2010",2010,120,120,100,44.9732371895997,175.939704162891,65.4027419787877,88.5217379697977,1999.05609647294,1858,1846.08315036233,1861,1901.5,1390,1882.5,86.8160268276104
"2010/2011",2011,120,120,100,49.9490448000662,203.239449044024,63.1251586683914,88.5913960942629,2181.03610957679,2114.5,2079.67484465924,2070,2142.5,1563,2142.5,92.0324681016743
"2011/2012",2012,120,120,100,51.6735711878866,194.115776383835,66.162989022117,91.0591515896636,2153.44950544565,2042,1919.37782037894,2017.5,2054,1601,2031,86.062276240481
