"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.5961396432107,165.469456315702,66.4264386956395,88.2708201575087,1837.40709439164,1751,1695.95815367178,1734.5,1753.5,1235,1730.5,82.0114698699173
"2002/2003",2003,120,120,100,40.3507163428931,161.288481079329,72.0616806934024,88.7722248116161,1937.58781107192,1832,1756.63428827347,1798,1855.5,1406,1832,83.564320751941
"2003/2004",2004,120,120,100,51.6175563656967,213.902267551596,73.8187146694407,97.8049086729189,2045.32351369362,1780,1645.64795039703,1897.5,1761.5,1643,1754,86.3129409013604
"2004/2005",2005,121,121,100,52.6915376673432,222.2747782468,67.9572352403398,94.0737623488759,2173.92795021077,1994,1878.06753305832,2022.5,2024.5,1709,2004.5,88.1535989104724
"2005/2006",2006,120,120,100,47.3535411642451,196.925842863155,62.6863822630055,88.6593113421643,2036.41633501806,1951.5,1893.64449728879,1904,1940,1403,1926.5,87.5120227277931
"2006/2007",2007,120,120,100,45.3343100439155,204.743527093616,68.979960265943,89.3984966265402,1978.40420696594,1854.5,1802.32314116385,1839.5,1900,1440,1876.5,84.4672540170858
"2007/2008",2008,120,120,100,50.6193434628569,194.461760036434,77.8553203368939,96.805299425231,1939.21548362006,1714,1529.24052402184,1825.5,1666.5,1553,1657,80.8391731762741
"2008/2009",2009,121,121,100,46.4052057800661,223.618410703883,70.934754208398,93.7360006371778,1991.01756808038,1821.5,1731.23699630128,1860.5,1839.5,1513,1833,83.9771986873643
"2009/2010",2010,120,120,100,47.0403047690388,191.412139198552,70.6203355133531,91.7305480899613,2065.43661120587,1901.5,1865.71550826917,1914.5,1946.5,1485,1940,85.3064240788763
"2010/2011",2011,120,120,100,56.1421433069812,220.688473115563,68.3078563210227,93.2217218182195,2255.31773382152,2107,1982.53855283178,2119,2099,1793,2099,90.0583593365754
"2011/2012",2012,120,120,100,54.7358606211885,201.893701719519,70.9877457832047,95.1585243312246,2174.44682286421,2003.5,1844.56577385505,2055.5,1992,1748,1984,86.2505537456823
"2012/2013",2013,121,121,100,44.7308342947612,198.029983614244,71.5885802736976,95.4898627571559,1985.07711349031,1764.5,1678.5864117594,1825.5,1772,1455,1760.5,86.9337413848612
"2013/2014",2014,120,120,100,47.8023523972697,186.354143174729,75.8927807231893,95.5207149996186,2011.96718052434,1763.5,1644.63953310336,1847.5,1740,1599,1727,83.2324435762191
"2014/2015",2015,120,120,100,28.3525806294033,120.413397217842,82.5128968069152,94.3243927041065,1412.44920670245,1105.5,958.639361395151,1268,1082.5,1086,1019.5,68.2816875588094
"2015/2016",2016,120,120,100,50.3795841193922,187.833315881652,68.5026485004653,92.4606099219444,2093.96966772697,1934,1832.79393419731,1966,1969.5,1568,1954,86.3661211767903
"2016/2017",2017,121,121,100,40.7471860068437,182.855707889447,70.5847987258815,91.3208912037267,1809.0977995373,1634,1484.89540853446,1669,1620.5,1360,1557.5,79.7472021430358
"2017/2018",2018,120,120,100,37.6286627454534,165.491249381068,74.1285185257206,91.6268216966907,1747.95057348766,1552,1454.13256772206,1618.5,1541,1323,1500.5,76.4729243676443
"2018/2019",2019,120,120,100,46.0195643340046,163.374243286021,83.3296243293959,96.0651405127447,1850.74646930122,1632.5,1431.33578131627,1727,1562,1548,1535.5,76.8738670545972
"2019/2020",2020,120,120,100,40.3424501133079,181.300968015135,67.453949339108,91.1883390283291,1903.80897664261,1745,1625.24429948799,1777,1696,1391,1670.5,84.5711999103482
"2020/2021",2021,121,121,100,43.2876889333485,191.810819900531,63.9636716878796,89.6762549774815,2002.53047957129,1871.5,1805.52973321539,1840.5,1902.5,1441,1855,86.5603409638388
"2021/2022",2022,120,120,100,44.2223211241467,178.426362921007,82.5037356494066,97.0939830476161,1752.86372030026,1514,1304.40039008237,1659.5,1413,1473,1404,77.916742042486
"2022/2023",2023,120,120,100,48.8521271926987,169.900853399431,73.2002874558613,94.0046791546985,1882.37484512611,1678,1491.78209329097,1770.5,1635.5,1491,1598.5,80.6586519547773
"2023/2024",2024,120,120,100,47.8732273903623,218.385161944437,63.1732622317723,89.8795029425231,2129.0833206259,1993,1935.52602398588,1970.5,2009,1536,1991.5,88.1361594727491
"2024/2025",2025,121,121,100,49.3314282167778,190.180510073767,67.4321264343276,92.3284318807998,2113.73372400948,1939.5,1902.08057155352,1977,1945.5,1532,1940,90.8296465758285
"2025/2026",2026,120,120,100,45.4423377495239,183.291545395218,69.6164809970779,92.5403619843755,2037.40643924246,1880,1734.5355632042,1912,1871,1530,1852,85.5073068015408
"2026/2027",2027,120,120,100,40.6644860128509,178.661413579965,84.5952541476526,97.1871997776884,1693.03237456923,1405.5,1312.7955304861,1562.5,1377,1313,1373,78.8960168336107
"2027/2028",2028,120,120,100,44.7286893283663,145.578527796886,73.5447201296218,93.5519116047269,1950.21944375345,1760.5,1652.7051213274,1822,1750.5,1506,1732,83.2399738258982
"2028/2029",2029,121,121,100,58.1024567488538,253.047396576508,72.8748789999824,97.2598262092659,2088.14842663115,1892.5,1718.90789542209,1974.5,1847,1704,1843.5,86.4134346101541
"2029/2030",2030,120,120,100,51.0836819735716,202.088523595467,73.6752780998,94.9608486211334,1965.08572563309,1739,1653.03350657586,1834,1729.5,1514,1724,82.9401735748579
"2030/2031",2031,120,120,100,44.5279322955124,220.354908748081,65.1610256522017,90.8634163446531,1934.65696629665,1781,1733.40117623034,1818,1783.5,1405,1767,86.2970836641207
"2031/2032",2032,120,120,100,48.0632426624867,204.424539790335,73.383298635448,93.6087038813108,1924.95010392832,1714.5,1575.61367380744,1762.5,1708,1523,1674,82.4432963922181
"2032/2033",2033,121,121,100,52.5538100483245,198.547155254827,72.7792727015922,93.7187953582996,2046.29290090465,1864.5,1778.31875121741,1892.5,1883.5,1553,1857,84.8653083619456
"2033/2034",2034,120,120,100,52.435036134086,224.26199047683,75.2967105392394,96.9799357122375,1973.14077452511,1742.5,1610.0437955256,1852,1694.5,1582,1690.5,84.8508504768606
"2034/2035",2035,120,120,100,47.2125540212285,169.047471748385,80.4670570334984,96.8151428234501,1815.80696623174,1626.5,1430.6590965764,1725.5,1561,1502,1557.5,80.044806846553
"2035/2036",2036,120,120,100,49.1598391643357,182.594555092015,70.8963702219942,94.2984417582257,1971.34334336488,1793.5,1612.26083468224,1870,1743.5,1585,1719.5,83.8831325445435
"2036/2037",2037,121,121,100,42.9792672769194,181.668470508642,70.8611151274688,91.343688071691,1941.16028514138,1777,1767.12202365151,1777.5,1795,1334,1783.5,87.2560913589678
"2037/2038",2038,120,120,100,54.1894371270913,195.08071428061,81.3072451108428,99.1737574012006,1961.75886842105,1668.5,1459.2706400092,1842,1623,1680,1610.5,81.6628620232468
"2038/2039",2039,120,120,100,38.6124471523523,162.363020246306,69.8430800984462,88.046000379616,1905.88055089212,1832.5,1775.43807700787,1779,1842,1305,1830.5,82.7074875839817
"2039/2040",2040,120,120,100,38.2805185315478,161.757555235084,61.4124532388951,86.8553850568534,1992.30665783155,1904.5,1901.85058318736,1866.5,1937,1321,1912,87.8280716264444
"2040/2041",2041,121,121,100,50.0985608641238,204.377638261569,68.5290238195427,93.3737544629108,2099.13865712483,1928.5,1837.12119085449,1969.5,1938,1572,1925.5,88.8664915410845
"2041/2042",2042,120,120,100,58.2108247188855,187.535878529578,73.233064939387,96.3146094312067,2262.02422247024,2047.5,1925.25143727828,2116,2071,1830,2068,88.992163509386
"2042/2043",2043,120,120,100,30.1964151162503,127.20232973242,64.1409443391807,82.1406475346037,1708.90602065023,1639,1666.38163222273,1552,1704.5,1013,1632.5,80.3616873030605
"2043/2044",2044,120,120,100,59.9847860792162,238.727302265616,77.1666232594698,98.7934888237826,2150.64740041739,1903.5,1668.95342861928,2031.5,1837.5,1886,1835,85.8515388129799
"2044/2045",2045,121,121,100,53.7935788492907,195.271562918916,70.448144722307,93.2814003067235,2191.73613989778,2054.5,1942.15422236867,2050,2073,1722,2062,88.8161485981273
"2045/2046",2046,120,120,100,42.3863853887242,185.311450129502,77.2023142214018,95.6359817466305,1832.12750133051,1581.5,1483.05817781408,1687.5,1565.5,1421,1555,81.4896467647759
"2046/2047",2047,120,120,100,51.7185663530057,186.614974816947,76.3289843495152,96.9699504587373,1997.57522845952,1760,1563.62845746818,1845.5,1733.5,1688,1697.5,81.5632870329227
"2047/2048",2048,120,120,100,46.1377465408123,162.057127472278,80.6948979867366,91.3138201452627,1910.25839041171,1768,1694.05084191487,1762.5,1805.5,1388,1788,80.709027038477
"2048/2049",2049,121,121,100,59.1234569673218,238.671930805594,69.1344538760899,96.2453006586414,2259.62208110117,2085.5,1936.09644726979,2100.5,2093,1763,2091.5,88.8997481168308
"2049/2050",2050,120,120,100,53.6030640439664,214.026575693875,76.2449015633969,99.7059805593031,2078.892171696,1795,1599.04497854258,1945,1726,1767,1726,84.6188755112653
"2050/2051",2051,120,120,100,63.0768041403348,237.388439251566,80.2690719668375,101.2294757004,2088.21099447377,1795.5,1488.25615133127,1994.5,1691.5,1906,1681,82.9469677578891
"2051/2052",2052,120,120,100,48.8438992424467,191.85919236377,71.7682352306824,94.879984486736,1930.35286450427,1692,1527.14736585374,1793,1657.5,1536,1622,79.8937311175914
"2052/2053",2053,121,121,100,43.1604481372546,163.280945158619,72.8562963646192,89.4221511202557,1893.70211399533,1754,1615.74798063254,1759,1737,1415,1699,80.1496575763658
"2053/2054",2054,120,120,100,42.1406473729828,157.049207372477,68.213131893871,88.1449888773631,1922.35772543889,1831.5,1805.01964989126,1772,1855.5,1290,1833,86.1028850201701
"2054/2055",2055,120,120,100,49.3384174550318,187.000539717654,65.3015652034701,90.8340664049013,2085.72110476633,1916.5,1867.5291663407,1936.5,1953.5,1495,1929,86.0705068406351
"2055/2056",2056,120,120,100,49.23796141557,194.947178433307,72.4115628672375,94.0527137851692,2004.69838139223,1806,1644.27959734539,1879,1780.5,1603,1760,84.0669825009845
"2056/2057",2057,121,121,100,56.8720378292476,202.06969624099,71.353843809796,94.1989297931349,2051.86603295864,1830,1499.45714327573,1898.5,1760.5,1787,1672.5,78.6954408218398
"2057/2058",2058,120,120,100,40.789944311504,176.677782384202,75.0263801460891,92.9988060715971,1838.93844717118,1660,1573.19344794169,1732,1638,1397,1630,81.7743095628048
"2058/2059",2059,120,120,100,52.4371744581654,218.503293006113,64.5808365810997,90.0723539724127,2108.25792029771,1995.5,1916.82136391334,1975,2010,1551,1994.5,86.9754171608729
"2059/2060",2060,120,120,100,47.5744368155565,188.494556464047,81.0042265040729,97.4287737028403,1834.06549531603,1532,1383.48927662764,1702,1473.5,1528,1458,78.8341163353989
"2060/2061",2061,121,121,100,45.2001570738602,192.696732525266,66.9966026836894,90.9188753025196,1970.59322569161,1834,1757.31288278013,1853,1850.5,1429,1824,85.9372311747202
"2061/2062",2062,120,120,100,40.3275215022559,141.203598513541,72.3381867576503,90.6576680092374,1777.70237366506,1491,1310.5025295509,1578.5,1509,1376,1404.5,74.203991434435
"2062/2063",2063,120,120,100,52.714206492966,208.715571616416,77.9803396108689,98.2071691431816,2011.62865200485,1787.5,1572.58090609917,1888,1737,1725,1724,81.5713288177831
"2063/2064",2064,120,120,100,56.8662723903864,214.527757671681,76.7887999754652,99.5658541513478,2076.12311383605,1798,1637.93165172753,1923.5,1763.5,1703,1762,86.4128462667413
"2064/2065",2065,121,121,100,40.5892474979267,160.931507624187,74.3813713787375,93.1438867142449,1870.52884499743,1668.5,1610.09900874704,1705.5,1676.5,1334,1655.5,83.1948288768835
"2065/2066",2066,120,120,100,46.7241417921043,195.464293149739,68.6743039762584,92.1638925900242,2020.02673470444,1846.5,1757.15040090312,1864,1845,1494,1825,86.4638234392824
"2066/2067",2067,120,120,100,54.7850808413296,228.732904009062,67.3844849470961,93.2345977489343,2198.69526221979,2045,1910.00468145178,2096,2023.5,1757,2018,87.5226332135571
"2067/2068",2068,120,120,100,51.8886644853493,205.936854025888,76.6724392280954,99.310393229904,1967.12561560021,1707.5,1544.71281775482,1822,1678,1607,1670.5,82.9007865675903
"2068/2069",2069,121,121,100,36.9729636185945,152.359149299761,64.6968564336608,88.8532504064558,1827.41634110612,1718,1704.93575432765,1669,1743.5,1145,1710,83.2408798694596
"2069/2070",2070,120,120,100,45.5774498988197,181.768082675347,74.1258577480915,93.2843715290065,1845.99304131875,1590,1500.71855825883,1677.5,1580.5,1401,1542.5,80.426819997685
"2070/2071",2071,120,120,100,46.4595594150324,183.008950459071,72.0876275537045,92.2237974606005,1998.34423573737,1830.5,1754.83066035608,1848,1855,1486,1838.5,83.8924078700729
"2071/2072",2072,120,120,100,48.0742712488907,176.098272067666,74.4561651250435,95.2556250812869,2040.20449311117,1818,1678.17718669056,1922,1791.5,1601,1781,84.527805290827
"2072/2073",2073,121,121,100,46.2724779423857,212.624702067785,67.33228732985,92.2816322685668,1907.10874426123,1753.5,1607.87238736093,1792.5,1711.5,1415,1683.5,82.422567060501
"2073/2074",2074,120,120,100,37.3779452072502,154.615604863267,67.4314946049839,86.7759603910677,1925.00516942819,1844,1802.39008742442,1794,1871,1324,1847,84.7132155725976
"2074/2075",2075,120,120,100,40.984656086885,161.850660905904,75.2286666033744,87.4291443950041,1657.29085622952,1423.5,1274.34197738631,1407.5,1494.5,1269,1361.5,72.6519831987953
"2075/2076",2076,120,120,100,36.5226483929649,167.609453546817,67.9337971260847,88.9906415406596,1783.72135937918,1650,1611.53144600303,1650,1660,1191,1625,82.3203471726792
