"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,30.2222677488298,127.499884496399,60.6923833104771,82.2871697446103,1685.6693990932,1674,1622.61472543135,1576,1665,1014,1606,77.5363712465827
"2002/2003",2003,120,120,100,30.8560954454138,108.330909496197,65.8444232110115,83.280397119209,1765.12663380952,1684.5,1721.17540441279,1598.5,1779.5,1044,1721,83.3891853159847
"2003/2004",2004,120,120,100,48.0249150689702,186.135888857379,67.6236287100922,92.2625814921979,2038.41684900363,1818,1777.26548541233,1840.5,1871,1448,1847.5,86.6007902375854
"2004/2005",2005,121,121,100,44.7876481059109,179.814038649651,61.9864334757575,87.9840900255978,2091.26868447958,2006,1989.55065483042,1922,2066,1392,2032.5,88.422656152989
"2005/2006",2006,120,120,100,35.8709365954861,153.790817173565,57.1262273999001,81.8719979457527,1876.81781351344,1881.5,1887.06358004815,1778.5,1925.5,1143,1896,84.3619339841806
"2006/2007",2007,120,120,100,35.3332099382387,156.546629727549,62.7374976176166,84.3593086767565,1855.77000045339,1791,1815.53865860456,1686,1852.5,1150,1804,83.4524576065087
"2007/2008",2008,120,120,100,44.3526090168811,173.021338016975,71.1091728529893,91.9560872702177,1975.13585272695,1822,1707.4194000947,1861.5,1800,1471,1777,82.0490269955674
"2008/2009",2009,121,121,100,35.2710727601574,176.393908937439,64.7159365015228,89.1268516165296,1940.2459277717,1818,1807.03532290296,1792,1854,1270,1833.5,87.9542255576802
"2009/2010",2010,120,120,100,37.3623581390028,147.425911287032,64.3978673749003,86.3040661672386,1938.4591284351,1855.5,1886.25363937206,1809,1899.5,1240,1884.5,87.3255448742468
"2010/2011",2011,120,120,100,46.711259780298,173.760947371958,62.2029116646431,86.5499420940797,2145.58338636356,2117.5,2107.59659894844,2014,2175.5,1447,2173.5,89.7798273847627
"2011/2012",2012,120,120,100,47.3772133975255,168.625209055736,64.7411518364967,89.1198117487207,2123.90954148088,2035.5,1973.373091377,1982.5,2053,1521,2034,85.0451447855432
"2012/2013",2013,121,121,100,41.8755235166751,177.289802815939,65.5647227505431,89.5186541506455,1914.09243429427,1768,1741.47208631804,1788.5,1790,1320,1761.5,85.1550607707163
"2013/2014",2014,120,120,100,46.3874676180157,164.464263109257,68.8933085991748,90.6381713511147,2063.53666833154,1921,1825.10515922666,1901,1937,1475,1913,85.0493484493311
"2014/2015",2015,120,120,100,32.6070282594154,132.647311687199,75.0992612679868,92.3557008320304,1551.92762899253,1243.5,1054.53286665036,1400,1191.5,1275,1085,68.9228558137977
"2015/2016",2016,120,120,100,40.734816383901,148.488771410546,62.6317351459361,86.0905817357935,1951.24984880587,1871,1874.95061156268,1823,1919.5,1280,1880,86.7185610342988
"2016/2017",2017,121,121,100,38.7156428387741,161.162163543745,64.2365640968252,86.3206169735054,1778.38981610072,1628,1516.29184755804,1623.5,1669.5,1257,1568,76.5409123150125
"2017/2018",2018,120,120,100,31.712269567332,129.485728494891,67.721045170241,87.0894461702001,1681.43695611703,1532.5,1458.83533277483,1542,1553,1106,1485,77.8887416431135
"2018/2019",2019,120,120,100,44.9814084251508,151.34909842418,75.9795641112056,91.8576741348188,1904.15614849568,1721.5,1594.63958942698,1771.5,1718,1468,1679.5,79.0259084682357
"2019/2020",2020,120,120,100,35.6108788991897,149.404000418148,61.5600516705148,85.2872516138139,1836.21504894972,1738.5,1663.464310812,1708.5,1763.5,1219,1712,81.0072934472805
"2020/2021",2021,121,121,100,35.5451446474323,147.677152962728,58.4103197724517,83.2074993618262,1842.93879976949,1763,1767.94624270334,1669.5,1843.5,1081,1762,81.5337759256231
"2021/2022",2022,120,120,100,50.1395438233451,180.583856238906,75.3492865150747,92.7557882036943,1874.25871211494,1715,1521.84339006265,1786,1642,1515,1623.5,81.0943235779291
"2022/2023",2023,120,120,100,48.6361618801764,165.891143143958,66.5880757270818,88.760495156886,1920.24650598989,1790,1625.0066043349,1794.5,1785.5,1464,1720,78.8876359623305
"2023/2024",2024,120,120,100,37.009669676354,164.350603328694,57.6853872073122,83.2257139700007,1974.05414690188,1929.5,1948.64890571419,1840,2007.5,1239,1967,87.3644040718445
"2024/2025",2025,121,121,100,41.8491454441359,154.429451446452,61.4633181845661,85.5044695576825,1988.07740664015,1970,1950.54328410192,1904,1991,1310,1964.5,86.667467631441
