"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,28.092966735801,129.811298355178,58.0327720979396,80.6889995862583,1617.15109271332,1601,1553.14268705234,1538,1608,957,1539,75.780952075405
"2002/2003",2003,120,120,100,29.8500572986661,111.699763620926,62.5880128183296,81.963817189429,1769.02363440544,1682,1765.82061303157,1590,1810,995,1737.5,84.0979029214344
"2003/2004",2004,120,120,100,48.6161024559843,195.568667033923,64.7963535697586,90.5013922897105,2033.24789597832,1866,1801.03739691332,1853.5,1895,1445,1860,85.2976421484932
"2004/2005",2005,121,121,100,41.8340093285707,180.651436784075,59.5020131518694,85.820925945447,2015.89647037764,1940,1927.74542061987,1849.5,2031.5,1303,1978.5,87.1708989718612
"2005/2006",2006,120,120,100,33.795193656355,155.231769852346,54.963443320304,79.4712283705752,1771.68241746034,1803,1731.18831697855,1665,1805,1112,1733.5,81.6928072503248
"2006/2007",2007,120,120,100,31.2744869601718,149.581408660163,60.0448950675902,82.5969478912625,1791.99529033488,1749.5,1766.43111133226,1617,1809.5,1056,1749.5,83.5993231377084
"2007/2008",2008,120,120,100,44.4819529000745,181.274068628969,67.9782728594779,90.2914546175352,1998.57373375586,1876,1787.66265844691,1879,1873.5,1460,1853,83.2488668799318
"2008/2009",2009,121,121,100,31.7170598942901,173.422267066728,62.066554410643,87.3464411675667,1862.65681910514,1741.5,1746.74560044189,1715,1788.5,1178,1759,85.5928138071843
"2009/2010",2010,120,120,100,37.9901505012808,154.81832267722,61.6136170157074,84.6060508048038,1892.29498553657,1837,1831.95551239222,1771.5,1874.5,1195,1841.5,84.5818745689826
"2010/2011",2011,120,120,100,42.0057444180179,164.811527191312,59.9120208109715,84.2099806050775,2014.54570940053,2001.5,1985.81179523673,1880,2052.5,1290,2033,87.5866346459195
"2011/2012",2012,120,120,100,44.1974412976917,168.096007113399,62.0645142374931,86.8585753593929,2055.13955675735,1998,1971.82818792145,1914,2041,1380,2014,85.6195651770136
"2012/2013",2013,121,121,100,43.7261272187714,185.384633437027,62.436621607051,88.0368176508851,1941.4270481629,1824,1803.64820840156,1796.5,1866.5,1298,1828,86.9820254722058
"2013/2014",2014,120,120,100,46.0651411735394,164.408518894647,66.2151212386093,88.6230668559986,2027.72749139934,1876.5,1817.49559624076,1837.5,1939,1411,1886.5,85.6151108713552
"2014/2015",2015,120,120,100,38.9130568825177,155.097750814408,71.3955322474021,91.670371210804,1689.52464524662,1456.5,1222.15148657068,1548,1387.5,1377,1290,73.2304457044161
"2015/2016",2016,120,120,100,38.81407807273,151.76276315449,59.8191998304412,84.2962320598231,1938.68855103025,1895,1906.84334164727,1822,1951,1238,1907,85.7920601172978
"2016/2017",2017,121,121,100,37.4888480760643,163.537580371744,61.4665618983144,84.2187310223876,1752.26659480618,1636,1530.39376012685,1594.5,1681,1183,1569.5,77.8068484979908
"2017/2018",2018,120,120,100,31.4815659094965,138.149298564418,64.7833845199545,85.6488213485006,1684.11280280863,1584,1485.15437851666,1569,1577.5,1127,1498.5,77.1988078097379
"2018/2019",2019,120,120,100,43.8961844653655,157.516692176878,72.4911113558247,90.6138866318622,1953.89616771897,1788,1711.65859068526,1784.5,1816,1429,1780.5,81.6278244631012
"2019/2020",2020,120,120,100,32.5067539505811,147.266692401479,58.9916206387194,83.2322670743959,1782.23229750644,1703.5,1633.03350743053,1640,1738.5,1133,1665.5,79.3632899151321
"2020/2021",2021,121,121,100,31.7946260697812,137.915681334385,56.1126995519131,80.8454942777813,1740.58982266918,1666.5,1672.20767371784,1542.5,1754.5,971,1647.5,80.3480546385545
"2021/2022",2022,120,120,100,51.4974877921823,192.644173425476,71.5371954012711,92.2417809590528,1923.17195120035,1751.5,1589.8280426205,1802,1722.5,1527,1700,80.3611606926565
"2022/2023",2023,120,120,100,44.8526438135248,169.037239699289,63.6359963675233,86.6051580474497,1910.10234276079,1802.5,1707.89863823641,1754.5,1831.5,1335,1769,80.3642937454038
"2023/2024",2024,120,120,100,32.3539425321941,159.998816207998,55.125613484857,80.9072124352605,1913.05281725097,1884.5,1937.9617971432,1764.5,1981.5,1120,1932,86.3575128970488
