"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,25.1632556941821,114.055569408852,56.177839767434,77.8632228315975,1526.48229762926,1488,1427.76599986521,1383,1533.5,868,1422,69.5684494218735
"2002/2003",2003,120,120,100,25.4692491254332,97.0915520919811,61.0460983348831,79.0189001803502,1550.38111187384,1487,1495.28544393857,1367,1582,842,1457.5,75.2355007546796
"2003/2004",2004,120,120,100,43.059264922438,181.726200077205,62.3865300984467,88.168492829262,1907.10447905298,1742,1730.58940780221,1751,1799,1296,1755.5,86.0222434047158
"2004/2005",2005,121,121,100,35.9753736321145,167.151655050785,57.0901136275494,83.2374397516586,1913.78734885542,1856.5,1879.27967053675,1735,1924.5,1140,1864.5,86.2340379203123
"2005/2006",2006,120,120,100,27.5641227230488,132.02923329989,52.6791476247372,77.0265723840405,1678.17690458991,1714,1729.57522736176,1592.5,1761.5,911,1696.5,80.4979215500491
"2006/2007",2007,120,120,100,27.196202965442,145.240002652278,57.7586145787933,80.4073652839534,1684.85267079978,1619,1657.71421838916,1510.5,1730.5,939,1649,78.7261786252421
"2007/2008",2008,120,120,100,38.3465170453669,163.996802198407,66.0367047493726,87.9021953089564,1867.92325516368,1723.5,1624.87466315365,1731.5,1714,1351,1666.5,78.858310890331
"2008/2009",2009,121,121,100,29.9409210739181,168.762083933708,59.6352868447781,85.1332373700987,1801.80851475312,1701.5,1701.26972888961,1660,1757.5,1134,1701.5,85.0376233967845
"2009/2010",2010,120,120,100,30.1418588215267,127.512571423704,59.5764327351321,81.8828173625477,1773.66640968161,1743.5,1777.14847542706,1657.5,1789.5,1028,1745,83.7543510335368
"2010/2011",2011,120,120,100,36.0664563353896,155.53111944761,57.3216924794977,81.8667142529613,1974.6711495398,1983,2046.81279597772,1863.5,2064.5,1187,2042.5,88.197567335314
"2011/2012",2012,120,120,100,40.2540481682793,154.97019416844,59.9955457597011,84.637588907312,1964.1819766631,1900.5,1865.65464011437,1798,1964,1242,1910.5,85.2468998605943
