"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,48.5457973438767,214.490627236608,77.9161286657339,96.7643147058076,1852.7170932957,1598,1491.70203651309,1732.5,1583,1438,1581.5,82.4568409315781
"2002/2003",2003,120,120,100,49.136294031922,220.797108437826,85.1838016131386,95.6938257570832,1857.34239898871,1622,1452.11860283243,1741.5,1568.5,1564,1564,78.0809399287563
"2003/2004",2004,120,120,100,49.7451086594846,224.115050616537,86.4753782857589,102.886788383905,1725.94138415573,1411,1173.16379960394,1611.5,1339.5,1553,1335.5,76.9071097992732
"2004/2005",2005,121,121,100,59.6156255825852,256.282648839777,79.3512041133278,103.121157902717,1990.82561492225,1663,1412.02871245756,1874.5,1585,1775,1577.5,82.6030424387362
"2005/2006",2006,120,120,100,57.5850812127556,251.16158703377,73.3861937495731,99.1366915334679,2051.78836574741,1791,1637.27904311769,1902.5,1760.5,1654,1757.5,85.1715405027597
"2006/2007",2007,120,120,100,55.1655544977881,248.884705093337,80.8120158149238,97.4107976423109,1906.82746824492,1656.5,1450.75125326989,1793.5,1604,1638,1596.5,80.8821627417943
"2007/2008",2008,120,120,100,41.4416678887615,183.505382992621,91.3137513494579,102.229946837816,1558.79248585859,1197.5,1044.48483263894,1432.5,1138,1308,1136.5,73.9534338753144
"2008/2009",2009,121,121,100,55.6947295993327,259.165381828875,82.8862242947628,101.536159656793,1796.88716718134,1499.5,1281.19086074648,1696,1409,1586,1409,76.7209522746855
"2009/2010",2010,120,120,100,58.6157529365598,242.250494529398,83.32676527041,99.1435800364532,1959.13957618204,1680.5,1478.86397185524,1833,1618,1711,1618,78.4684747384506
"2010/2011",2011,120,120,100,56.2545407651209,242.470072070473,80.4259698721727,102.555857847387,2006.07224596576,1669.5,1422.00214282976,1891.5,1576,1781,1576,82.23779191787
"2011/2012",2012,120,120,100,55.7996843963466,215.683353500341,83.2363881508123,102.911497524262,1919.8634647831,1554.5,1320.7651964263,1792.5,1454,1731,1454,79.2006978846202
"2012/2013",2013,121,121,100,41.092113236842,197.102519149352,84.4589502042241,100.24771758075,1706.52165937421,1444,1278.67451791099,1588,1357,1451,1356,78.8330242817005
"2013/2014",2014,120,120,100,49.0042305317301,206.494766236795,88.90888077718,100.983169967312,1736.86532238521,1430.5,1225.36106871539,1603.5,1361,1508,1359.5,74.2520885150236
"2014/2015",2015,120,120,100,24.2647446050928,110.055988434355,97.0355618100692,93.6479826273414,1146.540025323,930,831.46598459328,1054,894,878,872,61.8824137538322
"2015/2016",2016,120,120,100,52.7382225154414,212.083032390824,80.502794149724,100.56029975033,1929.41771130128,1641,1425.75097678624,1814.5,1551.5,1695,1551.5,81.5984995433746
"2016/2017",2017,121,121,100,39.1607426388581,193.614053707692,82.724094317146,97.4852752234029,1618.41875049256,1346,1213.87991483233,1501.5,1311,1293,1298,77.6024491365911
"2017/2018",2018,120,120,100,42.4433083181824,183.705448111769,86.7963048844203,97.4118405154794,1575.11819307037,1298,1171.0643260099,1453,1255,1295,1246,73.4231959459985
"2018/2019",2019,120,120,100,35.076140795864,147.125956300378,98.2965476666556,99.0627455587699,1452.53595142967,1091.5,956.60389746643,1318.5,1047,1227,1033,67.462710995027
"2019/2020",2020,120,120,100,45.5939461434162,218.405116078795,78.9730506353326,98.7019137868662,1759.65437928839,1479,1343.37076465106,1626,1445,1401,1440.5,78.3512513689852
"2020/2021",2021,121,121,100,54.8065369348397,247.894840139031,74.6926600877921,99.1300943806796,1982.83666608631,1701.5,1537.56864837836,1835.5,1669,1642,1658.5,85.832166720465
"2021/2022",2022,120,120,100,31.7624848777305,158.74627850577,97.6637465134372,98.485155374162,1372.53382637654,1057,944.571232100927,1266,991.5,1116,991.5,66.2652291723334
"2022/2023",2023,120,120,100,34.0567848740328,149.33381682844,86.0124630887039,99.4237481873191,1578.34531490463,1238.5,1130.39047351013,1438,1193,1263,1186,73.8162079737831
"2023/2024",2024,120,120,100,56.9875530409057,261.187030059653,74.1818596953345,99.559694369422,1997.54746165517,1741.5,1550.82505527838,1867,1694,1653,1692.5,81.8434106828558
"2024/2025",2025,121,121,100,53.8992104702226,223.796459452883,79.0050605426648,101.982915633573,2039.37559373815,1720,1550.84102883907,1886,1656.5,1721,1656.5,84.2684982246415
"2025/2026",2026,120,120,100,50.8615373140136,229.245454932717,81.0546939933277,101.485206064981,1894.00760737757,1522.5,1345.59470234441,1750,1440.5,1679,1439,79.8968993456087
"2026/2027",2027,120,120,100,39.5791002796562,179.543321969488,98.2667297634693,100.58095261573,1381.42715151989,1062.5,902.594397739085,1269,1004.5,1210,1004.5,69.4598238265839
"2027/2028",2028,120,120,100,44.8667148933946,164.92471432715,86.2501815966276,100.639366413065,1815.03281049036,1527.5,1326.39917073075,1703,1471.5,1528,1469,78.2290956835659
"2028/2029",2029,121,121,100,48.9648344799034,229.188859880329,85.577703357989,103.635764825559,1709.26410624421,1379.5,1184.7264940227,1604,1298.5,1495,1298.5,78.6696013523542
"2029/2030",2030,120,120,100,44.5769653945469,192.018710026903,86.8489158377763,100.632341510664,1715.64115751274,1422.5,1252.84771315611,1599,1345.5,1458,1345.5,76.7976102106604
"2030/2031",2031,120,120,100,54.4177969968238,253.810473008438,75.9516645878387,99.752412702299,1849.31094841774,1557.5,1435.6712394639,1709.5,1527.5,1492,1526,82.8923932055441
"2031/2032",2032,120,120,100,46.4761390111622,219.955642405479,86.1831094788592,99.1699394316584,1666.43851195868,1400.5,1183.3902153673,1565.5,1312,1464,1308.5,75.9397577813716
"2032/2033",2033,121,121,100,54.7810622717423,213.169751360703,85.5423651691014,101.563288879096,1879.4492719711,1608,1377.77922235682,1746,1552,1627,1541.5,80.0538962940418
"2033/2034",2034,120,120,100,47.6347490870289,208.366032381978,88.3296770918504,102.794661480605,1669.48296917451,1368.5,1146.54329479172,1565,1283,1487,1283,76.1534335347487
"2034/2035",2035,120,120,100,32.5815632508902,149.442632056623,94.5010088359663,100.602607671002,1431.96825852922,1047.5,951.143974182574,1323.5,976.5,1208,976.5,69.7335002773989
"2035/2036",2036,120,120,100,42.2697595009124,181.767902601391,82.9575188640968,101.05503725596,1722.06135272565,1401.5,1241.50900601051,1597,1324,1429,1322,77.5584956040566
"2036/2037",2037,121,121,100,51.9745861487483,221.213590732563,83.2224866531862,99.240353764294,1886.67972856335,1621,1483.73830211169,1747.5,1586,1550,1583,82.7616149447376
"2037/2038",2038,120,120,100,38.2830777655626,161.009392428735,95.3880316645762,102.582954345753,1517.06629352769,1170.5,949.821794636868,1420,1062.5,1369,1062,73.3737810407938
"2038/2039",2039,120,120,100,53.3715924803229,220.384295101095,82.3454408941972,95.5775516986675,1873.83840426849,1617,1446.61864846401,1764,1564.5,1565,1560,79.5388284616893
"2039/2040",2040,120,120,100,52.9208355813843,244.57458516161,72.1200893442081,96.9478054036536,2079.55108577776,1892.5,1714.75352227305,1967,1868,1686,1862,84.1901470672892
"2040/2041",2041,121,121,100,51.9640783472386,235.381363368551,80.4748680380881,102.111754656835,1944.37472160347,1608.5,1420.285812867,1808.5,1520,1698,1518.5,82.1197324473824
"2041/2042",2042,120,120,100,54.1346752813234,198.43906636498,86.4385214580081,103.575566687957,1964.21724564297,1652,1346.52407029583,1869.5,1533,1835,1533,78.6107954515601
"2042/2043",2043,120,120,100,45.5931136967865,202.806706680391,75.9616691980091,90.6421756622836,1908.87175747738,1791,1662.44522785104,1793.5,1766,1466,1746.5,82.8837397713187
"2043/2044",2044,120,120,100,43.2561274008767,199.717941072935,90.7702343388832,104.18432215552,1631.60614492206,1268.5,1028.44062496996,1520,1163.5,1472,1163.5,76.0930796033581
"2044/2045",2045,121,121,100,55.1093803105092,227.216135343765,83.1410189474629,101.662454797795,1974.87772974386,1689.5,1427.61689540174,1852,1604.5,1751,1603,79.7962006143553
"2045/2046",2046,120,120,100,37.4104709313539,191.925100424978,90.8727481016071,98.7992452345754,1502.93765212773,1218,1079.47676590391,1387,1178,1288,1177.5,71.5221903417896
"2046/2047",2047,120,120,100,41.9534071130123,168.556276295283,89.6637297517093,101.605333110016,1641.8970510065,1304,1085.39089917928,1516.5,1217.5,1456,1201.5,73.3088058287813
"2047/2048",2048,120,120,100,49.2253082749497,188.873076388429,95.8678668766969,96.0956306594705,1760.77158862777,1507.5,1301.70249510142,1647.5,1448.5,1521,1439,75.4619188781126
"2048/2049",2049,121,121,100,57.2754327965494,241.687546888118,80.9621777706016,104.958570241031,1970.99781285669,1620.5,1377.08771330376,1846,1533,1770,1533,84.4160243880442
"2049/2050",2050,120,120,100,42.3516578593102,190.418324567996,89.9227075140228,103.145811393128,1605.07660554358,1227.5,1063.38683397157,1473,1167,1401,1167,73.8820390841538
"2050/2051",2051,120,120,100,40.84782409808,190.235073152887,94.1389525385744,105.924074801983,1501.13471195882,1044,831.93348511486,1361.5,922.5,1397,921,71.2908459114979
"2051/2052",2052,120,120,100,41.0082140302222,180.351496056181,83.7466708760437,102.049615789705,1656.90890762996,1280,1143.98134116677,1503.5,1210.5,1393,1201.5,74.7137529813981
"2052/2053",2053,121,121,100,46.7461954972208,198.200343413192,85.7628166162479,97.5420035206134,1782.24030368403,1512,1339.69588161963,1674.5,1449,1467,1437,78.3445880638737
"2053/2054",2054,120,120,100,49.3854264669582,211.076261429081,79.5983838393062,97.6965218902865,1936.92576582308,1713,1536.73497208445,1818.5,1654,1603,1651,81.4284632976232
"2054/2055",2055,120,120,100,50.6010095828277,207.988469412717,76.7327499740297,100.407961480272,1961.00938906422,1679.5,1485.43317537566,1813,1616.5,1643,1609,83.4219724335726
"2055/2056",2056,120,120,100,42.4364121445414,203.786767445469,84.9548019103902,100.705887296461,1697.97139518496,1384,1217.37196861698,1584,1332.5,1416,1327.5,76.2322657648347
"2056/2057",2057,121,121,100,45.7976049754584,186.75987273517,83.7613272716422,102.004570831821,1686.57657120153,1312.5,1078.08866017159,1556.5,1193.5,1465,1168,75.3913421714187
"2057/2058",2058,120,120,100,44.4459796620208,202.194414399764,88.1128010963241,97.8676172651896,1680.29201893063,1424,1276.39772763902,1556,1388.5,1352,1387,73.1701621739539
"2058/2059",2059,120,120,100,58.7878507402505,251.804673058261,75.5134662520016,101.177519686182,2003.24140220974,1678,1499.76665275183,1871.5,1615.5,1702,1612.5,84.6330380858053
"2059/2060",2060,120,120,100,32.8976894372657,165.816272584542,95.4083171911757,99.731449491799,1415.47760353159,1122,965.177954083832,1307,1070.5,1173,1066,66.9267727904498
"2060/2061",2061,121,121,100,46.9987982785004,222.483853797582,78.6980064309438,98.6037201365677,1859.6878782525,1610.5,1467.57606241859,1729.5,1578,1498,1575,82.6349228524577
"2061/2062",2062,120,120,100,33.4561019074563,146.811175281309,85.5338332483383,96.0651075434682,1491.20833052808,1241,1059.06481402619,1388,1173.5,1181,1134.5,70.8207970633575
"2062/2063",2063,120,120,100,43.5155935081103,186.559363390582,91.5822518671273,101.991543563994,1569.50789287477,1221.5,1000.94270913932,1462.5,1132.5,1433,1126,72.3445831732715
"2063/2064",2064,120,120,100,45.9607225781363,190.878886521551,90.34138620394,104.628070564369,1659.11568878419,1305.5,1098.62096377873,1538,1221.5,1501,1221.5,75.0083811583954
"2064/2065",2065,121,121,100,38.4305102394835,183.335568179705,87.7149513562634,98.455267906419,1654.20904020139,1389.5,1258.84554428024,1528,1353.5,1329,1347,77.1962085749365
"2065/2066",2066,120,120,100,50.5529065283674,234.339584617002,80.0374204796319,101.305183931712,1878.91339387922,1567.5,1358.76492493573,1752,1480,1618,1478,81.7417168803368
"2066/2067",2067,120,120,100,57.6719597221086,247.618116950953,79.2440819050522,102.05970486888,1946.53278497321,1611,1408.94451216896,1809,1533,1656,1533,80.9858799825961
"2067/2068",2068,120,120,100,43.4902433470934,185.76193519365,89.6090331174401,103.210461624488,1629.97692927602,1315,1070.99992487209,1519,1197.5,1495,1196,73.8343828040288
"2068/2069",2069,121,121,100,47.4572834360939,197.011313198214,75.7301251959644,96.5014028715828,1948.34368028044,1793.5,1656.65585078382,1829.5,1778.5,1538,1773.5,84.9139735144236
"2069/2070",2070,120,120,100,39.0610776510767,181.349521907447,87.2061325659882,99.2928731120028,1611.42927330459,1333.5,1150.79201651992,1490,1287,1353,1268.5,73.2933627298953
"2070/2071",2071,120,120,100,52.4003444572115,219.139945932479,84.4955566567622,99.0155958379582,1839.7272769397,1591,1369.82169674111,1726.5,1515.5,1589,1515,76.2585470105205
"2071/2072",2072,120,120,100,49.5661992269371,198.429359651307,87.6923553896378,101.393742833213,1798.89799391391,1470,1270.01041814612,1674.5,1407,1584,1405.5,76.4321460187202
"2072/2073",2073,121,121,100,44.0826135210847,217.306173637664,78.9180565856939,99.7400797927527,1705.67969093245,1426.5,1297.68810440005,1571.5,1385.5,1326,1380.5,80.4280406460311
"2073/2074",2074,120,120,100,53.0013937826288,233.15498757493,78.9559533111611,96.1457080242605,2013.5463029024,1782.5,1614.49247072631,1894,1759.5,1663,1755.5,82.8683181036995
"2074/2075",2075,120,120,100,39.7429848422034,173.056679367542,88.1008712591599,92.9455907698828,1493.18049681059,1203,1047.31855435876,1332,1190.5,1233,1126,68.0748755467084
"2075/2076",2076,120,120,100,46.7969775981447,225.619032934,79.5131132045235,96.885593488244,1806.15724521485,1562,1449.26401792209,1674.5,1562.5,1417,1554,79.8950042546985
"2076/2077",2077,121,121,100,58.1323980872063,237.40581232777,75.2577926900357,100.448141422179,2080.02606709523,1807.5,1610.16267280746,1955,1743,1752,1743,85.8177877154776
"2077/2078",2078,120,120,100,44.8387826976068,189.663208636665,91.2568628365127,104.595169387407,1590.4413158127,1231.5,1014.34787924335,1463,1133.5,1412,1133.5,72.549438530019
"2078/2079",2079,120,120,100,50.4726815148674,180.554020797395,95.5141569035659,100.514077551894,1733.62749718683,1421,1198.85697459657,1619,1339,1602,1339,72.0199480443662
"2079/2080",2080,120,120,100,54.9930598667549,204.219791131815,83.2443555713793,101.353800618766,1961.71192310087,1644,1418.72914876736,1835.5,1560,1748,1558.5,81.3802595711604
