"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.57,2.42,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.89,2.41,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.85,1.65,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.53,1.81,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
0.85,1.29,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.58,1.79,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
2.62,3.41,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
3.93,4.92,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
3.34,3.73,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.5,2.16,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.59,1.79,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
1.31,1.5,"rcp45",2035,2065,2050,1990,"relative","GFDL-CM3"
