"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.14,2.33,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
2.4,1.89,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
2.19,1.74,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
2.09,1.83,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
2.51,3.04,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.86,2.27,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.94,2.78,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.76,2.73,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.39,2.03,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
0.49,0.66,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
2.06,1.62,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.79,1.35,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
