"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.01,2.52,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.87,2.26,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.55,1.9,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.71,1.7,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.55,1.3,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.76,3.78,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.88,3.49,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
3.27,3.86,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.98,3.62,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.44,3.07,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
3.25,3.4,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
3.81,3.19,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
