"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.02,1.54,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.44,1.05,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.34,1.51,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.4,1.29,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.61,0.76,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.16,0.14,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
-0.02,1.04,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.22,2.29,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.61,0.9,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.46,0.6,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
-0.43,0,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.19,0.79,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
