"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.74,2.98,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
3.71,2.98,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.92,2.36,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.52,1.45,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
1.67,0.39,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
1.26,-0.09,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.57,2.22,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.56,2.66,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.34,1.85,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
1.66,1.03,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.3,1.58,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.67,2.02,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
