"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.94,4.6,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.72,4.68,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.01,5.09,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
3.95,4.9,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.51,4.9,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
5.74,5.8,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
6.54,6.82,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
6.5,5.53,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
6.56,6.26,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
5.37,4.92,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.24,3.73,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.75,4.46,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
