"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
5.25,4.39,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.73,4.8,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
4.68,3.78,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
4.01,3.84,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
4.29,4.2,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.5,5.36,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
6.57,7.05,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
7.11,7.61,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
6.19,6.94,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
4.95,4.97,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
4.78,4.04,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.16,4.12,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
