"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,67.4594491245833,1440.98108503979,1676
"2002/2003",2003,120,120,100,72.1527466970335,1532.63090257681,1615
"2003/2004",2004,120,120,100,72.757386499597,2846.60570585859,1353
"2004/2005",2005,121,121,100,69.1022289287632,2082.56571219469,1646
"2005/2006",2006,120,120,100,61.8300713861116,1569.5627828548,1729
"2006/2007",2007,120,120,100,65.9593912500586,2045.39225817926,1667
"2007/2008",2008,120,120,100,77.0609993136504,2108.17463472759,1439
"2008/2009",2009,121,121,100,66.9145770221246,2121.13542237721,1459
"2009/2010",2010,120,120,100,68.2367863780576,2025.37256040575,1623
"2010/2011",2011,120,120,100,54.7941570771761,3571.3661230912,1660
"2011/2012",2012,120,120,100,75.3650119189563,1697.43713804102,1520
"2012/2013",2013,121,121,100,71.9237193793847,2048.3567117448,1530
"2013/2014",2014,120,120,100,68.501283869138,3323.98585357668,1415
"2014/2015",2015,120,120,100,75.3580802895317,2136.36479967006,1216
"2015/2016",2016,120,120,100,72.4552283343762,1402.7163660255,1636
"2016/2017",2017,121,121,100,67.7045351135482,1607.25720544776,1559
"2017/2018",2018,120,120,100,69.0866818814477,2456.93687152141,1579
"2018/2019",2019,120,120,100,74.5848241823487,3198.10629663221,1367
"2019/2020",2020,120,120,100,70.0395176633901,1500.51720152737,1632
"2020/2021",2021,121,121,100,63.3699546740995,1585.12605666253,1790
"2021/2022",2022,120,120,100,78.1082624485007,2459.33062576922,1213
"2022/2023",2023,120,120,100,72.9517924972156,1873.58958530542,1563
"2023/2024",2024,120,120,100,65.0728362416939,1410.31246965658,1782
"2024/2025",2025,121,121,100,69.5138195450395,1712.82047408866,1803
"2025/2026",2026,120,120,100,64.0359260417977,2285.6434266374,1662
"2026/2027",2027,120,120,100,72.8493070131026,3629.17060169973,1030
"2027/2028",2028,120,120,100,74.2560052989979,2096.95790654584,1583
"2028/2029",2029,121,121,100,73.6162722804256,1996.33875770541,1331
"2029/2030",2030,120,120,100,72.1423791645952,1984.09484379971,1472
"2030/2031",2031,120,120,100,67.1891586031957,1556.49595250771,1694
"2031/2032",2032,120,120,100,74.6598710828148,1348.63815700007,1511
"2032/2033",2033,121,121,100,71.1383693983935,2241.73340426199,1528
"2033/2034",2034,120,120,100,71.0779357337242,2802.57586172014,1323
"2034/2035",2035,120,120,100,80.6535875477293,2506.20939892414,1206
"2035/2036",2036,120,120,100,75.1228336091999,1450.28708258341,1456
"2036/2037",2037,121,121,100,71.5655252223933,1594.09668115759,1591
"2037/2038",2038,120,120,100,78.6753710039293,2912.6781095902,1213
"2038/2039",2039,120,120,100,64.2267043746815,2121.05866925372,1708
"2039/2040",2040,120,120,100,64.0891937440856,577.230765945744,1919
"2040/2041",2041,121,121,100,73.3071454456449,1272.52976430068,1689
"2041/2042",2042,120,120,100,71.5066076830035,2493.41106527438,1588
"2042/2043",2043,120,120,100,65.5795102843231,927.550070691388,1842
"2043/2044",2044,120,120,100,68.2115826812797,4013.68771151034,1485
