"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.3487298377591,3045.05540316833,1232
"2002/2003",2003,120,120,100,72.7890021377396,4296.20149015919,1180
"2003/2004",2004,120,120,100,71.7663938095047,3153.97681971526,1411
"2004/2005",2005,121,121,100,74.9799799852195,2788.26661129313,1367
"2005/2006",2006,120,120,100,69.9989615542,3318.76868573821,1393
"2006/2007",2007,120,120,100,64.7458246508429,2564.2719873148,1665
"2007/2008",2008,120,120,100,79.6680522674442,3580.64973599633,1051
"2008/2009",2009,121,121,100,67.8004722645179,2622.86843180173,1632
"2009/2010",2010,120,120,100,80.2884677716499,3143.20944047876,1117
"2010/2011",2011,120,120,100,69.3674945280295,4963.79178555077,1200
"2011/2012",2012,120,120,100,80.4278903947179,3118.6104195012,940
"2012/2013",2013,121,121,100,71.5706018898138,2915.12930699368,1449
"2013/2014",2014,120,120,100,65.4602022805825,5069.62867105834,1195
"2014/2015",2015,120,120,100,78.7026139942618,3222.03306365863,1164
"2015/2016",2016,120,120,100,73.5326568929095,4090.13381153811,1202
"2016/2017",2017,121,121,100,69.1568538585279,3035.58579597285,1525
"2017/2018",2018,120,120,100,75.7102689047097,3832.55986178794,1135
"2018/2019",2019,120,120,100,79.9100189166827,5360.09838838049,776
"2019/2020",2020,120,120,100,73.0317091855952,3879.76166277728,1261
"2020/2021",2021,121,121,100,68.163461898389,2753.59501610021,1496
"2021/2022",2022,120,120,100,80.3477171429176,3192.42095444771,1049
"2022/2023",2023,120,120,100,76.5751319888868,4821.67426182888,1003
"2023/2024",2024,120,120,100,72.5766533028564,2961.89880266553,1430
"2024/2025",2025,121,121,100,74.2849984601912,5218.91031062417,1033
"2025/2026",2026,120,120,100,71.9735331892339,2786.1365825797,1282
"2026/2027",2027,120,120,100,62.8373085709159,4782.61707302509,1476
"2027/2028",2028,120,120,100,79.8944004697228,4731.97638883931,910
"2028/2029",2029,121,121,100,74.117807053196,1622.44031481142,1541
"2029/2030",2030,120,120,100,72.9042158323537,3821.24171419977,1167
"2030/2031",2031,120,120,100,59.7024072136719,3513.28892183141,1704
"2031/2032",2032,120,120,100,70.3969762903371,2495.15197832999,1459
"2032/2033",2033,121,121,100,76.4302092433613,3938.63705392508,1145
"2033/2034",2034,120,120,100,70.7844025729601,3018.91058311355,1440
"2034/2035",2035,120,120,100,77.3349774624653,4276.70324769011,1049
"2035/2036",2036,120,120,100,74.6727175534984,4417.67293106276,1116
"2036/2037",2037,121,121,100,74.4395487191969,2860.10518575809,1347
"2037/2038",2038,120,120,100,77.0935759631557,4429.89139044704,1039
"2038/2039",2039,120,120,100,72.0618088223605,4922.55967805209,1161
"2039/2040",2040,120,120,100,70.7192193541096,3474.26007750351,1430
"2040/2041",2041,121,121,100,76.6240456023561,3577.40716311289,1315
"2041/2042",2042,120,120,100,71.9925621324201,7298.54417207558,731
