"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.6997410120468,2238.74366120542,1353
"2002/2003",2003,120,120,100,72.632840014424,3344.57255979128,1272
"2003/2004",2004,120,120,100,71.6302081855608,2387.35013705344,1502
"2004/2005",2005,121,121,100,74.1388952821512,2073.70554227722,1472
"2005/2006",2006,120,120,100,70.8540042198946,2569.0849066152,1525
"2006/2007",2007,120,120,100,61.5432789125305,1935.66229567543,1748
"2007/2008",2008,120,120,100,78.4721453860795,2498.93758739438,1172
"2008/2009",2009,121,121,100,65.3785077829658,1963.21883608378,1753
"2009/2010",2010,120,120,100,81.2599616836121,2191.6029969618,1237
"2010/2011",2011,120,120,100,70.4767192250283,3938.40006819996,1310
"2011/2012",2012,120,120,100,81.8820955518433,2199.37028563896,1038
"2012/2013",2013,121,121,100,71.0839022020425,2195.43948676775,1568
"2013/2014",2014,120,120,100,64.6177542361693,4201.44800629257,1263
"2014/2015",2015,120,120,100,76.6227264007578,2419.60576452687,1280
"2015/2016",2016,120,120,100,72.2466921307371,3283.13165654335,1347
"2016/2017",2017,121,121,100,66.6928358743928,2383.48087512748,1676
"2017/2018",2018,120,120,100,76.9500357526974,2929.29220244137,1238
"2018/2019",2019,120,120,100,80.3830408606818,4196.38240548701,881
"2019/2020",2020,120,120,100,73.2405879636613,2901.86432134791,1361
"2020/2021",2021,121,121,100,65.5170992874864,2170.5208767287,1599
"2021/2022",2022,120,120,100,76.3934670661115,2275.96609389177,1169
"2022/2023",2023,120,120,100,77.3463540795624,3694.22995632584,1111
"2023/2024",2024,120,120,100,72.3520703852432,2231.425739008,1531
"2024/2025",2025,121,121,100,76.2260993124382,4070.69626702485,1143
"2025/2026",2026,120,120,100,72.1850566525045,2052.36109489133,1370
"2026/2027",2027,120,120,100,62.2476915808134,4053.44795624004,1601
"2027/2028",2028,120,120,100,79.9498664961657,3646.07910889224,996
"2028/2029",2029,121,121,100,72.6231031918728,1114.18968331814,1699
"2029/2030",2030,120,120,100,74.6183386405878,2950.07629402797,1300
"2030/2031",2031,120,120,100,58.9738953516535,2862.3607876841,1813
"2031/2032",2032,120,120,100,70.8506831904915,1841.97291317745,1598
"2032/2033",2033,121,121,100,75.8444025784956,3012.3601758217,1288
"2033/2034",2034,120,120,100,68.4296641767878,2288.27936995146,1560
"2034/2035",2035,120,120,100,76.0922058804449,3245.7962659609,1189
"2035/2036",2036,120,120,100,74.0460752042159,3506.98639645823,1235
"2036/2037",2037,121,121,100,73.8265197565734,2086.58587202546,1444
"2037/2038",2038,120,120,100,76.797353610792,3401.05324841966,1171
"2038/2039",2039,120,120,100,72.4369341446063,3860.71221030341,1287
"2039/2040",2040,120,120,100,67.1086203243385,2593.65273198858,1551
"2040/2041",2041,121,121,100,75.4727454653412,2642.0379675366,1419
"2041/2042",2042,120,120,100,77.0824930418903,5983.51223714929,811
"2042/2043",2043,120,120,100,75.4456360896611,1284.72754571121,1470
"2043/2044",2044,120,120,100,72.7167864085086,2884.65501403483,1406
"2044/2045",2045,121,121,100,78.2523667911837,1597.72679436533,1315
"2045/2046",2046,120,120,100,69.4426359543295,1348.6135309618,1658
"2046/2047",2047,120,120,100,77.8367013014267,2940.6836113343,1088
