"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.9341672264012,3351.68807914408,1131
"2002/2003",2003,120,120,100,74.000537034398,4518.62271314595,1064
"2003/2004",2004,120,120,100,72.5810943072664,3307.98095999085,1317
"2004/2005",2005,121,121,100,76.9480813594989,3071.10602217028,1250
"2005/2006",2006,120,120,100,71.9209242557577,3466.31134059594,1297
"2006/2007",2007,120,120,100,67.7214696276839,2654.3026323978,1568
"2007/2008",2008,120,120,100,80.2417173763425,3959.67812177027,934
"2008/2009",2009,121,121,100,68.9817482045178,2850.9362668845,1518
"2009/2010",2010,120,120,100,79.6665358780982,3624.319848963,1024
"2010/2011",2011,120,120,100,71.0712200828978,5329.79083361337,1113
"2011/2012",2012,120,120,100,83.1271170255925,3479.7192226327,844
"2012/2013",2013,121,121,100,72.422661421884,3040.1749626341,1375
"2013/2014",2014,120,120,100,65.2191907222268,5271.18001527409,1096
"2014/2015",2015,120,120,100,78.6040445835979,3592.74518392945,1053
"2015/2016",2016,120,120,100,75.8410725977833,4240.67191743699,1103
"2016/2017",2017,121,121,100,71.4556131240013,3289.69370507891,1403
"2017/2018",2018,120,120,100,77.2984801044438,4159.51161550358,1045
"2018/2019",2019,120,120,100,79.7589048728823,5838.33392823755,648
"2019/2020",2020,120,120,100,74.3636223282497,4149.44747496536,1168
"2020/2021",2021,121,121,100,69.967968565511,2880.9504863047,1370
"2021/2022",2022,120,120,100,80.8379598772271,3677.08994671516,949
"2022/2023",2023,120,120,100,77.5527127768296,5185.92200350971,903
"2023/2024",2024,120,120,100,74.3439589027148,3105.64189067273,1300
"2024/2025",2025,121,121,100,76.9517439021661,5496.84303393704,915
"2025/2026",2026,120,120,100,75.0303533410788,2984.70794956782,1177
"2026/2027",2027,120,120,100,63.8066991994142,4859.40776209417,1390
"2027/2028",2028,120,120,100,79.3253695127019,5153.27605554531,784
"2028/2029",2029,121,121,100,75.791815961672,1832.39634711971,1419
"2029/2030",2030,120,120,100,76.0254411560445,3994.29114874941,1050
"2030/2031",2031,120,120,100,60.9543557964284,3554.49386664107,1631
"2031/2032",2032,120,120,100,74.9465428519275,2606.3741184189,1383
"2032/2033",2033,121,121,100,75.700846730806,4377.25405917945,1059
"2033/2034",2034,120,120,100,70.6825628644683,3364.60482607083,1302
"2034/2035",2035,120,120,100,77.3082583378955,4716.80918826675,919
"2035/2036",2036,120,120,100,75.5836984564598,4712.42516957712,1001
"2036/2037",2037,121,121,100,78.2890723189621,3048.53215884347,1213
"2037/2038",2038,120,120,100,77.9841074584533,4781.73381459666,918
"2038/2039",2039,120,120,100,73.1300821253753,5202.1222267421,1036
"2039/2040",2040,120,120,100,70.5950457099989,3807.5384962121,1336
