"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.9162691494044,4012.12575825716,975
"2002/2003",2003,120,120,100,71.5214356469648,5375.54856502687,966
"2003/2004",2004,120,120,100,74.223901856097,3972.8086465266,1228
"2004/2005",2005,121,121,100,77.3304306546431,3535.20429275889,1120
"2005/2006",2006,120,120,100,70.4546093953101,4165.40282270452,1151
"2006/2007",2007,120,120,100,69.0171315611686,3157.57781410741,1473
"2007/2008",2008,120,120,100,79.1870719525448,4807.70707474183,785
"2008/2009",2009,121,121,100,72.1976961845052,3142.86785781343,1413
"2009/2010",2010,120,120,100,83.3706175135147,4133.14177069813,869
"2010/2011",2011,120,120,100,71.338753487933,5874.20352899923,960
"2011/2012",2012,120,120,100,83.6473844412046,4413.56343705137,755
"2012/2013",2013,121,121,100,72.8557564735452,3757.0252352528,1237
"2013/2014",2014,120,120,100,67.3944454925772,6070.9553973747,1008
"2014/2015",2015,120,120,100,79.8771107082443,4091.16068016202,902
"2015/2016",2016,120,120,100,74.6503729318595,5056.72678973561,949
"2016/2017",2017,121,121,100,73.3692661728621,3763.30674597435,1279
"2017/2018",2018,120,120,100,75.842084259391,4885.48579918267,914
"2018/2019",2019,120,120,100,78.0951361586287,6806.01498265401,531
"2019/2020",2020,120,120,100,75.0775459289125,4878.00948828063,1004
"2020/2021",2021,121,121,100,70.626964301423,3548.86394863739,1302
"2021/2022",2022,120,120,100,81.7956616523597,4304.24780175579,802
"2022/2023",2023,120,120,100,74.9618006612031,6205.77692386648,800
"2023/2024",2024,120,120,100,74.7024524786243,3789.87395131984,1186
"2024/2025",2025,121,121,100,77.0197944879628,6359.53105332493,806
"2025/2026",2026,120,120,100,75.7017776313082,3709.22861916013,1071
"2026/2027",2027,120,120,100,67.1471960718968,5475.61353985174,1267
"2027/2028",2028,120,120,100,79.4613421705385,5926.02772074076,642
"2028/2029",2029,121,121,100,78.2920495468888,2267.91920228163,1260
"2029/2030",2030,120,120,100,76.5158714790864,4841.10585739044,928
"2030/2031",2031,120,120,100,60.7243123046192,4164.55360606499,1525
