"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.9651881099821,5470.29698149255,614
"2002/2003",2003,120,120,100,72.9687080957461,7136.03229267,651
"2003/2004",2004,120,120,100,76.8801284921838,5369.67034773162,933
"2004/2005",2005,121,121,100,79.471592977759,4964.16986880454,796
"2005/2006",2006,120,120,100,74.172179915184,5431.98611510749,879
"2006/2007",2007,120,120,100,70.9570887262448,4265.74274423817,1148
"2007/2008",2008,120,120,100,79.1348400795395,6677.22968330968,526
"2008/2009",2009,121,121,100,72.8579330798968,4433.10780313489,1108
"2009/2010",2010,120,120,100,81.9615704459871,6044.13949677639,551
"2010/2011",2011,120,120,100,66.9356954084366,7982.99811009225,726
"2011/2012",2012,120,120,100,83.9365215619055,6301.66381836822,483
"2012/2013",2013,121,121,100,75.2337336595592,4932.89213686436,944
"2013/2014",2014,120,120,100,66.5475358360941,7880.6102703826,718
"2014/2015",2015,120,120,100,75.85143397039,5818.75995652482,558
"2015/2016",2016,120,120,100,76.3520418376224,6644.32277309801,680
"2016/2017",2017,121,121,100,73.3477166985128,5104.8866924711,943
"2017/2018",2018,120,120,100,77.6263284532931,6812.16269572673,627
"2018/2019",2019,120,120,100,77.2885526525342,9089.42575204605,266
"2019/2020",2020,120,120,100,75.9921940505767,6482.00695606251,768
"2020/2021",2021,121,121,100,75.781477415248,4632.87603289052,936
"2021/2022",2022,120,120,100,83.453959032734,6138.6355861309,506
"2022/2023",2023,120,120,100,78.7688780271274,8060.74392696214,523
"2023/2024",2024,120,120,100,77.4918722472794,4924.56942118262,858
"2024/2025",2025,121,121,100,76.4579793707721,8337.92859418713,536
"2025/2026",2026,120,120,100,75.1911277491067,5404.00556644332,834
"2026/2027",2027,120,120,100,68.3993940425007,6684.79697028943,960
"2027/2028",2028,120,120,100,76.6182230881741,8367.51838450436,376
"2028/2029",2029,121,121,100,82.3756933623827,3261.9098817599,847
"2029/2030",2030,120,120,100,75.6277167689204,6439.74436156754,622
"2030/2031",2031,120,120,100,61.5590966260734,5339.23613381735,1285
"2031/2032",2032,120,120,100,77.5957503900972,4304.42449581274,1000
"2032/2033",2033,121,121,100,77.0324811985056,6993.79684392293,636
"2033/2034",2034,120,120,100,74.3760506760882,5358.62290894403,847
"2034/2035",2035,120,120,100,77.7314054782364,7362.86598720844,460
"2035/2036",2036,120,120,100,77.8710078385866,7422.43727622833,544
"2036/2037",2037,121,121,100,79.3475945873301,5277.75547350291,821
"2037/2038",2038,120,120,100,76.4851843755691,7585.72435551509,471
"2038/2039",2039,120,120,100,71.6342288660112,7616.2048899238,610
"2039/2040",2040,120,120,100,73.8600551359541,5865.76820660848,845
"2040/2041",2041,121,121,100,79.9858793492472,6027.35214939574,676
"2041/2042",2042,120,120,100,72.6748303235363,11486.0054145246,298
"2042/2043",2043,120,120,100,81.4055829344125,4012.05187110789,717
"2043/2044",2044,120,120,100,77.1717996862189,6302.85715356376,746
"2044/2045",2045,121,121,100,84.2922464839048,4816.7823511092,569
"2045/2046",2046,120,120,100,79.7092267111975,3717.58541235561,894
"2046/2047",2047,120,120,100,77.0969312187081,7168.93027892802,497
"2047/2048",2048,120,120,100,75.3192862500891,8275.62497701449,528
"2048/2049",2049,121,121,100,79.0480022063448,4164.29571521142,868
"2049/2050",2050,120,120,100,80.5611808467238,4820.45325309318,701
"2050/2051",2051,120,120,100,78.2594767594419,5574.80603095796,718
"2051/2052",2052,120,120,100,67.5630376513209,7623.06545043224,808
"2052/2053",2053,121,121,100,73.5934270060297,8654.34500053758,435
"2053/2054",2054,120,120,100,72.8502808580834,7700.25538108917,674
"2054/2055",2055,120,120,100,77.9955508854764,6379.10307216039,627
"2055/2056",2056,120,120,100,81.5261519821261,6075.33280411502,481
"2056/2057",2057,121,121,100,75.9854537662004,8521.39301191969,509
"2057/2058",2058,120,120,100,68.1938239132687,8389.05816300865,762
"2058/2059",2059,120,120,100,78.6940099590656,4451.66933694435,847
"2059/2060",2060,120,120,100,71.953421623296,6913.34199528163,721
"2060/2061",2061,121,121,100,70.5534473553525,6261.78051096294,891
"2061/2062",2062,120,120,100,74.2785162724313,7055.79412987409,698
"2062/2063",2063,120,120,100,74.5192182046221,5638.28720007045,777
"2063/2064",2064,120,120,100,77.4636451544411,7133.18887151266,644
"2064/2065",2065,121,121,100,74.2978914577452,7644.49399166275,693
"2065/2066",2066,120,120,100,72.610661404251,6076.28086458426,953
"2066/2067",2067,120,120,100,80.6947232814873,4924.13011010643,738
"2067/2068",2068,120,120,100,74.1276396355297,6356.22962564509,783
"2068/2069",2069,121,121,100,76.8719434335171,5760.73555153981,785
"2069/2070",2070,120,120,100,73.0415872939184,5943.41152990703,923
"2070/2071",2071,120,120,100,78.1138284194649,5675.66561777052,665
"2071/2072",2072,120,120,100,75.877908375981,8613.45641412959,464
"2072/2073",2073,121,121,100,76.6893013078661,5508.26611561608,881
"2073/2074",2074,120,120,100,74.4632979192875,6673.08895993046,675
"2074/2075",2075,120,120,100,79.6590198954245,5542.91385660134,765
"2075/2076",2076,120,120,100,76.9588705039996,6645.97801643237,706
"2076/2077",2077,121,121,100,79.1483033660516,5279.71594822872,647
"2077/2078",2078,120,120,100,75.2832171862965,6869.62216074299,653
"2078/2079",2079,120,120,100,77.3770105400035,8431.69639581162,379
"2079/2080",2080,120,120,100,76.3964792248662,8528.11831128411,578
"2080/2081",2081,121,121,100,80.822760953959,7349.0748216873,612
"2081/2082",2082,120,120,100,75.7373227986682,6006.25153072551,802
"2082/2083",2083,120,120,100,79.204417961666,7002.56087363791,560
"2083/2084",2084,120,120,100,71.8479980488992,4581.55846105702,1133
"2084/2085",2085,121,121,100,78.9246131184955,6575.6430848036,630
"2085/2086",2086,120,120,100,72.6269161338532,5920.173919091,816
"2086/2087",2087,120,120,100,76.9753286016967,6790.94582523312,683
"2087/2088",2088,120,120,100,79.3988557646881,6183.53607592825,601
"2088/2089",2089,121,121,100,78.9089371976406,5012.76868550759,923
"2089/2090",2090,120,120,100,78.2492995877328,4336.92164126132,812
"2090/2091",2091,120,120,100,78.9573061366718,6643.3363319682,519
"2091/2092",2092,120,120,100,81.4962286630525,5717.2502364004,572
"2092/2093",2093,121,121,100,75.2849839208084,8200.13144844212,511
"2093/2094",2094,120,120,100,76.92734846655,7626.63993715122,460
"2094/2095",2095,120,120,100,78.7461738004204,5982.78447316214,532
"2095/2096",2096,120,120,100,74.9195489272915,5908.86907315534,758
"2096/2097",2097,121,121,100,74.8832042708818,5121.41411703639,931
"2097/2098",2098,120,120,100,80.4216696370549,5088.96234695055,701
"2098/2099",2099,120,120,100,70.4612536090826,5993.1407043403,937
"2099/2100",2100,120,120,100,75.8836076650914,7414.07513274066,634
"2100/2101",2101,120,120,100,81.905636928168,5634.12122962438,596
