"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,74.8315313813212,2536.79553719165,1411
"2002/2003",2003,120,120,100,72.7092928898086,3551.42472331195,1318
"2003/2004",2004,120,120,100,70.9361396812295,2545.63116018061,1538
"2004/2005",2005,121,121,100,71.6708495199435,2360.74390043493,1530
"2005/2006",2006,120,120,100,69.2357908243232,2648.97566496432,1548
"2006/2007",2007,120,120,100,64.1400074461138,2057.74106135836,1772
"2007/2008",2008,120,120,100,77.6242168138974,2685.97252832662,1221
"2008/2009",2009,121,121,100,66.368584510603,2171.24705164216,1780
"2009/2010",2010,120,120,100,79.9499134002608,2498.23534730921,1291
"2010/2011",2011,120,120,100,68.2325898193708,4140.34153559955,1355
"2011/2012",2012,120,120,100,81.1611440182792,2399.68406604149,1073
"2012/2013",2013,121,121,100,69.6443587305675,2276.40355083486,1638
"2013/2014",2014,120,120,100,66.1226589154405,4298.36097868299,1296
"2014/2015",2015,120,120,100,76.2816710574016,2737.34372070956,1344
"2015/2016",2016,120,120,100,69.7146683454073,3509.02615569241,1408
"2016/2017",2017,121,121,100,68.1348860583723,2651.97392231028,1721
"2017/2018",2018,120,120,100,75.2244342832942,3170.5267007394,1280
"2018/2019",2019,120,120,100,79.9431603885778,4465.50132587366,943
"2019/2020",2020,120,120,100,73.9204076444557,3035.46533673035,1403
"2020/2021",2021,121,121,100,66.1864821797053,2277.04791589547,1620
"2021/2022",2022,120,120,100,77.5565947465866,2449.55465767067,1197
"2022/2023",2023,120,120,100,76.7120936341012,3872.06003027456,1162
"2023/2024",2024,120,120,100,71.7122370769307,2311.59578258963,1566
"2024/2025",2025,121,121,100,74.3803755281651,4237.33337260573,1191
"2025/2026",2026,120,120,100,71.0954458995188,2190.45006488194,1405
"2026/2027",2027,120,120,100,62.1916609341774,4044.5143591736,1614
"2027/2028",2028,120,120,100,78.6806554570439,3961.75827495661,1086
"2028/2029",2029,121,121,100,71.6114461351895,1294.72934904275,1749
"2029/2030",2030,120,120,100,73.077254326186,3118.70933889132,1352
"2030/2031",2031,120,120,100,61.1730816589179,2927.40955384937,1825
"2031/2032",2032,120,120,100,70.7608721329884,1910.60748960869,1654
"2032/2033",2033,121,121,100,74.8107972250509,3168.16671088408,1340
"2033/2034",2034,120,120,100,69.5628079012658,2499.05975883803,1602
"2034/2035",2035,120,120,100,76.6493929943613,3464.7169444859,1236
"2035/2036",2036,120,120,100,71.77600823084,3710.45223425236,1282
"2036/2037",2037,121,121,100,73.8019139788812,2167.84133204701,1462
"2037/2038",2038,120,120,100,76.3484298751846,3617.2345396399,1213
"2038/2039",2039,120,120,100,72.0582813602896,4187.36472824984,1356
"2039/2040",2040,120,120,100,68.3681466132903,2847.29492663359,1608
"2040/2041",2041,121,121,100,76.1629423025606,2819.76315848809,1461
"2041/2042",2042,120,120,100,74.4934700268295,6393.05977929058,904
"2042/2043",2043,120,120,100,75.4414174503345,1426.01246627048,1504
"2043/2044",2044,120,120,100,70.7179902784774,3170.37569772545,1458
"2044/2045",2045,121,121,100,76.9484066274363,1880.06448377343,1378
"2045/2046",2046,120,120,100,68.34109317823,1541.2506073853,1689
"2046/2047",2047,120,120,100,76.9411420676679,3248.49401970673,1165
"2047/2048",2048,120,120,100,74.6435450992085,3947.5552188349,1117
"2048/2049",2049,121,121,100,72.76028898407,1770.82802431332,1581
"2049/2050",2050,120,120,100,70.5930631670999,1966.67199706612,1442
"2050/2051",2051,120,120,100,72.5527225437982,2504.88372116908,1441
"2051/2052",2052,120,120,100,67.8728423639814,4372.90277472045,1398
"2052/2053",2053,121,121,100,76.2892720973277,4679.23775904579,1216
"2053/2054",2054,120,120,100,71.6020130286815,3975.26506732684,1323
"2054/2055",2055,120,120,100,74.3611690094458,3016.01103322906,1347
"2055/2056",2056,120,120,100,77.0524966935163,2760.05024141073,1292
"2056/2057",2057,121,121,100,76.0279100563639,3993.92702793749,1116
"2057/2058",2058,120,120,100,69.3464805497988,4520.93466401147,1343
"2058/2059",2059,120,120,100,68.546077489249,1973.29854889773,1636
"2059/2060",2060,120,120,100,72.9471125947357,3191.83089481387,1382
"2060/2061",2061,121,121,100,70.0835650383142,3244.75322187552,1509
"2061/2062",2062,120,120,100,73.4282433352646,3001.90773572633,1246
"2062/2063",2063,120,120,100,70.9778858413156,2680.12822157145,1459
"2063/2064",2064,120,120,100,73.3788990984003,3883.6579772206,1335
"2064/2065",2065,121,121,100,74.4216391678638,3620.30485738069,1334
"2065/2066",2066,120,120,100,67.4544767898406,3277.40220452519,1631
"2066/2067",2067,120,120,100,73.6400499377551,1848.46873055352,1418
"2067/2068",2068,120,120,100,72.5504750697792,3189.14624570962,1466
"2068/2069",2069,121,121,100,69.77309992343,2710.29024525778,1470
"2069/2070",2070,120,120,100,68.9970795940899,2668.67208987242,1531
"2070/2071",2071,120,120,100,75.1106748905886,2580.26139655756,1338
"2071/2072",2072,120,120,100,76.4841685675292,4068.78935624706,1097
"2072/2073",2073,121,121,100,72.3216393866987,2527.96188563528,1446
