"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.4105674861884,3975.50852212504,986
"2002/2003",2003,120,120,100,76.4552949802971,4761.51537493314,891
"2003/2004",2004,120,120,100,73.2909868350723,2909.32116538193,1303
"2004/2005",2005,121,121,100,74.5635459274723,2838.51789039004,1294
"2005/2006",2006,120,120,100,80.0252851760118,3384.7053111401,1079
"2006/2007",2007,120,120,100,70.0831341787172,2594.56566573307,1477
"2007/2008",2008,120,120,100,83.0702026113497,4029.15145297226,673
"2008/2009",2009,121,121,100,66.5461810051215,2300.27361426415,1657
"2009/2010",2010,120,120,100,78.7549458123381,3429.36161444895,944
"2010/2011",2011,120,120,100,75.6637417434804,5131.7411568223,1044
"2011/2012",2012,120,120,100,80.2294280603951,4392.24407119327,810
"2012/2013",2013,121,121,100,71.8499739850708,2964.32190529106,1286
"2013/2014",2014,120,120,100,77.692886985823,3826.16074074584,974
"2014/2015",2015,120,120,100,76.3070566815791,2572.72253935784,1154
"2015/2016",2016,120,120,100,76.9384910387741,4570.13797907077,1007
"2016/2017",2017,121,121,100,76.6917865939038,2349.77594405005,1323
"2017/2018",2018,120,120,100,76.9654158695271,4720.74422217149,916
"2018/2019",2019,120,120,100,83.3568202549845,4820.71623206593,578
"2019/2020",2020,120,120,100,75.9450396029329,3336.17085055693,1101
"2020/2021",2021,121,121,100,75.2745981522417,3750.1069559264,1232
"2021/2022",2022,120,120,100,77.8043164138348,3118.68380664522,953
"2022/2023",2023,120,120,100,74.9518215196035,5265.72652355512,857
"2023/2024",2024,120,120,100,79.2744156401181,2378.22757152165,1288
"2024/2025",2025,121,121,100,78.3627967762186,5766.8095172625,864
"2025/2026",2026,120,120,100,77.5459436252895,4194.19000026654,1032
"2026/2027",2027,120,120,100,66.3778888239435,2643.76375953155,1492
"2027/2028",2028,120,120,100,76.1516496672252,6442.40340847988,697
"2028/2029",2029,121,121,100,76.2048047766234,1247.71992527461,1393
"2029/2030",2030,120,120,100,76.3487136836143,3875.65222398588,960
"2030/2031",2031,120,120,100,64.498776345064,3476.68747710483,1594
"2031/2032",2032,120,120,100,71.3015244243688,1923.58376644249,1415
"2032/2033",2033,121,121,100,81.2017020937292,4426.41011434328,870
"2033/2034",2034,120,120,100,71.3359421474447,3288.24808600591,1332
"2034/2035",2035,120,120,100,78.4131353842104,3541.11918594316,896
"2035/2036",2036,120,120,100,77.3722277137713,4469.28950640489,938
"2036/2037",2037,121,121,100,75.6755193061736,3785.73119080719,1044
"2037/2038",2038,120,120,100,81.1338033133052,3484.82369966269,837
"2038/2039",2039,120,120,100,81.7229106509021,3527.26110166917,961
"2039/2040",2040,120,120,100,72.6543909860029,4081.20197289577,1195
"2040/2041",2041,121,121,100,74.8110325573443,4073.18728607614,1111
"2041/2042",2042,120,120,100,76.57006062047,6417.37396594277,628
"2042/2043",2043,120,120,100,79.3530926244312,4537.62826067209,992
"2043/2044",2044,120,120,100,75.0630867364152,3105.85729182139,1218
"2044/2045",2045,121,121,100,82.5880896569515,3961.42326085316,904
"2045/2046",2046,120,120,100,73.1339335062412,1691.42577667395,1360
"2046/2047",2047,120,120,100,79.5423679648557,3831.4524932811,865
"2047/2048",2048,120,120,100,78.3207470378065,5064.2531801248,862
"2048/2049",2049,121,121,100,78.6622071387364,2862.27384915017,1173
"2049/2050",2050,120,120,100,78.3844044621983,2736.90564697981,1062
"2050/2051",2051,120,120,100,78.5718258498473,1822.65624105185,1130
"2051/2052",2052,120,120,100,74.052924295207,4054.82337377779,1160
"2052/2053",2053,121,121,100,76.0487671125638,5798.0988803478,825
"2053/2054",2054,120,120,100,71.806889910049,5312.71794345183,1013
"2054/2055",2055,120,120,100,78.718967470887,4075.22545583593,926
"2055/2056",2056,120,120,100,82.0145082286026,3043.14846040495,965
"2056/2057",2057,121,121,100,75.8873859042042,5467.2777581322,828
"2057/2058",2058,120,120,100,77.523398579011,4095.16010948876,1015
