"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.3243778693642,4980.14914318438,859
"2002/2003",2003,120,120,100,73.6084490555372,6029.64564948263,809
"2003/2004",2004,120,120,100,73.5229737608457,3903.50183545731,1146
"2004/2005",2005,121,121,100,74.5117022916631,3542.27982299917,1082
"2005/2006",2006,120,120,100,79.507710215134,3971.87486506719,988
"2006/2007",2007,120,120,100,68.4289688642235,3410.57956009917,1339
"2007/2008",2008,120,120,100,81.8122268257599,4886.68936592224,600
"2008/2009",2009,121,121,100,71.0701297218041,2725.9546791563,1531
"2009/2010",2010,120,120,100,78.9059971973827,4209.30576383951,824
"2010/2011",2011,120,120,100,71.0264183714389,6044.94691413676,964
"2011/2012",2012,120,120,100,80.3473062955156,5032.18712516257,707
"2012/2013",2013,121,121,100,72.1713868574664,3707.34187664371,1147
"2013/2014",2014,120,120,100,79.4547883063487,4819.84229383734,826
"2014/2015",2015,120,120,100,75.5715883143387,3453.79573272704,998
"2015/2016",2016,120,120,100,76.0815838079593,5801.38955205888,888
"2016/2017",2017,121,121,100,79.2020549883798,3293.74653483822,1166
"2017/2018",2018,120,120,100,76.3976256612114,5718.68772348983,792
"2018/2019",2019,120,120,100,81.313853889699,6238.21038113942,504
"2019/2020",2020,120,120,100,76.1124420524732,4213.9757712218,969
"2020/2021",2021,121,121,100,74.7396420069485,4565.4476193455,1133
"2021/2022",2022,120,120,100,78.5046546831627,3609.4823542817,890
"2022/2023",2023,120,120,100,74.4226802508028,5865.81705938932,708
"2023/2024",2024,120,120,100,77.2188679176934,3067.32865377958,1118
"2024/2025",2025,121,121,100,78.1998599383219,6665.36934424448,701
"2025/2026",2026,120,120,100,75.2948760150157,5661.92374478141,939
"2026/2027",2027,120,120,100,68.6210875042088,3179.01458919281,1306
"2027/2028",2028,120,120,100,76.1305591721316,7663.23202644847,576
"2028/2029",2029,121,121,100,78.1367829118076,1707.93167900015,1285
"2029/2030",2030,120,120,100,76.0797003029293,4970.60738307564,869
"2030/2031",2031,120,120,100,64.0996874423859,4363.70841163374,1480
"2031/2032",2032,120,120,100,76.5188125998334,2511.56664241245,1253
"2032/2033",2033,121,121,100,83.066282407387,5341.01283614337,763
"2033/2034",2034,120,120,100,73.2993098384845,3805.80767349666,1182
"2034/2035",2035,120,120,100,80.4520248169574,4221.21571186325,747
"2035/2036",2036,120,120,100,72.2774437255462,5854.45839772583,848
"2036/2037",2037,121,121,100,77.0576267996207,4627.88759323815,888
"2037/2038",2038,120,120,100,80.94688473937,4165.10626746435,766
"2038/2039",2039,120,120,100,81.8343747073277,4394.97771570133,833
"2039/2040",2040,120,120,100,74.4222432376873,4748.76204750501,1019
"2040/2041",2041,121,121,100,76.1475619576786,4789.47493504407,977
"2041/2042",2042,120,120,100,75.1598226080932,7614.3636563425,570
"2042/2043",2043,120,120,100,79.157963762681,5389.98686667439,837
"2043/2044",2044,120,120,100,73.2857020932834,4015.43543736264,1098
"2044/2045",2045,121,121,100,80.6767059304966,4910.80277045025,774
"2045/2046",2046,120,120,100,75.4213270718228,2180.4568163082,1222
"2046/2047",2047,120,120,100,81.611293534942,4657.66955530876,773
"2047/2048",2048,120,120,100,75.1678477660989,5886.47067242954,751
"2048/2049",2049,121,121,100,78.2778707931384,3468.66066161543,1042
"2049/2050",2050,120,120,100,76.2530627356145,3581.51765838591,1002
"2050/2051",2051,120,120,100,80.5775120057324,2390.71568710962,1020
