"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.2899787779408,3830.54433178852,1022
"2002/2003",2003,120,120,100,71.2733447734286,4846.85174476868,949
"2003/2004",2004,120,120,100,71.1296506276794,3018.39738627596,1340
"2004/2005",2005,121,121,100,73.8802628903982,2753.34090986237,1323
"2005/2006",2006,120,120,100,79.2130662785777,3295.78176510433,1130
"2006/2007",2007,120,120,100,66.434546058912,2823.88134053064,1560
"2007/2008",2008,120,120,100,81.9768026500143,3908.75179578084,726
"2008/2009",2009,121,121,100,67.006395276591,2146.39419042767,1683
"2009/2010",2010,120,120,100,80.4342188769815,3129.5262410146,995
"2010/2011",2011,120,120,100,73.3336292369568,5003.16540181648,1075
"2011/2012",2012,120,120,100,79.2622117702081,4142.57378124236,826
"2012/2013",2013,121,121,100,73.0472936474641,2926.50154562294,1326
"2013/2014",2014,120,120,100,77.1093578175096,3915.19492054032,1012
"2014/2015",2015,120,120,100,75.1994931015836,2663.02136081317,1211
"2015/2016",2016,120,120,100,76.4332565084285,4725.92006311775,1053
"2016/2017",2017,121,121,100,76.1686311065516,2435.00902477617,1354
"2017/2018",2018,120,120,100,75.6028553241545,4695.90775750065,972
"2018/2019",2019,120,120,100,82.1529340713294,4769.23465823883,617
"2019/2020",2020,120,120,100,74.8897573728095,3290.74999879533,1116
"2020/2021",2021,121,121,100,74.3129927756759,3787.14144700975,1277
"2021/2022",2022,120,120,100,77.9088513803208,2789.41579776234,999
"2022/2023",2023,120,120,100,73.2267498497067,5151.5008062555,883
"2023/2024",2024,120,120,100,76.1153741891294,2495.73181546084,1338
"2024/2025",2025,121,121,100,77.0597997651685,5665.99218489439,911
"2025/2026",2026,120,120,100,75.6270869713958,4273.66092419578,1078
"2026/2027",2027,120,120,100,64.6823880381567,2824.56044559972,1533
"2027/2028",2028,120,120,100,75.2286892264365,6257.3355613735,733
"2028/2029",2029,121,121,100,75.4999289472248,1157.60611482779,1448
"2029/2030",2030,120,120,100,74.9804796876215,3999.10780017939,1037
"2030/2031",2031,120,120,100,61.2900493823449,3683.89915240044,1636
"2031/2032",2032,120,120,100,71.2129722010645,1999.72452897765,1439
"2032/2033",2033,121,121,100,82.8869476235977,4235.20880814781,919
"2033/2034",2034,120,120,100,71.3701482470542,2971.13985821791,1359
"2034/2035",2035,120,120,100,76.3980145018418,3353.02136601973,947
"2035/2036",2036,120,120,100,76.0067603915954,4576.76515907212,988
"2036/2037",2037,121,121,100,75.176090621123,3783.22190608201,1079
"2037/2038",2038,120,120,100,80.2917082153258,3334.43665315746,876
"2038/2039",2039,120,120,100,82.2039661684203,3480.85820572544,1000
"2039/2040",2040,120,120,100,74.3468175268772,3893.17358509405,1233
"2040/2041",2041,121,121,100,72.9685056123044,4096.04421477718,1163
"2041/2042",2042,120,120,100,76.6268423352039,6198.25649896776,693
"2042/2043",2043,120,120,100,78.209680770613,4308.88485058956,1026
"2043/2044",2044,120,120,100,73.4603888075717,3091.80854183948,1276
"2044/2045",2045,121,121,100,81.8055244958778,3718.21464496013,954
"2045/2046",2046,120,120,100,72.8410510262229,1517.1584290741,1407
"2046/2047",2047,120,120,100,79.0008230081094,3681.77117635077,905
"2047/2048",2048,120,120,100,76.1101306666951,4991.67651044112,893
"2048/2049",2049,121,121,100,76.4566287652542,2737.72639857139,1231
"2049/2050",2050,120,120,100,77.2811021784291,2734.85499088606,1139
"2050/2051",2051,120,120,100,78.1363476680353,1729.01889564376,1182
"2051/2052",2052,120,120,100,71.7751713331572,4184.74589726189,1196
"2052/2053",2053,121,121,100,75.5629412849021,5791.63763140934,883
"2053/2054",2054,120,120,100,70.1030280868099,5270.55474333372,1067
"2054/2055",2055,120,120,100,80.0030519678576,3917.67381751724,971
"2055/2056",2056,120,120,100,78.8542221008038,2853.41100664623,1018
"2056/2057",2057,121,121,100,73.0546561225492,5505.88617021916,878
"2057/2058",2058,120,120,100,77.1841092199584,3897.45665030833,1046
"2058/2059",2059,120,120,100,75.4690824474792,2969.87889584107,1254
"2059/2060",2060,120,120,100,74.6340034510731,2800.97942967666,1219
"2060/2061",2061,121,121,100,70.5904754053427,3634.59398015076,1283
"2061/2062",2062,120,120,100,79.0902147132865,5282.21439037286,823
"2062/2063",2063,120,120,100,74.9321265121625,2834.34297411051,1256
"2063/2064",2064,120,120,100,70.2246679365189,4971.14247208461,1062
"2064/2065",2065,121,121,100,79.0690933460592,3310.30528976442,1085
"2065/2066",2066,120,120,100,71.0239681324638,3549.51389406109,1288
"2066/2067",2067,120,120,100,76.7764658670303,3484.15038212482,1116
"2067/2068",2068,120,120,100,69.7740650001415,2092.21650878713,1415
"2068/2069",2069,121,121,100,75.4621623001422,4254.18891086569,1126
"2069/2070",2070,120,120,100,73.7972900947871,2975.56498568598,1277
"2070/2071",2071,120,120,100,73.2464545462253,3519.28048115084,1171
"2071/2072",2072,120,120,100,77.2929251735422,5598.74273804668,763
"2072/2073",2073,121,121,100,71.961522077163,2943.1238257559,1424
"2073/2074",2074,120,120,100,79.3846520615007,4079.01392402966,941
"2074/2075",2075,120,120,100,72.5984636497014,2972.56895403378,1223
"2075/2076",2076,120,120,100,72.2065631814376,4313.84764383547,1187
"2076/2077",2077,121,121,100,78.5561821225592,4479.5251337681,981
"2077/2078",2078,120,120,100,74.8234359960425,3312.5638124235,1053
"2078/2079",2079,120,120,100,79.7172235006728,3692.77870084811,798
"2079/2080",2080,120,120,100,77.0796394257832,4998.27884530835,952
"2080/2081",2081,121,121,100,80.3441988015638,4839.44474149309,967
"2081/2082",2082,120,120,100,77.7789545049527,2671.32474940084,1159
"2082/2083",2083,120,120,100,78.2320892491753,3983.26296864636,981
"2083/2084",2084,120,120,100,71.0104580000007,3325.4747149758,1431
"2084/2085",2085,121,121,100,75.6106269841221,3479.77945613675,1089
"2085/2086",2086,120,120,100,73.3635417531586,3427.19151641894,1254
"2086/2087",2087,120,120,100,76.8113191319371,3424.13538431004,1098
"2087/2088",2088,120,120,100,80.8672976364014,3344.51077173464,885
"2088/2089",2089,121,121,100,76.3347727546352,2493.35011311062,1229
"2089/2090",2090,120,120,100,70.5254249707486,3325.91267107613,1321
"2090/2091",2091,120,120,100,79.2514770131311,3265.7018167302,923
"2091/2092",2092,120,120,100,78.795535725485,3994.13315596245,948
"2092/2093",2093,121,121,100,82.6777870065689,3178.73567411304,936
"2093/2094",2094,120,120,100,78.3670991934923,5172.35136944056,736
"2094/2095",2095,120,120,100,75.0774802592496,3844.61629618611,1013
"2095/2096",2096,120,120,100,74.7415835570755,2754.84662386682,1233
