"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.0721813186021,4024.07502151666,919
"2002/2003",2003,120,120,100,73.7263887795447,5189.65830233438,881
"2003/2004",2004,120,120,100,72.4889321265891,3349.98781341562,1270
"2004/2005",2005,121,121,100,73.4370718813736,2923.07024747907,1210
"2005/2006",2006,120,120,100,79.6851393948559,3529.82461087056,1077
"2006/2007",2007,120,120,100,66.373071036063,3090.3502184003,1496
"2007/2008",2008,120,120,100,81.4257754763557,4239.87218171015,669
"2008/2009",2009,121,121,100,67.3149277507115,2252.03703953215,1612
"2009/2010",2010,120,120,100,82.362975924979,3162.67200888181,907
"2010/2011",2011,120,120,100,71.5224552804284,5260.86236536852,1010
"2011/2012",2012,120,120,100,80.3688737596315,4359.25755453994,749
"2012/2013",2013,121,121,100,72.3287192161808,3142.71352518105,1248
"2013/2014",2014,120,120,100,77.0301319742161,4323.39739265095,939
"2014/2015",2015,120,120,100,75.4900060498567,2836.82047838811,1101
"2015/2016",2016,120,120,100,73.43090580794,5117.65018963476,949
"2016/2017",2017,121,121,100,75.4383583271861,2585.23350688361,1240
"2017/2018",2018,120,120,100,75.4265175050555,5044.13308917359,865
"2018/2019",2019,120,120,100,82.2520194624788,5129.10521831911,521
"2019/2020",2020,120,120,100,76.2283590439415,3594.7430397938,1048
"2020/2021",2021,121,121,100,71.7674926313084,4032.55219253059,1215
"2021/2022",2022,120,120,100,78.782598582512,2820.19367144653,923
"2022/2023",2023,120,120,100,75.1423827345197,5448.74613356683,785
"2023/2024",2024,120,120,100,77.5706498601521,2712.69420312741,1243
"2024/2025",2025,121,121,100,74.9379594832553,6007.28381690523,829
"2025/2026",2026,120,120,100,75.8031393679926,4663.3125324382,991
"2026/2027",2027,120,120,100,66.1382543008526,3212.65118438355,1480
"2027/2028",2028,120,120,100,75.9261646319965,6582.3895253716,641
"2028/2029",2029,121,121,100,75.5115443076297,1190.32776713837,1371
"2029/2030",2030,120,120,100,75.3605027709718,4320.09053920233,962
"2030/2031",2031,120,120,100,59.2884095089457,3997.31461763266,1584
"2031/2032",2032,120,120,100,72.0163292564362,2232.79179513128,1372
"2032/2033",2033,121,121,100,80.8971469608709,4490.9614217272,821
"2033/2034",2034,120,120,100,71.5805727617135,3075.77004829771,1252
"2034/2035",2035,120,120,100,78.0965649800637,3601.16006763815,854
"2035/2036",2036,120,120,100,73.502783191359,4972.46771062538,921
"2036/2037",2037,121,121,100,74.6398886238057,4045.22199378721,1003
"2037/2038",2038,120,120,100,81.4419725245407,3546.37959331926,807
"2038/2039",2039,120,120,100,81.8584699407784,3738.09787918348,926
"2039/2040",2040,120,120,100,74.0414616166645,4102.48339106049,1146
"2040/2041",2041,121,121,100,72.3409029793065,4411.72526705079,1093
"2041/2042",2042,120,120,100,74.6629094101636,6493.71712649753,608
"2042/2043",2043,120,120,100,80.3056882637593,4422.95176594472,913
"2043/2044",2044,120,120,100,73.8727890523733,3389.33842247725,1198
"2044/2045",2045,121,121,100,81.9075752816989,3830.60724101961,846
"2045/2046",2046,120,120,100,73.8042564678544,1561.07451067446,1319
"2046/2047",2047,120,120,100,80.1695466511865,3910.86395629356,807
"2047/2048",2048,120,120,100,73.9425616101444,5369.05726784095,823
"2048/2049",2049,121,121,100,77.4859218630008,2914.94460796053,1125
"2049/2050",2050,120,120,100,75.7855757374255,2955.17583203549,1077
"2050/2051",2051,120,120,100,78.0015224632734,1930.93395940354,1108
"2051/2052",2052,120,120,100,71.380681956879,4601.92349756928,1138
"2052/2053",2053,121,121,100,74.3446341826038,6202.677139821,799
"2053/2054",2054,120,120,100,68.3632911509076,5643.12788368016,1016
"2054/2055",2055,120,120,100,79.005582139037,4129.77014582092,879
"2055/2056",2056,120,120,100,81.9437806326305,2983.92329772608,896
"2056/2057",2057,121,121,100,72.8105045551974,5839.73933850881,803
"2057/2058",2058,120,120,100,76.3614244638247,4182.66592097236,1001
"2058/2059",2059,120,120,100,75.6465349249193,3161.02128920704,1134
"2059/2060",2060,120,120,100,74.5747033415482,3071.87142000487,1154
"2060/2061",2061,121,121,100,70.4425115936583,4000.8999575437,1196
"2061/2062",2062,120,120,100,78.3451414519595,5572.20867232792,744
"2062/2063",2063,120,120,100,73.4112470293912,3124.05031464016,1202
"2063/2064",2064,120,120,100,70.7163439246224,5226.93105291203,996
"2064/2065",2065,121,121,100,79.5308740295068,3675.66644365573,1013
"2065/2066",2066,120,120,100,70.9463413889916,3881.57133321743,1238
"2066/2067",2067,120,120,100,76.4416326768869,3691.4634023495,990
"2067/2068",2068,120,120,100,69.5151781956065,2379.61728948681,1335
"2068/2069",2069,121,121,100,75.5204675416453,4501.67712997179,1026
"2069/2070",2070,120,120,100,73.1130410030146,3203.33587286994,1207
"2070/2071",2071,120,120,100,75.6270603262537,3538.64357710956,1052
"2071/2072",2072,120,120,100,75.8663585240793,5958.14164855937,687
"2072/2073",2073,121,121,100,72.0941992830112,3161.88739090692,1362
"2073/2074",2074,120,120,100,79.6254460833534,4352.38352739904,862
"2074/2075",2075,120,120,100,72.9005331698936,3249.96029633377,1171
"2075/2076",2076,120,120,100,73.1904024432506,4572.31193153188,1094
