"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.7094913076336,3680.5019315205,1038
"2002/2003",2003,120,120,100,74.9321385537034,4518.23678035456,946
"2003/2004",2004,120,120,100,73.5466587831759,2687.54576506981,1317
"2004/2005",2005,121,121,100,75.1784347436513,2569.86753252192,1316
"2005/2006",2006,120,120,100,78.3317968859734,3043.10810042219,1143
"2006/2007",2007,120,120,100,68.0072869612214,2454.82862078474,1542
"2007/2008",2008,120,120,100,82.3250352640018,3642.29254507017,737
"2008/2009",2009,121,121,100,66.672778900005,1997.92924134777,1692
"2009/2010",2010,120,120,100,80.5780626816586,3073.85018851253,1004
"2010/2011",2011,120,120,100,73.5005458682967,4715.5991101996,1081
"2011/2012",2012,120,120,100,78.8891477501279,3975.9866852609,845
"2012/2013",2013,121,121,100,71.4586002831084,2739.87126548355,1321
"2013/2014",2014,120,120,100,78.2153974041541,3528.86472256074,997
"2014/2015",2015,120,120,100,75.4313045356967,2401.1744616119,1190
"2015/2016",2016,120,120,100,75.6919126937619,4310.54545111384,1032
"2016/2017",2017,121,121,100,75.4569851131666,2257.37783477653,1372
"2017/2018",2018,120,120,100,75.5540771661408,4328.84153882612,957
"2018/2019",2019,120,120,100,83.6706596436607,4524.98511124181,626
"2019/2020",2020,120,120,100,76.0451252549824,3027.57330035232,1123
"2020/2021",2021,121,121,100,75.5035336173655,3503.90083427145,1269
"2021/2022",2022,120,120,100,79.2755891708166,2720.21995774726,1020
"2022/2023",2023,120,120,100,76.6783500507381,4856.01394521142,866
"2023/2024",2024,120,120,100,77.665771664379,2193.08004587679,1340
"2024/2025",2025,121,121,100,79.0900097859317,5342.09979130421,894
"2025/2026",2026,120,120,100,76.5294591127818,4025.30733041721,1079
"2026/2027",2027,120,120,100,66.8500560742436,2421.45355206658,1520
"2027/2028",2028,120,120,100,76.6096969508285,5984.34840186057,729
"2028/2029",2029,121,121,100,74.8201086283862,1084.38435747707,1450
"2029/2030",2030,120,120,100,76.0001050180272,3710.12422032049,1032
"2030/2031",2031,120,120,100,62.2079172296585,3357.85092623648,1647
"2031/2032",2032,120,120,100,72.9899589494848,1730.29540330893,1447
"2032/2033",2033,121,121,100,80.56049257324,4041.54776136903,910
"2033/2034",2034,120,120,100,72.5385415287028,2902.33710770379,1368
"2034/2035",2035,120,120,100,77.9437729865326,3211.48255453282,940
"2035/2036",2036,120,120,100,78.3479983012062,4308.78210434248,985
"2036/2037",2037,121,121,100,77.0318297769109,3475.91315172869,1067
"2037/2038",2038,120,120,100,80.0557863447093,3149.47540299245,895
"2038/2039",2039,120,120,100,81.8779404844199,3176.35231920984,1004
"2039/2040",2040,120,120,100,75.6874391786187,3686.75594818126,1242
"2040/2041",2041,121,121,100,75.9537469993747,3750.71939600445,1165
"2041/2042",2042,120,120,100,78.4092244226158,5953.34061437519,685
"2042/2043",2043,120,120,100,77.819502951239,4222.80197953898,1028
"2043/2044",2044,120,120,100,74.0233382833121,2808.62641947158,1266
"2044/2045",2045,121,121,100,82.1728941119418,3581.2143134512,961
"2045/2046",2046,120,120,100,72.5741076345857,1465.33134755259,1408
"2046/2047",2047,120,120,100,79.9685603660018,3470.62763418816,911
"2047/2048",2048,120,120,100,78.4865756131785,4627.06537265098,892
"2048/2049",2049,121,121,100,77.3597767935134,2580.64944920409,1212
"2049/2050",2050,120,120,100,78.7275284828092,2479.0204677484,1151
"2050/2051",2051,120,120,100,78.0330721019163,1565.52771440148,1189
"2051/2052",2052,120,120,100,76.0740225712389,3802.55249605561,1200
"2052/2053",2053,121,121,100,77.9198608785073,5479.6364834127,865
"2053/2054",2054,120,120,100,73.6989796459866,4876.24358631577,1074
"2054/2055",2055,120,120,100,80.6324165124352,3709.7401864836,979
"2055/2056",2056,120,120,100,80.3660599725508,2718.62674496602,1021
"2056/2057",2057,121,121,100,76.2530240351425,5151.95630702702,880
"2057/2058",2058,120,120,100,77.2185926033862,3637.5477820863,1052
"2058/2059",2059,120,120,100,77.2555504518723,2733.0591191221,1251
"2059/2060",2060,120,120,100,75.909439598815,2519.00674169371,1214
