"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.2925696584771,3884.82369043365,1055
"2002/2003",2003,120,120,100,73.2266745045375,4925.01359253288,990
"2003/2004",2004,120,120,100,72.4562483704514,3039.21071203816,1347
"2004/2005",2005,121,121,100,73.4976685359721,2746.71733551761,1336
"2005/2006",2006,120,120,100,79.0683530677213,3338.57238694507,1166
"2006/2007",2007,120,120,100,67.280107030537,2870.76566629956,1558
"2007/2008",2008,120,120,100,80.1089493539886,3942.37877837667,777
"2008/2009",2009,121,121,100,66.5991104629984,2052.90667468059,1697
"2009/2010",2010,120,120,100,80.272407799075,3054.48658458825,1031
"2010/2011",2011,120,120,100,73.3689724705425,4942.65481749864,1086
"2011/2012",2012,120,120,100,78.8056013258833,4203.07789184188,869
"2012/2013",2013,121,121,100,71.9766442835148,2959.97118788818,1347
"2013/2014",2014,120,120,100,76.2627171960667,4030.96169357933,1035
"2014/2015",2015,120,120,100,74.8905525485527,2687.49165941286,1227
"2015/2016",2016,120,120,100,76.00286555807,4826.46034727851,1083
"2016/2017",2017,121,121,100,75.2892536595903,2522.63744309021,1385
"2017/2018",2018,120,120,100,76.1643307932436,4727.42145094962,995
"2018/2019",2019,120,120,100,81.0749606610527,4830.54165965749,674
"2019/2020",2020,120,120,100,75.7539548357454,3356.52772914385,1145
"2020/2021",2021,121,121,100,72.9271655663592,3824.21524749091,1320
"2021/2022",2022,120,120,100,77.8374378436374,2706.24735635589,1049
"2022/2023",2023,120,120,100,73.8441410452047,5207.27089490695,906
"2023/2024",2024,120,120,100,76.1199709911812,2580.96598993917,1365
"2024/2025",2025,121,121,100,74.837754610935,5677.66898334096,935
"2025/2026",2026,120,120,100,74.8833423649176,4388.51455988619,1091
"2026/2027",2027,120,120,100,65.8540546144673,2898.52161204698,1543
"2027/2028",2028,120,120,100,74.7268287328857,6275.0890343287,767
"2028/2029",2029,121,121,100,75.9510072614194,1156.63268141286,1498
"2029/2030",2030,120,120,100,74.319107480349,4149.82863513636,1079
"2030/2031",2031,120,120,100,61.5297798534275,3737.25581488479,1647
"2031/2032",2032,120,120,100,70.7200166490247,2010.7056499368,1460
"2032/2033",2033,121,121,100,81.0419564822982,4275.87309652148,960
"2033/2034",2034,120,120,100,72.3132706021256,2850.62449808861,1365
"2034/2035",2035,120,120,100,76.0281094154402,3402.62207899475,987
"2035/2036",2036,120,120,100,73.9344226334752,4722.31831183494,1017
"2036/2037",2037,121,121,100,74.6910101146359,3821.55369815161,1111
"2037/2038",2038,120,120,100,79.5907124063524,3348.9760160828,916
