"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.465704173395,3852.58264916988,1055
"2002/2003",2003,120,120,100,72.2817950227959,4781.97230853682,966
"2003/2004",2004,120,120,100,72.5405001326417,2944.70184433126,1361
"2004/2005",2005,121,121,100,73.4364728634632,2760.46749279209,1369
"2005/2006",2006,120,120,100,78.0172001848941,3332.95447896112,1153
"2006/2007",2007,120,120,100,68.1198708117845,2672.5497853377,1564
"2007/2008",2008,120,120,100,82.1911147074391,3945.46612401551,773
"2008/2009",2009,121,121,100,66.1705070263101,2202.40577919938,1709
"2009/2010",2010,120,120,100,79.0418481807106,3243.55065256241,1036
"2010/2011",2011,120,120,100,71.9764584029551,4989.30424834136,1093
"2011/2012",2012,120,120,100,79.3627175737597,4235.55754460953,858
"2012/2013",2013,121,121,100,72.5334313527781,2920.82474262209,1348
"2013/2014",2014,120,120,100,76.48152176705,3822.82631962816,1033
"2014/2015",2015,120,120,100,75.1591303893979,2556.62557352707,1236
"2015/2016",2016,120,120,100,74.6773570620221,4623.46243157191,1084
"2016/2017",2017,121,121,100,76.2371984131912,2351.68931587273,1381
"2017/2018",2018,120,120,100,74.9424696356543,4699.62347221025,1012
"2018/2019",2019,120,120,100,82.1579949529637,4691.50935137924,661
"2019/2020",2020,120,120,100,76.421336912666,3292.35584753344,1144
"2020/2021",2021,121,121,100,74.4615397770344,3740.09286130057,1295
"2021/2022",2022,120,120,100,78.2422202794164,2887.75323670032,1034
"2022/2023",2023,120,120,100,73.7935956804899,5190.46246324084,914
"2023/2024",2024,120,120,100,77.0919292658245,2414.34501508065,1354
"2024/2025",2025,121,121,100,75.3732717531739,5682.05346409488,940
"2025/2026",2026,120,120,100,75.7020210228684,4201.4168199061,1098
"2026/2027",2027,120,120,100,63.8055863276909,2718.67359258654,1538
"2027/2028",2028,120,120,100,74.7255570752914,6248.91329521732,766
"2028/2029",2029,121,121,100,75.4677044129476,1184.23015106074,1479
"2029/2030",2030,120,120,100,75.5630164696472,3894.76502470579,1049
"2030/2031",2031,120,120,100,64.5682803370169,3536.78708744748,1639
"2031/2032",2032,120,120,100,68.8433878945925,1964.56671667541,1465
"2032/2033",2033,121,121,100,80.3850224564608,4260.16092374199,955
"2033/2034",2034,120,120,100,72.270946443974,3067.72974001057,1403
"2034/2035",2035,120,120,100,77.3475033916866,3394.00197171117,986
"2035/2036",2036,120,120,100,78.0191641907541,4468.66508977651,1010
"2036/2037",2037,121,121,100,74.8342817300536,3780.47137740511,1120
"2037/2038",2038,120,120,100,80.6567654662676,3350.41573870415,905
"2038/2039",2039,120,120,100,81.7382134161608,3453.3033524137,1021
"2039/2040",2040,120,120,100,73.4889756841194,4002.27271031588,1261
"2040/2041",2041,121,121,100,72.7643451133918,4089.89530050522,1190
"2041/2042",2042,120,120,100,77.6368812652972,6205.53826441988,719
"2042/2043",2043,120,120,100,78.2079234784069,4391.27545071533,1065
"2043/2044",2044,120,120,100,74.3176150220797,3032.12827045331,1298
"2044/2045",2045,121,121,100,81.9995794632605,3770.99210234452,990
"2045/2046",2046,120,120,100,74.2705075996137,1576.02576634241,1441
"2046/2047",2047,120,120,100,80.1234179612529,3704.65152171208,940
"2047/2048",2048,120,120,100,77.0967577350266,4977.04688513186,930
"2048/2049",2049,121,121,100,77.21214925601,2768.25721797254,1272
"2049/2050",2050,120,120,100,77.5613548069741,2701.64962693537,1161
"2050/2051",2051,120,120,100,77.7359550665606,1742.58307471871,1209
"2051/2052",2052,120,120,100,73.3782663461734,4075.26261139335,1215
"2052/2053",2053,121,121,100,76.7387896770388,5762.70572746126,902
"2053/2054",2054,120,120,100,70.5756564075082,5310.6939034164,1108
"2054/2055",2055,120,120,100,78.590390416196,3982.09329127055,1009
"2055/2056",2056,120,120,100,80.2939522370834,2919.24098413764,1062
"2056/2057",2057,121,121,100,74.7444092974429,5425.47987808613,906
"2057/2058",2058,120,120,100,76.1773817192561,3961.41738308221,1079
"2058/2059",2059,120,120,100,76.5968227869007,2962.90116231563,1285
"2059/2060",2060,120,120,100,75.2328993610026,2803.61516443454,1239
"2060/2061",2061,121,121,100,70.4025570994227,3499.87085401686,1304
"2061/2062",2062,120,120,100,79.17674598131,5308.29933866067,852
"2062/2063",2063,120,120,100,74.6701815354118,2804.75055527128,1281
"2063/2064",2064,120,120,100,70.216683805761,5072.73581620678,1109
"2064/2065",2065,121,121,100,80.3318476383611,3235.74485542858,1109
"2065/2066",2066,120,120,100,69.8436887238804,3517.48329286836,1318
"2066/2067",2067,120,120,100,75.8025550233324,3521.22271533404,1160
"2067/2068",2068,120,120,100,71.6080615219525,1967.82726678299,1431
"2068/2069",2069,121,121,100,74.9825416303092,4279.21811820799,1160
"2069/2070",2070,120,120,100,72.1914374148646,3063.55810105801,1310
"2070/2071",2071,120,120,100,73.929060452936,3543.32155575557,1199
"2071/2072",2072,120,120,100,77.95709303492,5732.58485053433,816
"2072/2073",2073,121,121,100,70.8094554353484,2925.88382359827,1442
"2073/2074",2074,120,120,100,78.5708718303285,4118.17829294549,984
"2074/2075",2075,120,120,100,73.7735177789436,2939.90009421902,1241
"2075/2076",2076,120,120,100,71.0456318398064,4419.53608516976,1223
"2076/2077",2077,121,121,100,77.7687646527647,4560.71855999436,1021
"2077/2078",2078,120,120,100,74.3584584600812,3357.59791066311,1097
"2078/2079",2079,120,120,100,81.4710070774818,3680.81550602056,838
"2079/2080",2080,120,120,100,76.6715519896279,4882.96214728244,983
"2080/2081",2081,121,121,100,76.6233085246095,5056.91205497552,1016
"2081/2082",2082,120,120,100,75.9329513335269,2649.57847266831,1194
"2082/2083",2083,120,120,100,77.0926336619177,3915.18522732891,1014
"2083/2084",2084,120,120,100,70.5694297612736,3230.4847753169,1458
"2084/2085",2085,121,121,100,75.5978017078123,3484.61554218549,1117
"2085/2086",2086,120,120,100,74.7902711921543,3355.74193993025,1263
"2086/2087",2087,120,120,100,78.0860843234386,3430.42233394086,1142
"2087/2088",2088,120,120,100,80.1646253913495,3370.00045978278,932
"2088/2089",2089,121,121,100,75.7917440701913,2369.34704655502,1243
"2089/2090",2090,120,120,100,71.994807269175,3213.88707530033,1331
"2090/2091",2091,120,120,100,79.324572354024,3265.18749334104,951
"2091/2092",2092,120,120,100,79.0023470046763,3907.66826137528,975
"2092/2093",2093,121,121,100,82.1589269776559,3197.84451461863,967
"2093/2094",2094,120,120,100,78.4767116480543,5299.18170399871,783
"2094/2095",2095,120,120,100,75.8244223191941,3764.46312984172,1042
"2095/2096",2096,120,120,100,75.9709146742771,2728.12674156949,1275
"2096/2097",2097,121,121,100,76.722440420479,2948.25053537823,1284
"2097/2098",2098,120,120,100,70.7607542591759,4562.49049181864,1172
"2098/2099",2099,120,120,100,72.536204197866,3026.13724080008,1298
"2099/2100",2100,120,120,100,74.522510678682,4397.09445199743,1086
