"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.9642106842195,5037.45881832178,839
"2002/2003",2003,120,120,100,74.3537278785163,5752.03032324066,755
"2003/2004",2004,120,120,100,73.3979929887423,3605.89590973142,1154
"2004/2005",2005,121,121,100,75.1988332959572,3414.98219615815,1081
"2005/2006",2006,120,120,100,80.8214869427065,3980.5340938897,938
"2006/2007",2007,120,120,100,70.83361679448,3226.73182989116,1318
"2007/2008",2008,120,120,100,82.9686978185506,4839.37696116755,555
"2008/2009",2009,121,121,100,70.4669458038142,2609.11308415839,1509
"2009/2010",2010,120,120,100,80.321882605242,4128.30702188046,759
"2010/2011",2011,120,120,100,74.7801786183043,5767.43201104621,903
"2011/2012",2012,120,120,100,81.897883843443,5193.47901034507,666
"2012/2013",2013,121,121,100,75.6432174347403,3604.82428634912,1115
"2013/2014",2014,120,120,100,77.8524830733959,4613.57043139241,817
"2014/2015",2015,120,120,100,79.1525698681789,3253.4688208343,949
"2015/2016",2016,120,120,100,76.3976463228564,5459.07408588612,870
"2016/2017",2017,121,121,100,77.3196662771541,3117.36212651769,1136
"2017/2018",2018,120,120,100,77.6651284699749,5530.39812026708,766
"2018/2019",2019,120,120,100,82.8011138502177,6150.85154669418,445
"2019/2020",2020,120,120,100,79.069565237764,3980.73917623167,953
"2020/2021",2021,121,121,100,76.2703164545342,4547.87343090051,1095
"2021/2022",2022,120,120,100,78.3437190029517,3820.57289756811,825
"2022/2023",2023,120,120,100,75.3524869596049,5994.26667700498,700
"2023/2024",2024,120,120,100,78.7618851043535,3007.75517093996,1073
"2024/2025",2025,121,121,100,79.4385000494613,6507.4754214501,680
"2025/2026",2026,120,120,100,77.7341451331677,5298.13776778313,911
"2026/2027",2027,120,120,100,68.9055669372224,3060.23897570372,1301
"2027/2028",2028,120,120,100,75.7102301050518,7423.23883571662,536
"2028/2029",2029,121,121,100,79.090499697415,1720.30003612582,1228
