"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.1542292598724,5351.04416210927,768
"2002/2003",2003,120,120,100,73.0503790760502,6206.95553110716,683
"2003/2004",2004,120,120,100,74.7755158398359,4040.55060198149,1101
"2004/2005",2005,121,121,100,75.3727868268986,3767.98585647708,1013
"2005/2006",2006,120,120,100,82.398356336339,4240.01748593652,859
"2006/2007",2007,120,120,100,69.8872120477871,3504.58466014493,1279
"2007/2008",2008,120,120,100,83.5274631587865,5220.22348465608,490
"2008/2009",2009,121,121,100,71.4037794845581,2911.42991317355,1455
"2009/2010",2010,120,120,100,79.3488377400331,4535.00680014712,707
"2010/2011",2011,120,120,100,73.0830104786098,6296.52297664213,864
"2011/2012",2012,120,120,100,82.5962411427038,5479.77200283518,623
"2012/2013",2013,121,121,100,74.1535965100461,3935.57706871536,1068
"2013/2014",2014,120,120,100,79.4275964318333,5065.37259060016,763
"2014/2015",2015,120,120,100,78.2191822214722,3605.92839329585,903
"2015/2016",2016,120,120,100,78.4022075167866,5961.19274999434,820
"2016/2017",2017,121,121,100,79.8972168231592,3396.83892413264,1061
"2017/2018",2018,120,120,100,76.7022841616797,6007.46704087208,686
"2018/2019",2019,120,120,100,81.3214070693125,6601.66846017004,400
"2019/2020",2020,120,120,100,79.6103742110545,4419.56586303608,898
"2020/2021",2021,121,121,100,73.8644839729618,4814.22780786385,1053
"2021/2022",2022,120,120,100,79.6515066480497,4094.14356056973,780
"2022/2023",2023,120,120,100,72.6885905686599,6330.10689547146,652
"2023/2024",2024,120,120,100,80.5018909040618,3233.26454112586,1013
"2024/2025",2025,121,121,100,78.6464775283021,6970.78347938834,613
"2025/2026",2026,120,120,100,76.2562248445852,5779.21028943406,849
"2026/2027",2027,120,120,100,69.4194374210401,3302.90549413883,1238
"2027/2028",2028,120,120,100,74.3243942710619,8020.07614467153,490
"2028/2029",2029,121,121,100,80.2617958169121,1885.53009650018,1159
"2029/2030",2030,120,120,100,77.4361729507641,5127.77201456623,751
"2030/2031",2031,120,120,100,66.8960824385717,4404.72936685383,1409
"2031/2032",2032,120,120,100,76.9723938906736,2609.29715055274,1174
"2032/2033",2033,121,121,100,82.6314478683057,5716.41597402049,667
"2033/2034",2034,120,120,100,72.2138014281741,4077.22977192583,1098
"2034/2035",2035,120,120,100,80.0382476349464,4553.88435924123,642
"2035/2036",2036,120,120,100,75.1311022351651,5993.99108541245,765
"2036/2037",2037,121,121,100,79.3805935642063,4844.93147086515,802
"2037/2038",2038,120,120,100,80.2435518799111,4531.74295424484,638
"2038/2039",2039,120,120,100,82.2481997671694,4703.6354292715,740
"2039/2040",2040,120,120,100,75.2958623862478,5011.84871308506,904
"2040/2041",2041,121,121,100,76.6713448742403,4975.81121577928,851
"2041/2042",2042,120,120,100,74.814195359826,7987.70885746833,450
"2042/2043",2043,120,120,100,78.8001352599931,5817.71047760593,756
"2043/2044",2044,120,120,100,75.0693543183979,4177.47720009834,1027
"2044/2045",2045,121,121,100,82.6611062264119,5227.33459060173,649
"2045/2046",2046,120,120,100,76.4502036888716,2371.07129345369,1142
"2046/2047",2047,120,120,100,79.5596499988678,5007.08331882209,665
"2047/2048",2048,120,120,100,76.5312878320683,6234.0999590843,662
"2048/2049",2049,121,121,100,79.4919679915374,3737.79581141192,931
"2049/2050",2050,120,120,100,77.9426094892387,3728.77496224036,854
"2050/2051",2051,120,120,100,81.8683162655479,2575.59362545516,858
"2051/2052",2052,120,120,100,75.6715431939174,5323.13663137611,943
"2052/2053",2053,121,121,100,77.0843691772752,7306.42630847171,619
"2053/2054",2054,120,120,100,73.3385103813625,6369.00958216144,798
"2054/2055",2055,120,120,100,80.895074088834,5184.10773121892,673
"2055/2056",2056,120,120,100,80.7341896279795,4099.89999915287,692
"2056/2057",2057,121,121,100,75.0628400852047,6770.20670237904,644
"2057/2058",2058,120,120,100,79.4727427301477,5013.49626614898,823
"2058/2059",2059,120,120,100,78.1103317531288,4032.24720154889,976
"2059/2060",2060,120,120,100,77.7247796309393,3758.90904426342,972
"2060/2061",2061,121,121,100,73.3940515858376,4575.73253010027,1014
"2061/2062",2062,120,120,100,79.1313927966894,7107.76305640116,671
"2062/2063",2063,120,120,100,76.5866527025373,3515.38616531063,966
"2063/2064",2064,120,120,100,73.7793634333993,6078.02274508402,790
"2064/2065",2065,121,121,100,82.9345793089287,4240.78835748788,810
"2065/2066",2066,120,120,100,75.794455039706,4398.12964222673,1029
"2066/2067",2067,120,120,100,77.6346750217526,4598.40759586496,823
"2067/2068",2068,120,120,100,75.8602394734362,2562.93373581348,1165
"2068/2069",2069,121,121,100,77.9354138181725,5301.78720142739,846
"2069/2070",2070,120,120,100,74.3808207675147,4056.6612418117,1030
"2070/2071",2071,120,120,100,73.3826913063949,5111.12136116065,898
"2071/2072",2072,120,120,100,76.6761823053876,7090.43856560113,492
"2072/2073",2073,121,121,100,75.5137540348796,3758.9550388651,1136
"2073/2074",2074,120,120,100,81.6185053760273,5343.89315022528,663
"2074/2075",2075,120,120,100,76.6403340004053,3695.4017179748,965
"2075/2076",2076,120,120,100,76.9606043793883,5397.11924348492,914
"2076/2077",2077,121,121,100,80.0482682479997,5723.47431658488,699
"2077/2078",2078,120,120,100,79.6247501401922,4332.50451713055,785
"2078/2079",2079,120,120,100,82.9948563961389,4796.67311448231,493
"2079/2080",2080,120,120,100,75.7207748778073,6458.58877822571,693
"2080/2081",2081,121,121,100,78.036890849211,6304.24206718057,694
"2081/2082",2082,120,120,100,80.2648005983992,3805.46885047387,902
"2082/2083",2083,120,120,100,80.1152961388489,5418.04859990533,724
"2083/2084",2084,120,120,100,73.7245117855746,4274.60737536568,1181
"2084/2085",2085,121,121,100,77.8222848509795,4898.92613250203,839
"2085/2086",2086,120,120,100,76.703202432298,4446.2606885517,1016
"2086/2087",2087,120,120,100,79.8344121970276,4404.63882927131,813
"2087/2088",2088,120,120,100,82.4154367689061,4584.05681088194,603
"2088/2089",2089,121,121,100,79.6547313281426,3389.97247961722,954
"2089/2090",2090,120,120,100,72.1233051548079,4666.26918231789,1074
"2090/2091",2091,120,120,100,82.2136030716883,4503.88789212517,635
"2091/2092",2092,120,120,100,80.0239332007386,5202.21340937354,625
"2092/2093",2093,121,121,100,85.0471946924972,4547.1899691578,644
"2093/2094",2094,120,120,100,80.5962420448523,6478.76017563231,501
"2094/2095",2095,120,120,100,78.117015338963,5142.65700849239,754
"2095/2096",2096,120,120,100,77.0333495682353,3853.58031487372,922
"2096/2097",2097,121,121,100,78.4965937656325,3960.21797774266,1014
"2097/2098",2098,120,120,100,72.9808551452788,5717.1533881966,895
"2098/2099",2099,120,120,100,73.7390054767802,3889.38584496174,973
"2099/2100",2100,120,120,100,72.1116220427994,6095.09079691954,864
