"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.2413913375883,3410.08499402415,1079
"2002/2003",2003,120,120,100,74.3724924693731,4341.57877564662,998
"2003/2004",2004,120,120,100,73.1898430293751,2557.89501379509,1395
"2004/2005",2005,121,121,100,74.1073230444134,2409.40127346604,1417
"2005/2006",2006,120,120,100,77.4950713453723,2905.64147375606,1168
"2006/2007",2007,120,120,100,66.3531454822933,2401.27932796453,1611
"2007/2008",2008,120,120,100,82.703839401145,3468.16635653138,787
"2008/2009",2009,121,121,100,64.981926365985,1841.72577656835,1731
"2009/2010",2010,120,120,100,79.5859887474415,2750.5501763869,1057
"2010/2011",2011,120,120,100,73.0528483752726,4444.22554398526,1117
"2011/2012",2012,120,120,100,78.3482103293877,3787.15484883846,878
"2012/2013",2013,121,121,100,70.4455497943338,2592.74939920229,1387
"2013/2014",2014,120,120,100,75.7989987871886,3435.86760908994,1079
"2014/2015",2015,120,120,100,74.6236109678653,2290.4190912192,1278
"2015/2016",2016,120,120,100,74.4506960502019,4173.74618989322,1104
"2016/2017",2017,121,121,100,75.9385134459499,2092.89788733143,1440
"2017/2018",2018,120,120,100,76.4080562106972,4179.46951173502,1038
"2018/2019",2019,120,120,100,81.8101923102918,4213.3059217165,675
"2019/2020",2020,120,120,100,75.1506038670086,2868.86486262514,1187
"2020/2021",2021,121,121,100,72.4290042468788,3358.69608950987,1333
"2021/2022",2022,120,120,100,77.8669968062468,2503.03663183632,1048
"2022/2023",2023,120,120,100,74.9510802059463,4801.35577602172,948
"2023/2024",2024,120,120,100,77.0243592407601,2135.20368777239,1385
"2024/2025",2025,121,121,100,77.8432241490273,5130.48965643463,956
"2025/2026",2026,120,120,100,76.0792346367589,3743.55026717461,1139
"2026/2027",2027,120,120,100,65.1529900426963,2469.03753125807,1589
"2027/2028",2028,120,120,100,75.4622939697256,5641.51286123903,781
"2028/2029",2029,121,121,100,74.8197393482214,944.62784120813,1518
"2029/2030",2030,120,120,100,75.6866187182204,3563.6365289581,1078
