"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.5564999615562,4480.33202087715,930
"2002/2003",2003,120,120,100,71.7421903601271,5466.00029362793,864
"2003/2004",2004,120,120,100,72.1859239629861,3550.72347996605,1270
"2004/2005",2005,121,121,100,74.0254381182531,3254.5513349596,1228
"2005/2006",2006,120,120,100,77.9165570008109,3924.58232550899,1039
"2006/2007",2007,120,120,100,68.2414726059725,3204.14788372593,1450
"2007/2008",2008,120,120,100,81.4154813119474,4651.07817830646,656
"2008/2009",2009,121,121,100,67.6109966639199,2571.05033421086,1609
"2009/2010",2010,120,120,100,80.8852026500216,3727.18246652465,910
"2010/2011",2011,120,120,100,71.7829650244491,5718.02668330038,1002
"2011/2012",2012,120,120,100,78.9328929847813,4888.46334532043,763
"2012/2013",2013,121,121,100,73.4912675478008,3420.36964180099,1245
"2013/2014",2014,120,120,100,77.3378365406656,4591.48629095999,950
"2014/2015",2015,120,120,100,77.2061996350767,3045.21926672955,1103
"2015/2016",2016,120,120,100,76.5042456366639,5385.90038472915,980
"2016/2017",2017,121,121,100,77.5622805973724,2778.18180939124,1246
"2017/2018",2018,120,120,100,76.3281167903076,5462.42298557737,894
"2018/2019",2019,120,120,100,81.8579107285807,5490.1586113472,547
"2019/2020",2020,120,120,100,75.7764926565105,3932.75267682783,1045
"2020/2021",2021,121,121,100,74.4906271880063,4327.69812770397,1224
"2021/2022",2022,120,120,100,77.273474076575,3360.11144981068,918
"2022/2023",2023,120,120,100,73.896944719917,5882.14611281129,814
"2023/2024",2024,120,120,100,77.8931316435078,2926.7180633354,1250
"2024/2025",2025,121,121,100,75.8316041626526,6451.26879106881,848
"2025/2026",2026,120,120,100,78.1751534427076,4896.63354809093,994
"2026/2027",2027,120,120,100,65.9156871812907,3287.95608155755,1448
"2027/2028",2028,120,120,100,74.954487716755,7116.74991198839,660
"2028/2029",2029,121,121,100,77.4923337129026,1456.45322789717,1358
"2029/2030",2030,120,120,100,74.4871654576618,4543.61127438885,932
