"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.9769808800723,3338.95413808453,1129
"2002/2003",2003,120,120,100,72.7845736545796,4441.11417887658,1082
"2003/2004",2004,120,120,100,72.0179217592853,2677.10331235029,1424
"2004/2005",2005,121,121,100,72.1934892505258,2408.72381393879,1436
"2005/2006",2006,120,120,100,77.7530124154715,2929.59123734385,1239
"2006/2007",2007,120,120,100,64.694942534712,2537.85826186289,1645
"2007/2008",2008,120,120,100,80.0567397428777,3468.44393353927,870
"2008/2009",2009,121,121,100,65.25442254251,1824.858467885,1778
"2009/2010",2010,120,120,100,78.2081405602495,2663.82411669224,1126
"2010/2011",2011,120,120,100,73.9835336146907,4484.56858333212,1160
"2011/2012",2012,120,120,100,81.4283321784521,3690.10527157516,939
"2012/2013",2013,121,121,100,71.9349755900785,2600.55470468989,1422
"2013/2014",2014,120,120,100,74.2231236461553,3549.85733155475,1122
"2014/2015",2015,120,120,100,73.5544144408498,2354.9637759414,1343
"2015/2016",2016,120,120,100,74.3794268567965,4333.90229926689,1162
"2016/2017",2017,121,121,100,75.9148949295898,2158.66327015392,1492
"2017/2018",2018,120,120,100,74.6004692988997,4242.40344748448,1091
"2018/2019",2019,120,120,100,82.1997045054909,4199.53553874989,757
"2019/2020",2020,120,120,100,73.5482990439286,2942.35166341346,1231
"2020/2021",2021,121,121,100,72.2469002239145,3392.03770170314,1382
"2021/2022",2022,120,120,100,76.0974233767229,2307.27672683517,1143
"2022/2023",2023,120,120,100,73.5370124432011,4731.81359526934,1008
"2023/2024",2024,120,120,100,75.5353559238733,2214.26632020925,1462
"2024/2025",2025,121,121,100,75.3683755033967,5187.67499545612,1016
"2025/2026",2026,120,120,100,74.7332656212952,3871.93507106695,1187
"2026/2027",2027,120,120,100,62.5689383736608,2606.86411824962,1604
"2027/2028",2028,120,120,100,75.4766429787596,5665.06428120704,842
"2028/2029",2029,121,121,100,74.3487119120477,915.787872616202,1593
"2029/2030",2030,120,120,100,73.4085271833901,3676.39377993951,1156
"2030/2031",2031,120,120,100,60.6721627229945,3408.65703742462,1701
"2031/2032",2032,120,120,100,68.4233945047918,1769.10272374493,1556
"2032/2033",2033,121,121,100,81.0789992722821,3729.31914085383,1045
"2033/2034",2034,120,120,100,70.3728045016314,2561.13165205019,1473
"2034/2035",2035,120,120,100,75.6702500927627,2969.65655929153,1121
"2035/2036",2036,120,120,100,73.994418568499,4186.38962986926,1101
"2036/2037",2037,121,121,100,73.3345267688956,3415.33439120813,1216
"2037/2038",2038,120,120,100,79.0094179858288,2911.01301788632,1016
"2038/2039",2039,120,120,100,80.6680262927821,3084.06849456858,1102
"2039/2040",2040,120,120,100,74.0971435627889,3498.09596709581,1340
"2040/2041",2041,121,121,100,72.0626863018297,3764.2485746704,1311
"2041/2042",2042,120,120,100,76.9851867464004,5580.75939857541,826
"2042/2043",2043,120,120,100,79.015921545405,3812.325687523,1119
"2043/2044",2044,120,120,100,72.1816065602898,2709.47829273902,1373
"2044/2045",2045,121,121,100,80.3970042428828,3209.53581005707,1079
"2045/2046",2046,120,120,100,72.0572271694291,1258.64408910181,1517
