"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.4598113447406,4277.95562909482,952
"2002/2003",2003,120,120,100,74.7351925916033,4922.39072776565,844
"2003/2004",2004,120,120,100,74.0547956006316,2954.5017837242,1295
"2004/2005",2005,121,121,100,73.97300387298,2839.05764606592,1241
"2005/2006",2006,120,120,100,78.7616243420913,3596.24566602462,1032
"2006/2007",2007,120,120,100,70.7641957742055,2791.3569090385,1462
"2007/2008",2008,120,120,100,80.9735068985732,4263.53520784731,644
"2008/2009",2009,121,121,100,67.1599765341097,2127.30643792858,1615
"2009/2010",2010,120,120,100,81.3732490933345,3296.09247345949,882
"2010/2011",2011,120,120,100,74.7855860616705,4958.49184693268,950
"2011/2012",2012,120,120,100,79.6722211156089,4711.16397214436,746
"2012/2013",2013,121,121,100,73.3713375713635,3145.71795410942,1237
"2013/2014",2014,120,120,100,78.1992371893214,4098.72071428609,928
"2014/2015",2015,120,120,100,77.5441089177511,2671.14952131244,1080
"2015/2016",2016,120,120,100,76.5122485585216,4742.48271646956,943
"2016/2017",2017,121,121,100,78.1952958970849,2486.41192677396,1223
"2017/2018",2018,120,120,100,78.1357979243494,4854.61434417474,853
"2018/2019",2019,120,120,100,83.2729171526576,5146.11730002449,528
"2019/2020",2020,120,120,100,77.3202497436387,3413.09488320386,1044
"2020/2021",2021,121,121,100,75.0161201004876,4010.63653615839,1198
"2021/2022",2022,120,120,100,78.0715149788675,3243.79797613481,919
"2022/2023",2023,120,120,100,72.5402590345038,5737.47750629974,823
"2023/2024",2024,120,120,100,76.7288367041342,2650.34898230457,1208
"2024/2025",2025,121,121,100,79.8904825545474,5844.97271466302,803
"2025/2026",2026,120,120,100,78.0453413353794,4334.90265826671,984
"2026/2027",2027,120,120,100,66.2932321335702,2907.23004205897,1460
"2027/2028",2028,120,120,100,77.5925874540621,6413.92762216483,608
"2028/2029",2029,121,121,100,77.1078986194902,1300.50753065082,1319
"2029/2030",2030,120,120,100,76.9402426176639,4185.19741193904,915
"2030/2031",2031,120,120,100,63.224215737303,3614.75433767261,1580
"2031/2032",2032,120,120,100,74.0011551142334,1996.45501510357,1344
"2032/2033",2033,121,121,100,81.1256786906133,4590.5407171743,813
"2033/2034",2034,120,120,100,73.0873028121036,2964.93792890385,1246
"2034/2035",2035,120,120,100,78.8406149018797,3764.98726765648,845
"2035/2036",2036,120,120,100,76.6470178526793,4749.19292758498,888
"2036/2037",2037,121,121,100,77.3648652798747,3879.03421255434,982
"2037/2038",2038,120,120,100,82.1093985621874,3732.56633245526,793
"2038/2039",2039,120,120,100,82.5971868125407,3681.55735626072,909
"2039/2040",2040,120,120,100,75.6493535725667,4005.18762940541,1113
"2040/2041",2041,121,121,100,76.0011984337025,4166.4741319255,1060
"2041/2042",2042,120,120,100,78.5035708045525,6353.06024731416,554
"2042/2043",2043,120,120,100,78.0351013842701,4879.29351311317,942
"2043/2044",2044,120,120,100,78.2341043616861,2957.16571945883,1151
"2044/2045",2045,121,121,100,84.1462196582434,3818.21914812457,786
"2045/2046",2046,120,120,100,75.2883702163535,1506.03488184744,1316
"2046/2047",2047,120,120,100,79.8376605611875,3973.61784116225,801
"2047/2048",2048,120,120,100,76.8297397045408,5211.01123568043,813
"2048/2049",2049,121,121,100,78.9894470520449,3007.74550240347,1102
"2049/2050",2050,120,120,100,78.8690595632588,2706.75737417769,1000
"2050/2051",2051,120,120,100,80.7034481688979,1833.70073520625,1029
"2051/2052",2052,120,120,100,75.6704807868073,4143.256118007,1085
"2052/2053",2053,121,121,100,77.3762472174303,5951.17711122707,760
"2053/2054",2054,120,120,100,70.7174713519398,5407.31408953248,950
"2054/2055",2055,120,120,100,80.681618004337,4143.77153408062,847
"2055/2056",2056,120,120,100,80.9914764442183,3132.65261627594,893
"2056/2057",2057,121,121,100,75.4241828570921,5767.34396530921,790
"2057/2058",2058,120,120,100,77.2149218473105,4356.31061245129,978
"2058/2059",2059,120,120,100,79.9479232716067,2979.65047102142,1155
"2059/2060",2060,120,120,100,75.7602064636903,2917.19670350989,1115
"2060/2061",2061,121,121,100,72.9930332537469,3617.21757878037,1182
"2061/2062",2062,120,120,100,79.9783075216501,5474.54008002812,762
"2062/2063",2063,120,120,100,76.6896675239359,3110.34997368045,1130
"2063/2064",2064,120,120,100,72.4785457043445,5260.87679659436,973
"2064/2065",2065,121,121,100,81.9972300486124,3580.70348756155,981
"2065/2066",2066,120,120,100,72.9624833981352,3543.50026095519,1191
"2066/2067",2067,120,120,100,77.8272913317369,3600.1618345282,997
"2067/2068",2068,120,120,100,70.5435281297532,2348.14720013458,1288
"2068/2069",2069,121,121,100,73.9177594944003,4662.42188814562,1074
"2069/2070",2070,120,120,100,76.1198070671953,3191.07007408375,1186
"2070/2071",2071,120,120,100,74.0515804208881,3882.80158017622,1074
"2071/2072",2072,120,120,100,78.0738975118529,6122.56046926463,691
"2072/2073",2073,121,121,100,72.8790321116903,2988.98406881047,1328
"2073/2074",2074,120,120,100,80.4407493684266,4233.63986845734,807
"2074/2075",2075,120,120,100,73.386209048811,3151.61730312556,1135
"2075/2076",2076,120,120,100,73.0553976071042,4651.83973720297,1135
"2076/2077",2077,121,121,100,77.9686992077022,4900.14358316455,898
"2077/2078",2078,120,120,100,77.3771221503721,3675.62997019384,964
"2078/2079",2079,120,120,100,81.32713109414,4010.88524743449,680
"2079/2080",2080,120,120,100,78.0500216320561,5188.93190264329,841
"2080/2081",2081,121,121,100,79.4217625108577,5200.30397058837,856
"2081/2082",2082,120,120,100,80.0183018087955,2710.52347136382,1040
"2082/2083",2083,120,120,100,79.6048729060185,4157.6289727632,872
"2083/2084",2084,120,120,100,74.994775936455,3298.95817758981,1338
"2084/2085",2085,121,121,100,79.7714233906681,3492.99378628936,938
"2085/2086",2086,120,120,100,75.3837031813,3449.39224226493,1158
"2086/2087",2087,120,120,100,77.6866490477896,3686.6674258057,1012
"2087/2088",2088,120,120,100,81.6571208427431,3661.90245856438,825
"2088/2089",2089,121,121,100,77.7367233216864,2560.40239721071,1131
"2089/2090",2090,120,120,100,74.9433355567635,3366.48534746002,1219
"2090/2091",2091,120,120,100,81.051584449202,3440.63343144301,806
"2091/2092",2092,120,120,100,80.6276429828758,4042.47642782144,802
"2092/2093",2093,121,121,100,83.9606462306929,3564.98707087245,858
"2093/2094",2094,120,120,100,78.3985576010618,5709.78396697156,655
"2094/2095",2095,120,120,100,77.4792769428022,3956.99646675307,916
"2095/2096",2096,120,120,100,76.6674039111876,2835.18532613385,1123
"2096/2097",2097,121,121,100,78.1899137268647,3024.84784512687,1156
"2097/2098",2098,120,120,100,72.9988955917488,4765.18574197125,1073
"2098/2099",2099,120,120,100,73.9799921857702,3137.24748770427,1162
"2099/2100",2100,120,120,100,77.5844521459258,4434.13860309683,969
