"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.6520870435988,3844.84568311346,1024
"2002/2003",2003,120,120,100,71.8838427068752,4944.6035693205,965
"2003/2004",2004,120,120,100,72.3828531190389,3113.10842204193,1332
"2004/2005",2005,121,121,100,72.697460490259,2838.95105693812,1310
"2005/2006",2006,120,120,100,79.1211269704376,3341.19079422893,1142
"2006/2007",2007,120,120,100,66.0358558029421,2846.03314513795,1532
"2007/2008",2008,120,120,100,81.8651054236229,3980.05355924217,737
"2008/2009",2009,121,121,100,65.5364797747618,2255.14950905921,1682
"2009/2010",2010,120,120,100,79.0533622483978,3236.41733727476,1004
"2010/2011",2011,120,120,100,71.8065050425221,5180.33322854619,1093
"2011/2012",2012,120,120,100,79.2331397829073,4178.26658199553,833
"2012/2013",2013,121,121,100,72.8289085702611,2963.77480859193,1321
"2013/2014",2014,120,120,100,77.1599450785347,3984.96544964064,1019
"2014/2015",2015,120,120,100,74.765651117925,2695.66059117566,1214
"2015/2016",2016,120,120,100,75.1617141077272,4823.80613374838,1056
"2016/2017",2017,121,121,100,77.0573367304121,2467.33748111525,1354
"2017/2018",2018,120,120,100,74.9550115052457,4800.45740136656,976
"2018/2019",2019,120,120,100,83.1979535456539,4815.96858573367,645
"2019/2020",2020,120,120,100,74.0886342944018,3393.22257885733,1133
"2020/2021",2021,121,121,100,74.0960615767685,3817.90063019819,1286
"2021/2022",2022,120,120,100,76.9278687480191,2821.77346946718,1017
"2022/2023",2023,120,120,100,74.6509624267119,5147.54796322505,892
"2023/2024",2024,120,120,100,76.006394259402,2507.05573137128,1347
"2024/2025",2025,121,121,100,77.8661871635645,5805.10692860465,916
"2025/2026",2026,120,120,100,75.0833603824826,4375.37361465045,1071
"2026/2027",2027,120,120,100,63.2584195604481,2866.26692345133,1528
"2027/2028",2028,120,120,100,73.8055944347552,6429.73098603077,759
"2028/2029",2029,121,121,100,75.8346822310968,1185.99496755074,1475
"2029/2030",2030,120,120,100,75.935992861414,4039.99955862411,1049
"2030/2031",2031,120,120,100,61.4882259275346,3731.66979770618,1625
"2031/2032",2032,120,120,100,71.5897288716633,2052.5467583721,1450
"2032/2033",2033,121,121,100,80.213317980872,4321.90797355049,927
"2033/2034",2034,120,120,100,71.2051526869723,3134.91700515989,1375
"2034/2035",2035,120,120,100,76.3225049498633,3403.67770022666,968
"2035/2036",2036,120,120,100,74.8788180696824,4640.11126089795,989
"2036/2037",2037,121,121,100,74.5432569424206,3864.74479881115,1088
"2037/2038",2038,120,120,100,79.6217102920691,3358.33299971744,904
"2038/2039",2039,120,120,100,80.5785512142229,3563.52832849324,1004
"2039/2040",2040,120,120,100,73.1824432357489,4024.84043241804,1230
"2040/2041",2041,121,121,100,73.9835026740957,4199.82751925895,1172
"2041/2042",2042,120,120,100,76.1500514148565,6360.8897976079,728
"2042/2043",2043,120,120,100,79.02705209748,4307.27415320417,1033
"2043/2044",2044,120,120,100,73.4851118429197,3243.99673227267,1274
"2044/2045",2045,121,121,100,80.4168901559433,3851.47840090096,970
"2045/2046",2046,120,120,100,72.5330153913837,1607.16736966744,1413
"2046/2047",2047,120,120,100,77.1927467469277,3749.21890533762,914
"2047/2048",2048,120,120,100,77.4766895202729,5103.3860074603,904
"2048/2049",2049,121,121,100,76.0110605573218,2795.56301088491,1243
"2049/2050",2050,120,120,100,74.4657250130522,2836.21109687909,1151
"2050/2051",2051,120,120,100,77.4755420910842,1797.12980569154,1216
"2051/2052",2052,120,120,100,70.2518907420672,4300.25976668345,1223
"2052/2053",2053,121,121,100,76.8022508379681,5916.59223564854,895
"2053/2054",2054,120,120,100,71.6109601841854,5396.20025254926,1086
"2054/2055",2055,120,120,100,79.7051808081842,4024.23641689448,991
"2055/2056",2056,120,120,100,81.499020079983,2920.52662169514,1036
"2056/2057",2057,121,121,100,72.6775538569509,5540.77362324856,897
"2057/2058",2058,120,120,100,77.1894828085142,3940.67938411003,1059
"2058/2059",2059,120,120,100,77.8664097206629,3066.36470170319,1243
"2059/2060",2060,120,120,100,72.7302916929384,2889.34052589117,1242
"2060/2061",2061,121,121,100,69.7862736807347,3694.49066775292,1287
"2061/2062",2062,120,120,100,78.9410797739683,5454.28975543659,836
"2062/2063",2063,120,120,100,74.8317009878283,2860.30834179698,1287
"2063/2064",2064,120,120,100,71.487685171981,5084.10647016624,1085
"2064/2065",2065,121,121,100,78.9570919236548,3339.01928274194,1109
"2065/2066",2066,120,120,100,70.5054135465771,3651.61195251718,1284
"2066/2067",2067,120,120,100,75.1884489997656,3592.92980275024,1130
"2067/2068",2068,120,120,100,71.6386207137884,2057.13398886193,1418
"2068/2069",2069,121,121,100,75.73337652806,4295.43814113131,1127
"2069/2070",2070,120,120,100,73.2409757051246,3114.24112479109,1286
"2070/2071",2071,120,120,100,73.0814022552204,3566.29907363234,1173
"2071/2072",2072,120,120,100,77.136699993679,5687.0129033397,782
"2072/2073",2073,121,121,100,72.6451877591053,3008.61379258242,1428
