"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.3875178826445,4225.85813172944,1021
"2002/2003",2003,120,120,100,72.6632476904437,5060.02078144687,923
"2003/2004",2004,120,120,100,72.7358167819438,3065.88548348518,1282
"2004/2005",2005,121,121,100,75.4164685282774,2862.80319612843,1267
"2005/2006",2006,120,120,100,78.9024614678792,3414.50771212101,1108
"2006/2007",2007,120,120,100,68.3350962423224,2828.77737560077,1514
"2007/2008",2008,120,120,100,84.434503508044,4097.1075536061,715
"2008/2009",2009,121,121,100,67.9249768995024,2124.35555084143,1634
"2009/2010",2010,120,120,100,81.7470180392305,3420.79011475481,966
"2010/2011",2011,120,120,100,72.7056174935744,5025.63418508251,1048
"2011/2012",2012,120,120,100,79.4784921852959,4389.32873359008,812
"2012/2013",2013,121,121,100,73.2349139252169,3125.03788185201,1263
"2013/2014",2014,120,120,100,77.2208507527262,3996.31126660563,960
"2014/2015",2015,120,120,100,76.5066483872945,2796.5142815212,1134
"2015/2016",2016,120,120,100,75.2325169885703,4849.47564381664,1009
"2016/2017",2017,121,121,100,75.756222355544,2664.19945307332,1313
"2017/2018",2018,120,120,100,77.4990100187172,4814.9152232504,922
"2018/2019",2019,120,120,100,80.9023116363517,5171.00052395463,601
"2019/2020",2020,120,120,100,76.8547427245767,3434.29495209781,1084
"2020/2021",2021,121,121,100,75.3170189607331,3903.95011257706,1241
"2021/2022",2022,120,120,100,78.8987643583432,3001.03133391403,993
"2022/2023",2023,120,120,100,76.3872743082352,5312.23090561177,836
"2023/2024",2024,120,120,100,77.788663984717,2560.94607162452,1286
"2024/2025",2025,121,121,100,78.1824562412498,5724.28742688196,853
"2025/2026",2026,120,120,100,76.0976356442993,4613.28057096153,1053
"2026/2027",2027,120,120,100,67.3240335964274,2674.62775199907,1472
"2027/2028",2028,120,120,100,76.3585994953787,6464.60435883608,682
"2028/2029",2029,121,121,100,75.884116746161,1294.46117673418,1407
"2029/2030",2030,120,120,100,76.6674992278677,4208.58196707279,986
"2030/2031",2031,120,120,100,62.4931692077084,3724.43089226005,1615
"2031/2032",2032,120,120,100,74.5546613094571,2011.87056798325,1386
"2032/2033",2033,121,121,100,81.9008784870302,4465.60414998815,874
"2033/2034",2034,120,120,100,73.1990640528688,3041.10803615162,1305
"2034/2035",2035,120,120,100,77.5167207318809,3592.73708852287,892
"2035/2036",2036,120,120,100,77.7293577749879,4904.25824585976,963
"2036/2037",2037,121,121,100,77.4589125450275,3900.39677184238,1023
"2037/2038",2038,120,120,100,80.2613365646521,3527.17505738116,858
"2038/2039",2039,120,120,100,81.5757119224891,3603.62123823166,971
"2039/2040",2040,120,120,100,74.4821074685833,4025.30511437031,1179
"2040/2041",2041,121,121,100,74.0726926628759,4092.96091938997,1119
"2041/2042",2042,120,120,100,77.3732926340181,6439.92219429463,647
"2042/2043",2043,120,120,100,78.5982276235491,4765.6935876119,993
"2043/2044",2044,120,120,100,74.6851151074407,3087.95476084482,1228
"2044/2045",2045,121,121,100,82.4668590305419,3982.3736718162,914
"2045/2046",2046,120,120,100,74.5621359779734,1632.85280651879,1356
"2046/2047",2047,120,120,100,79.4015659495035,3893.22913813591,881
"2047/2048",2048,120,120,100,77.2332207507843,5011.40013272362,865
"2048/2049",2049,121,121,100,78.7319356643266,2895.11128464807,1172
"2049/2050",2050,120,120,100,78.8402439856718,2788.95338319894,1112
"2050/2051",2051,120,120,100,79.4918169920475,1819.63157268381,1139
"2051/2052",2052,120,120,100,74.1790785943112,4284.9011154836,1148
"2052/2053",2053,121,121,100,75.8329938331799,6012.35783136776,841
"2053/2054",2054,120,120,100,71.3717069651484,5294.37704548379,1051
"2054/2055",2055,120,120,100,78.6421683321551,4131.2563135121,941
