"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,63.8157141632075,368.536812368451,66.1386879887454,76.1729579299313,97.6346875961046,1555.14290697063,1285.5,1189.77083240128,1438,1263.5,1192,1236,79.5153082247546
"2002/2003",2003,120,120,100,49.1845345625287,363.534295677782,65.5385756090173,59.0031782765376,94.4163791842647,1576.90863737433,1306,1070.02143908191,1416,1252.5,1338,1174.5,74.8163443771639
"2003/2004",2004,120,120,100,39.0070947362605,252.457353503913,85.2353394848357,51.9810466839628,94.8424759429942,1296.38191381497,1070,966.588181073577,1187.5,1050.5,1000,1028,73.4960531924434
"2004/2005",2005,121,121,100,46.6040345456552,298.227548137342,78.292096887644,63.8977951827713,99.3242053685268,1394.27940136076,1108,963.516721211666,1265.5,1033,1133,1005.5,73.9906802505825
"2005/2006",2006,120,120,100,47.3819935072256,340.749036396429,66.04936787503,63.4838718594854,99.0720548205836,1496.75536462528,1242.5,1094.15673965821,1368,1185.5,1193,1158.5,78.3545806570728
"2006/2007",2007,120,120,100,33.2308465162188,220.507276226026,87.6173228983428,51.6279910231056,97.1462915637276,1163.02348869357,913,779.826475644647,1066,857,969,831.5,69.8011240989077
"2007/2008",2008,120,120,100,55.5760737123734,365.906726198079,62.3349622835436,69.1141695761854,97.7853471209788,1766.19076997554,1525.5,1329.96706002728,1639,1453.5,1448,1423,81.8069083219731
"2008/2009",2009,121,121,100,33.4223924822397,220.205071365893,97.4576826997808,46.2409067714771,93.7327968264331,1088.02359630699,845.5,748.973084859191,985.5,814,848,794.5,67.2448371918327
"2009/2010",2010,120,120,100,60.9175827185532,351.463754159131,66.0516425911895,74.8813195456049,99.9663769484579,1647.30578883275,1375.5,1207.4981338816,1516,1322,1342,1290,79.7003286427982
"2010/2011",2011,120,120,100,39.7744017033547,305.606440477627,67.6346874747009,53.6991889435019,94.5038598667663,1407.44605435904,1159.5,958.260816210301,1264,1148,1135,1053,72.2068300944532
"2011/2012",2012,120,120,100,49.233387841871,349.394151170163,62.8096807277859,61.9310738748465,96.3138255429551,1684.6084840241,1454.5,1247.1348836473,1545.5,1419.5,1364,1361,80.9645164343583
"2012/2013",2013,121,121,100,44.3804446124207,274.397753575092,85.3586132977646,56.6109422953063,95.7645391851008,1379.8568134105,1113,990.01134498444,1249.5,1086,1104,1049,72.7267899887195
"2013/2014",2014,120,120,100,42.6040420781541,303.064452172761,71.4091254906887,55.553650615022,94.3338005784349,1514.39662852332,1283.5,1145.82317961128,1393.5,1260,1182,1216.5,78.1490113482287
"2014/2015",2015,120,120,100,52.6996414364897,288.31193891218,76.1011786622885,71.6128587357039,102.465372588013,1537.03824347225,1217,1007.61280483783,1415.5,1128,1329,1097,76.1441649674885
