"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,61.2185257023317,334.660677283554,70.1049738477931,79.2033579401343,100.78112591366,1442.50581449931,1176,1092.75603008039,1302.5,1162,1070,1139.5,77.8666395019534
"2002/2003",2003,120,120,100,48.6281229747732,346.929193467407,69.2945575251233,61.9271549884922,96.7584329368269,1391.95464674131,1070.5,897.986067780213,1230,1030,1164,961,71.3088556302861
"2003/2004",2004,120,120,100,38.4502513099992,239.605235903892,90.8102914642322,53.8105491603243,95.8508353505091,1211.89129706319,987,890.856185661744,1108.5,959,946,940,71.7635166246532
"2004/2005",2005,121,121,100,46.9766011201526,274.473145507183,82.7021592585735,65.738466893932,100.63612987676,1261.34552142875,956.5,847.194177207244,1148.5,911.5,1018,889,71.9026676467751
"2005/2006",2006,120,120,100,46.1572031857402,317.442857471801,69.1969677934352,65.4055843170662,101.97281912251,1380.99360113061,1134.5,983.443503548016,1274,1072.5,1114,1058,78.2566480863463
"2006/2007",2007,120,120,100,27.9010240476165,203.58039071404,93.1255825900451,46.9904582060817,96.8266785899767,1025.64903792955,788.5,674.289478322464,936,735.5,818,720,65.3353921473087
"2007/2008",2008,120,120,100,58.9838131039928,353.729728596625,65.3665412744779,77.9207948445973,102.10709929358,1654.52782785014,1365,1184.21421226304,1526.5,1290,1365,1261.5,80.7732923575967
"2008/2009",2009,121,121,100,33.0328757255626,204.475386738194,102.167447354724,49.2822536425377,95.0656798620515,992.683610458473,748,667.56212887274,895.5,717,797,706.5,64.5127967028533
"2009/2010",2010,120,120,100,62.4591154170617,328.201579121765,69.4631397038674,81.8589823066533,103.355231680969,1507.86160378105,1205.5,1055.91683685879,1389,1144,1262,1124,78.8256256831886
"2010/2011",2011,120,120,100,37.6232133103557,303.400120235992,70.7777098477942,55.1335770711206,97.3135682663186,1299.81290252554,1048,875.695878517959,1180,1008,1070,952.5,72.139234537651
"2011/2012",2012,120,120,100,53.542817111693,355.518240183227,65.8583055626922,68.5494066572549,99.746584683584,1593.54826590154,1327.5,1138.68545842078,1463,1273.5,1318,1241.5,79.6093678769098
"2012/2013",2013,121,121,100,44.9338154923552,260.189216292808,90.9736420745961,59.4627806183974,96.49302910431,1262.09000329982,984,870.148024412755,1118,952.5,1014,921.5,71.9085568521616
"2013/2014",2014,120,120,100,46.9299342182103,304.136280428911,75.4059299641951,60.8095265879902,96.4106559368555,1430.35477707168,1186.5,1025.7252327568,1315.5,1138.5,1148,1104,74.5526454788326
"2014/2015",2015,120,120,100,46.7790588136421,268.01167404473,80.806961975983,67.2985601582046,103.277095651992,1340.39675043863,1026,831.400919985275,1236,933,1166,912,72.0405970572656
"2015/2016",2016,120,120,100,43.6927945739037,330.408294556879,70.9052847389063,59.7675742345214,98.0823779754965,1325.47930037764,1043,881.208207007234,1194.5,1004,1084,936.5,73.9122609029373
"2016/2017",2017,121,121,100,41.8164841159183,263.050227372155,79.3197475650811,67.508679890278,105.457267390378,1239.65046129687,905,772.695617219214,1113.5,839.5,1025,826.5,75.8709178221968
"2017/2018",2018,120,120,100,58.3571575149211,329.584596613976,70.7896645007637,72.1173816146313,98.5489981765817,1385.45005393996,1116.5,946.959941130398,1264,1038,1124,999.5,74.5804389619791
"2018/2019",2019,120,120,100,66.0679542541767,368.360757632066,62.018763114214,80.8204019226602,100.158152479535,1696.39436825874,1439,1259.47170515003,1595.5,1364.5,1370,1344,81.5501639018003
"2019/2020",2020,120,120,100,46.0261646058183,301.526747457031,75.7427950934643,62.2150874957535,98.8069214912976,1352.30860634038,1099,964.299275566386,1253.5,1032.5,1099,1011.5,73.5250094680996
"2020/2021",2021,121,121,100,39.7097385252497,272.454451471276,77.3312940897925,55.1312023278649,97.821423872669,1238.43852423377,980.5,887.909015804793,1092,987.5,963,925,72.6648075875578
"2021/2022",2022,120,120,100,54.7394861608173,302.683840748261,77.5485116315515,71.3090681035792,101.182324495451,1526.8489507886,1242,1093.2466597314,1423,1175,1271,1162,75.7581857223045
"2022/2023",2023,120,120,100,46.4160719078115,334.588970740056,66.9107564006726,61.3594866218246,96.9774238780725,1464.68518068625,1150.5,989.561925451583,1272,1142.5,1201,1056.5,73.5797920702221
"2023/2024",2024,120,120,100,41.0805880580472,275.131447426439,74.9175674233626,66.5279505322992,103.988426943646,1265.60998126213,966.5,852.032487527553,1127.5,934.5,1009,913.5,75.4136937520807
"2024/2025",2025,121,121,100,50.3344967084025,332.450261537709,63.0988757639821,70.9146460510844,100.212591130641,1434.85748772013,1121,974.121532063578,1230,1111.5,1129,1020,75.8213225563786
"2025/2026",2026,120,120,100,42.4049031774865,305.693480223075,69.9916379476231,59.8637501357913,99.1568591248337,1328.23727275273,1081,937.456641632282,1212.5,1020.5,1046,992,74.6797137809131
"2026/2027",2027,120,120,100,27.0070337935975,194.576314326712,99.8531950760526,46.2746516463043,94.9138555155681,1081.85885085027,814,697.656899651129,949,801,892,759,63.058285399683
"2027/2028",2028,120,120,100,46.3832115353306,367.497114229181,61.5910615007522,60.2760773451919,95.3936641092965,1536.41416559617,1206.5,1047.56896333675,1337.5,1217,1221,1109.5,75.3107332350219
"2028/2029",2029,121,121,100,42.4036817800488,226.057699212319,85.6511258487155,69.8796318975428,106.70882686084,1276.34003953187,975,855.720933246532,1166.5,929,1062,929,73.800543243327
"2029/2030",2030,120,120,100,44.7516840894378,295.156414591557,72.542947366375,62.8187413134334,98.9531963259817,1416.45237238545,1091,947.194111755425,1234,1078,1143,1019,72.4915780414867
"2030/2031",2031,120,120,100,22.466876454978,206.66263136197,98.4536410847024,36.6040366972322,90.5220052082353,907.257773724705,676.5,556.375490022076,777,652,738,594,61.5478086938369
"2031/2032",2032,120,120,100,34.9445936246153,228.72199018068,90.0524026197745,56.642835017664,100.920386732467,1172.33310457485,886,750.34579231438,1070.5,809,995,801.5,67.5370626741924
"2032/2033",2033,121,121,100,55.7210037697165,340.409200776851,66.2110751487664,73.4066062068115,101.576467133283,1519.15619840205,1251,1128.86070647816,1398.5,1213.5,1193,1183,80.2594280669146
"2033/2034",2034,120,120,100,36.6730358753722,233.637643695844,89.5808567586508,55.1869337609317,97.5878306551926,1202.73114735965,935.5,792.20954615916,1102,879,977,859,71.044281854689
"2034/2035",2035,120,120,100,55.2149661060985,317.133858212725,73.8741836654281,73.3289893521931,101.519331070634,1513.92058217189,1162.5,1012.19561315467,1378.5,1111,1235,1083,76.8994572941388
"2035/2036",2036,120,120,100,43.8498809463978,326.563587796595,69.7693941187635,60.6758978600836,98.7502497716202,1399.1561467493,1110.5,943.819415290125,1239,1065,1137,1006.5,74.5377828848145
"2036/2037",2037,121,121,100,47.5017914498319,329.029734742428,74.79012723301,66.1491320051658,100.723894908373,1356.94723306202,1034,867.878721831099,1249.5,982.5,1154,939.5,74.7428403767849
