"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,61.2867045644253,339.700087621868,70.2511784220663,78.5977386678653,99.9040491332017,1483.90972944736,1218.5,1132.71425883024,1352,1195,1110,1175,78.5636039777368
"2002/2003",2003,120,120,100,46.7073429270543,347.358321347661,69.2298910231622,58.699727151969,95.7399673632906,1418.9102840581,1107.5,942.463366581883,1262.5,1075.5,1164,1013.5,71.2374941350483
"2003/2004",2004,120,120,100,41.4465831682902,250.615996722663,91.0972547885028,56.132868407401,95.1957901187479,1274.09278917441,1044,946.676138986875,1160,995,1000,979.5,71.4576299109916
"2004/2005",2005,121,121,100,49.1745676972835,284.374920607196,82.8546371530303,67.3528746358384,100.051880892176,1337.95809821103,1016.5,899.489071081366,1210,952.5,1097,930,74.3349519483797
"2005/2006",2006,120,120,100,47.7719016922083,321.029824282136,68.7291387294651,68.0642077992295,102.633047145644,1430.73426613225,1183.5,1031.51067942274,1320,1118.5,1150,1104.5,78.5658341591879
"2006/2007",2007,120,120,100,31.1519525453583,213.458109606648,93.2215228660205,49.907362409829,96.642446431987,1082.23664667616,841.5,721.656260937234,994.5,787,866,774,67.0164932374955
"2007/2008",2008,120,120,100,61.6581227046562,358.654555540028,64.9414666095345,80.4582551826314,101.948944335583,1712.68577940934,1439.5,1246.30277008689,1596,1364.5,1416,1341.5,82.4465031712275
"2008/2009",2009,121,121,100,32.7107057100223,205.304992845164,101.944233341184,50.2096833841498,95.468529900238,1039.97251224444,794,703.680154098692,940,755,826,744,66.4217887860738
"2009/2010",2010,120,120,100,63.3598094760111,334.668086122288,69.6199292989286,80.494232856401,102.502543264469,1553.1183762849,1256,1077.16716095135,1426.5,1179.5,1285,1157,79.9621672028879
"2010/2011",2011,120,120,100,36.8012987967597,298.280795815181,70.4101439161237,54.2275735730914,97.2742849003725,1333.2275032028,1096.5,902.565551642857,1209.5,1041.5,1088,981.5,72.1163707853368
"2011/2012",2012,120,120,100,54.996313171844,357.813740381387,65.5234379077907,69.1708932850381,99.3274893389157,1632.80049409511,1368.5,1198.26688822906,1510.5,1323,1326,1297.5,79.7822820315801
"2012/2013",2013,121,121,100,45.2835644964718,267.450141216557,90.8588381062461,59.9959237118721,96.7518380969585,1315.36726244624,1035,904.882858146639,1177.5,994.5,1076,966,72.1581007729296
"2013/2014",2014,120,120,100,49.5331620818134,308.888392903031,75.1207692339286,61.7149122723389,95.655904173297,1490.76861811477,1263.5,1095.0574403986,1381.5,1200,1210,1172,76.6477886094701
"2014/2015",2015,120,120,100,48.2874118997185,274.317781607732,80.7458489278062,66.2552289539218,102.144244305245,1401.58091883563,1085.5,899.548918863309,1307,1006,1229,986.5,72.9437811233988
"2015/2016",2016,120,120,100,46.2251823603196,337.038470922216,70.9685424841392,60.2049300440899,96.7975130455251,1377.45256495573,1114,953.26641302154,1251.5,1078,1094,1021.5,72.8413919028735
"2016/2017",2017,121,121,100,42.5014279330631,270.554302387011,79.4584636494168,67.38224951489,104.534907931278,1274.63902510722,946,806.520399170027,1157.5,881,1061,868.5,74.0477546530469
"2017/2018",2018,120,120,100,60.8355812136449,337.26484184028,70.60227581283,72.0841299146818,97.4514310663726,1464.76338437492,1195.5,1032.85555223968,1353,1144.5,1168,1115.5,77.5502446416272
"2018/2019",2019,120,120,100,62.8179464025396,368.516612455085,62.0235983742074,76.394624618729,98.772723780308,1715.6090015208,1472.5,1292.38129859742,1620.5,1375.5,1378,1358,79.3752424249765
"2019/2020",2020,120,120,100,47.0445917316248,301.773505534055,75.4439999185089,63.3866086351109,98.8391005771268,1401.51816697356,1148,1014.4667727709,1297,1099,1123,1079.5,75.1800198258666
"2020/2021",2021,121,121,100,39.5844532996045,278.295111772819,77.1645247206806,54.5343170180847,97.5497954900039,1284.05787555632,1018,925.45640663528,1127,1023.5,1004,967,73.2671406807585
"2021/2022",2022,120,120,100,55.3559129424062,305.093146216035,77.5175408591103,71.0731098513005,100.724085789042,1554.33377648731,1269.5,1127.74700109638,1450,1215,1280,1204.5,75.749580166022
"2022/2023",2023,120,120,100,50.655983157543,345.919444001009,66.3546918397265,64.2818885992588,96.9424147917582,1542.47394522186,1238,1075.95322306706,1351,1219,1271,1143,75.3201314673697
"2023/2024",2024,120,120,100,44.4402425253635,283.825268279465,74.7065533468166,67.7399548111575,103.776274659918,1315.81040353254,1009.5,891.746738660861,1193,957,1062,941.5,75.8350173048998
"2024/2025",2025,121,121,100,54.3781508522746,340.27948734515,62.7425338663625,72.9383499196855,99.6985820880504,1511.54317302043,1202,1041.32156017039,1315.5,1185.5,1200,1100,75.863022062028
"2025/2026",2026,120,120,100,42.352463987692,304.862770339516,70.0683637665914,57.9541295288557,97.7309945867899,1359.59119966236,1134.5,995.358835816653,1251,1071,1071,1043,74.8370970317274
"2026/2027",2027,120,120,100,29.0160761794542,197.189490217265,98.7851230904414,49.4289192134256,95.5771585859398,1155.73383234607,891,750.450127148001,1038.5,852.5,962,815,64.5867321064184
"2027/2028",2028,120,120,100,44.1280162622848,362.949224803747,61.4089621895135,57.3090739614145,94.4276026685939,1572.05517650659,1280.5,1104.29327468126,1394,1268,1241,1171.5,76.3773003509864
"2028/2029",2029,121,121,100,44.6362486744475,234.472282057766,85.6239745457009,71.2250318772309,106.593895933785,1310.55068716979,1003,883.996796714245,1213.5,952,1102,952,74.5336294275717
"2029/2030",2030,120,120,100,44.2033328706127,289.479935659022,72.2813013890329,62.7062104173082,98.9619171186121,1451.5618848236,1132,975.556350452359,1279.5,1116,1148,1054,75.327810391359
"2030/2031",2031,120,120,100,22.5257994936722,206.116632985269,97.994854401722,37.0978052429155,90.9097061049474,939.345133129449,693.5,574.674405869056,797,682.5,750,624,60.4667758075857
"2031/2032",2032,120,120,100,35.5916912344331,232.168027590758,89.5719564164976,59.0457891544121,101.84952740267,1227.84020202229,914.5,776.656837642744,1126.5,839,1049,830.5,70.5295245986008
"2032/2033",2033,121,121,100,55.8202903135547,346.952308613191,66.0800192971468,72.0486435331829,100.732912841719,1557.24521857721,1288,1166.67102832606,1426.5,1251.5,1211,1224.5,80.0043348617301
"2033/2034",2034,120,120,100,38.9091795080572,238.665797259166,89.5248959536301,57.8958126907826,97.3359130907291,1254.43855716467,969.5,828.647976703425,1149,930.5,1039,909,72.4537269172947
"2034/2035",2035,120,120,100,56.4548487951906,320.003871528433,73.5267797106733,75.3817513925486,101.316984945764,1582.19403191836,1215.5,1068.18391816175,1427.5,1168.5,1269,1142,77.1189987220259
"2035/2036",2036,120,120,100,43.277755480455,321.536177889983,69.7735209820491,59.0833357286059,97.5524948447411,1428.74408326045,1148,986.66946378548,1299,1123,1173,1063,76.2881919801762
"2036/2037",2037,121,121,100,48.9742950364848,334.573946508236,74.521595799192,67.2533209080438,100.495587307981,1417.87029099971,1100.5,927.853415391413,1306,1026,1217,998.5,74.9728824236408
"2037/2038",2038,120,120,100,56.8798845972437,310.271820236449,71.8528859961405,73.5742335711387,100.617624015842,1656.80655391281,1356,1202.43417171926,1499,1328,1340,1297,80.8803959923516
"2038/2039",2039,120,120,100,58.7990391606385,327.43602291473,66.8728596329653,75.5722474782172,102.077279802719,1552.98755707861,1312.5,1157.31343218094,1432,1269.5,1233,1253,80.5441278154176
"2039/2040",2040,120,120,100,44.2472933469392,340.515562889682,70.1479169156694,64.074763408432,101.711389196171,1303.39024988281,986,817.692102244559,1165.5,920.5,1055,877,73.7822982394373
"2040/2041",2041,121,121,100,44.7394033696835,307.828039163924,71.8917813039888,68.181832885155,102.643227360208,1377.50027896039,1037.5,872.18290270031,1214,1007,1120,944,73.2166255288257
"2041/2042",2042,120,120,100,52.1419017283932,374.961269766978,59.806329631845,66.0842857039382,95.9362348983394,1628.57988455755,1318,1132.4198957842,1424.5,1338,1267,1234.5,76.4270760691734
"2042/2043",2043,120,120,100,59.7145492405648,362.742141939555,64.0672462921054,75.9396496302476,100.670713849072,1455.72225555182,1192.5,1011.78400458889,1338.5,1121.5,1183,1085,77.5430039728535
"2043/2044",2044,120,120,100,40.7273666858285,245.642756741545,81.0429647090249,55.9939741716667,98.8051206153351,1293.86829010682,1053.5,938.966552651151,1203,1003,1001,990,72.1924876531511
"2044/2045",2045,121,121,100,57.8815848189059,365.117352264118,65.1187402109251,79.4532784356378,104.146721795235,1570.83443724074,1279.5,1115.97502598542,1459.5,1216,1266,1191,80.8476856846291
"2045/2046",2046,120,120,100,37.8412996441427,226.748916652432,87.8967025387252,62.2771820031756,102.867625429525,1315.13800486708,1013,846.256231464487,1208.5,941.5,1178,936.5,73.2636314890005
"2046/2047",2047,120,120,100,58.0851050656876,348.415573314534,70.9676346119309,71.7322808159913,99.4116822996188,1598.1797515022,1319,1156.69166279256,1467,1265,1315,1237,77.8898802535505
"2047/2048",2048,120,120,100,43.0179991785427,310.372683526428,69.6833924006229,62.2507537402884,98.1433248519696,1522.60284335236,1228.5,1048.89545895792,1362,1191.5,1258,1121.5,76.8865607722519
"2048/2049",2049,121,121,100,47.693838917436,309.563665670873,77.0447522887953,66.3726944191085,102.104543736192,1410.98809941218,1119.5,982.399352875576,1289.5,1074.5,1159,1064,77.3518076063328
"2049/2050",2050,120,120,100,45.6871656773488,282.331874206267,76.8623866838221,63.5111984804991,102.051995205072,1428.22302993023,1128.5,968.66087134278,1321.5,1061.5,1187,1048,77.3202756211504
"2050/2051",2051,120,120,100,50.3542291532239,249.869811745418,80.5322006448599,74.5693125208442,105.079597896464,1487.20220788044,1135,1027.63498737144,1362,1087,1236,1087,77.7599855395192
"2051/2052",2052,120,120,100,34.5223853499654,278.579751014398,77.4501061416738,49.742185744379,96.3329244216348,1272.90310743192,1009,864.747504719155,1152.5,977,1013,932,73.4837113000413
"2052/2053",2053,121,121,100,50.1773783204575,353.180633987564,67.5311188496599,65.6880238870345,96.5882281266729,1491.57326459824,1183.5,1034.5814786058,1289.5,1181.5,1169,1085,75.1133770754095
"2053/2054",2054,120,120,100,41.435224106223,331.537908654634,71.500076861342,55.8452710735923,95.6517856766125,1327.45021088122,1033,862.347470438075,1190.5,1014.5,1070,933.5,69.8990593846002
"2054/2055",2055,120,120,100,62.6090976778514,385.09606409385,64.3678849654531,77.6697737072358,101.455050314876,1521.91058221128,1202,1057.60582580656,1378.5,1159,1226,1120.5,78.3574120544663
"2055/2056",2056,120,120,100,60.7438242619034,343.155860941881,70.9527405291281,80.7422358198802,103.379113920815,1554.86729756603,1230,1081.26848841262,1443,1157.5,1282,1150,80.5001150125945
"2056/2057",2057,121,121,100,46.529692683699,333.922146874381,67.9078449230063,61.452582786132,95.937534372853,1551.39401622087,1231,1058.68665167913,1345,1260.5,1248,1152,74.9366264658192
"2057/2058",2058,120,120,100,49.1370915343557,280.720273463027,71.5822697102202,66.45149899483,99.4552327870941,1502.30038960418,1243,1122.17324447133,1364,1242.5,1183,1197,77.7438013940728
"2058/2059",2059,120,120,100,53.2927379129084,313.692687924247,72.0907272422569,73.0724729255261,103.082181955034,1364.08248468232,1072,958.006686672674,1240.5,1046,1084,1021,75.3547346130517
"2059/2060",2060,120,120,100,44.4557275840687,266.393457468137,86.5758430597357,60.0186746052437,97.7022491486591,1351.44546819397,1096.5,960.031201991678,1270,1007.5,1114,1004.5,75.3833446095405
"2060/2061",2061,121,121,100,42.4475039628328,299.526854557382,81.4390436652545,55.452594511192,96.0909447277323,1278.57321633291,989.5,830.455924330407,1126.5,946,1071,905,68.7003140453662
"2061/2062",2062,120,120,100,54.086216780031,367.370196858855,64.1695210325947,62.5781597449902,94.6371151029698,1556.85568218795,1373.5,1206.41694465238,1437,1319.5,1204,1281,80.1430515504317
"2062/2063",2063,120,120,100,40.0748983449844,248.537697310829,81.5532449389734,61.747944933757,101.049778162342,1318.59000919695,1009.5,856.248557815077,1214,936,1094,910.5,72.9023447085401
"2063/2064",2064,120,120,100,47.1972337013853,271.272301397071,73.7247312230647,64.190466417699,97.827398880522,1373.63305592778,1043.5,875.506373969914,1183,1031,1105,945,72.2270648950425
"2064/2065",2065,121,121,100,51.3721440290339,289.177184275818,74.0460231144375,70.0074554165148,101.514516017403,1473.20367060162,1232.5,1113.50881426853,1369.5,1199.5,1141,1185.5,79.193721251585
"2065/2066",2066,120,120,100,34.0250563595189,262.682339827702,77.4323981605113,55.2115589002005,100.745092109198,1238.87962389097,992.5,842.001772605025,1161,924,1023,904,71.014511000013
"2066/2067",2067,120,120,100,53.0892640520977,329.887939653699,70.9528129792135,70.9032727574508,101.930714242697,1447.96565949798,1133,964.704728921395,1317,1076.5,1204,1037.5,76.9999104298713
"2067/2068",2068,120,120,100,36.6868714690111,217.129571757414,91.9758413508132,57.7665305747323,98.7289912334451,1279.21345010682,1001,858.640786020518,1160,946.5,1103,928.5,71.1461761917999
"2068/2069",2069,121,121,100,51.5373217095907,336.271782354776,74.1719907628446,63.9248467347611,97.4104368129449,1401.23343726248,1122.5,977.16604853758,1269.5,1106,1146,1056.5,73.5568150962063
"2069/2070",2070,120,120,100,47.4616490694867,260.166087392476,85.2222676915531,62.0766206549492,96.9452142063802,1331.73162427641,1098.5,983.490488744061,1229.5,1046.5,1038,1043,73.9840315542933
"2070/2071",2071,120,120,100,46.2461541103013,281.24621040596,76.6484570274654,61.6620918433917,97.0746657142738,1373.33696600798,1085,955.149561050363,1246.5,1058.5,1093,1017.5,72.6780126475287
"2071/2072",2072,120,120,100,62.014526948743,390.625318861528,63.0964390738291,71.6104166094036,96.1683611100271,1593.30920614363,1351.5,1159.70057639778,1502,1266,1308,1238,79.4038402091765
