"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,62.2965249848377,341.322218068563,68.4645363118756,78.4712089864573,100.120730521536,1480.4949462639,1216.5,1140.2787638843,1358.5,1201,1110,1183.5,79.2144104231975
"2002/2003",2003,120,120,100,55.2878156090598,365.935138557901,67.1191980925021,66.6351167188466,97.2962622790667,1495.81598681498,1188,996.082643018054,1352,1115.5,1271,1058.5,74.887578069967
"2003/2004",2004,120,120,100,41.9770071155115,249.319085047365,87.8691563196424,56.999021837211,97.0473769624686,1280.55817754593,1058.5,942.646230034257,1171,1015,1021,1001,72.9833591533385
"2004/2005",2005,121,121,100,48.19564349356,284.786636477435,80.4957617204254,67.9916866135987,101.312985504877,1334.18133197574,1029,900.809554015725,1221.5,967,1100,943.5,74.3956458104448
"2005/2006",2006,120,120,100,48.2440096801056,332.415871142756,67.8573859966495,66.6901218200722,101.748794806477,1434.08807113188,1181.5,1031.55386763514,1320.5,1106,1172,1089,77.7060629543007
"2006/2007",2007,120,120,100,31.9483751878227,213.17238297835,90.4376977945364,50.9165154094002,97.8219798043529,1098.11477960748,853.5,734.258219864964,1012.5,797.5,884,784.5,67.9840411514384
"2007/2008",2008,120,120,100,62.511752415018,367.698003971568,63.8913315283127,79.0495214435843,101.076663478015,1737.57240003844,1481,1286.14394722598,1638,1398,1431,1377.5,83.2822986138357
"2008/2009",2009,121,121,100,33.56733593865,209.480982028718,100.033179642502,49.3555304086538,95.3944795246014,1037.14019927108,798.5,711.107354416778,938,759.5,815,749.5,66.3646749666013
"2009/2010",2010,120,120,100,64.3905364741393,342.69726549905,68.3014600597727,81.394958588877,102.322695256176,1572.19822799667,1271,1112.17817319016,1457,1201,1301,1179,81.1733233586795
"2010/2011",2011,120,120,100,42.7422687587122,313.404075997774,69.0929069635859,60.1172412635074,97.8538538394661,1370.40014969273,1109.5,922.890002444814,1243,1056.5,1123,998.5,72.8880509668068
"2011/2012",2012,120,120,100,54.4340539216369,361.921527482034,64.6379413427418,67.703598139982,98.5518952463048,1639.0022943323,1384,1199.22162924978,1525.5,1339,1358,1310.5,78.3256204142838
"2012/2013",2013,121,121,100,44.2706706697867,265.925904980283,88.4253329113247,59.4227375817544,97.436711600871,1319.03685596758,1026,916.412430760667,1188,988.5,1066,961.5,71.6296349683075
"2013/2014",2014,120,120,100,50.3014484091081,317.604476727076,73.1097724919343,64.4113845215188,97.2424138632834,1499.52707696497,1252,1105.10920011846,1393.5,1194.5,1214,1169,78.184569413768
"2014/2015",2015,120,120,100,49.5767094592987,273.045374084855,78.48604228365,70.7300286183398,103.895865386451,1435.6518117974,1107.5,918.304524946735,1341.5,1028.5,1260,1010,75.0849851226112
"2015/2016",2016,120,120,100,49.5678433714129,345.978562282279,68.7244721370784,64.2558834960011,98.5920265332705,1417.5934634137,1148,974.149436497706,1295.5,1094.5,1153,1040,75.6140214417055
"2016/2017",2017,121,121,100,44.9579945654369,275.898300603975,77.3213450924834,72.4693694726359,106.480838313615,1326.8507449119,993.5,840.977382428821,1207,912.5,1110,903.5,76.3947390219935
"2017/2018",2018,120,120,100,63.0081119878064,339.907853684698,68.74980362335,75.2725823167624,98.5318724996181,1470.03496457268,1204,1037.56044908647,1376,1121,1185,1096,75.9853620885233
