"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,64.0732341726589,349.172249132418,68.5276454046706,78.6939287478052,99.4480485930551,1501.74026019702,1235.5,1149.17246330537,1373,1215.5,1112,1191.5,79.2899787779408
"2002/2003",2003,120,120,100,51.1237335676754,358.969954022201,67.4618328960958,62.5082740722223,96.1609426543233,1487.66399803723,1176.5,979.919727738135,1330.5,1118.5,1270,1049,71.2733447734286
"2003/2004",2004,120,120,100,40.3982596647891,246.633851409139,88.3166540256153,54.6297344325533,95.8695621829123,1270.35462423431,1049,938.933048265325,1157.5,1012.5,993,990,71.1296506276794
"2004/2005",2005,121,121,100,48.5857569873125,287.749099437622,80.8087733371684,67.1957139532919,100.414619357053,1345.35814443544,1027,908.057326581471,1218.5,980,1104,956,73.8802628903982
"2005/2006",2006,120,120,100,46.9582323994649,329.162977990298,67.7629094761198,65.6536485847357,101.243808115037,1453.41577931201,1198,1046.34703004319,1336.5,1139.5,1169,1120.5,79.2130662785777
"2006/2007",2007,120,120,100,30.507414390379,212.816349757418,90.8247406872846,49.4794627132011,97.1062791926268,1091.27991086695,838,718.724179976948,996,792,872,771.5,66.434546058912
"2007/2008",2008,120,120,100,60.8832539124072,364.601679920902,63.8725005739446,77.3268275046465,100.456675331449,1748.73932986017,1482.5,1286.12394230209,1643,1408,1461,1376.5,81.9768026500143
"2008/2009",2009,121,121,100,33.3886171661602,209.807916253998,99.9627498926944,49.1205588305675,95.0281275555491,1051.7952685349,796.5,714.091509476697,956,770,836,753.5,67.006395276591
"2009/2010",2010,120,120,100,64.5317799416962,341.76170765345,68.0122487688778,80.8712590573142,102.002244382474,1593.94655149218,1300,1130.6697902609,1466,1233.5,1322,1208,80.4342188769815
"2010/2011",2011,120,120,100,40.0331796831184,306.942897854424,69.2320008871476,56.7834022781916,96.8864315581972,1367.73825122152,1116,915.420631393473,1227.5,1064,1112,992.5,73.3336292369568
"2011/2012",2012,120,120,100,53.1680363731821,357.396506640723,64.4830170574185,66.4288025391975,98.1991670017816,1664.63378315914,1424,1224.16200287188,1544.5,1367.5,1365,1332,79.2622117702081
"2012/2013",2013,121,121,100,44.8238520470886,268.845347853276,88.4159549983594,59.0843119178075,96.728708256028,1333.33371994782,1053.5,935.214906082974,1196.5,1016.5,1054,987,73.0472936474641
"2013/2014",2014,120,120,100,47.9486206358596,310.043713983954,73.5619597463832,61.3457918517429,96.0045947779604,1496.74225322253,1245,1098.15567944549,1370.5,1208,1208,1171.5,77.1093578175096
"2014/2015",2015,120,120,100,49.1142506518743,276.965872475868,78.6038888486191,69.4610464673031,103.00192195164,1439.99686243306,1120.5,914.384963351768,1342.5,1028,1256,1003,75.1994931015836
"2015/2016",2016,120,120,100,46.1431967826991,341.759219419524,69.0612061185025,60.9625549225751,97.4883786783613,1410.51324845258,1138,954.346316409394,1273,1092,1145,1026,76.4332565084285
"2016/2017",2017,121,121,100,45.4418681336116,280.24642232708,77.3646701847474,71.2593455832218,105.655445320398,1337.79324050139,994,840.888577214213,1214,917.5,1127,905.5,76.1686311065516
"2017/2018",2018,120,120,100,59.8025280104798,340.706949783777,69.0267651372123,71.697438752425,97.4330444394592,1471.5617329508,1200,1020.19136480531,1361.5,1120.5,1192,1075.5,75.6028553241545
"2018/2019",2019,120,120,100,67.7296339020402,378.931728590238,60.5238789620576,79.0356663213687,98.1865509702247,1773.78707611882,1536,1350.9497146516,1660.5,1460,1454,1439.5,82.1529340713294
"2019/2020",2020,120,120,100,47.2123860515041,307.907855132091,73.9607943893544,63.5742093112397,98.4870157863212,1428.15672679169,1184,1039.10461550448,1315,1119,1168,1095,74.8897573728095
"2020/2021",2021,121,121,100,41.8726303767027,284.569424614743,75.8451630401151,55.9960924603451,97.2655999174719,1301.93296432184,1039,936.635727752728,1139.5,1041,1022,977,74.3129927756759
"2021/2022",2022,120,120,100,55.2449584225694,312.37537283538,76.0699705876759,69.2361333489827,99.4855434246078,1605.23137294005,1342.5,1186.03605102037,1483,1274.5,1304,1261,77.9088513803208
"2022/2023",2023,120,120,100,46.7772717820476,336.814415482507,65.2894522481093,60.6051773170567,96.0809763827253,1537.23432724326,1243.5,1074.35694503205,1344.5,1235.5,1265,1150,73.2267498497067
"2023/2024",2024,120,120,100,46.8230055657234,291.13247397931,73.2527879322236,69.1987809108304,103.470237982156,1352.94942552837,1047.5,918.0023804224,1217,1002,1078,978.5,76.1153741891294
"2024/2025",2025,121,121,100,54.0620485877218,339.558830327011,61.6738513785692,71.8128319988056,98.945362685304,1507.48067698869,1189.5,1042.59908446629,1287.5,1198,1172,1102.5,77.0597997651685
"2025/2026",2026,120,120,100,44.6433212635977,319.11376308646,68.3491141035754,62.0653927017665,98.9441666607152,1407.08044428346,1137.5,996.250049932369,1271.5,1079,1105,1052,75.6270869713958
"2026/2027",2027,120,120,100,29.981608823378,202.30190460486,97.2136772153806,48.763581878253,95.3902657927918,1147.73870593519,867,744.527400073217,1023,846.5,940,805,64.6823880381567
"2027/2028",2028,120,120,100,45.7766892746047,368.712453201349,60.2527853186671,58.7904661490241,94.0986634270335,1602.60834848677,1267,1111.06467988851,1394.5,1287.5,1268,1178,75.2286892264365
"2028/2029",2029,121,121,100,49.5181539202879,247.172672468932,83.7421084978047,74.4564618047233,106.076821412215,1368.84855232837,1043,925.526480980967,1245,996.5,1149,996.5,75.4999289472248
"2029/2030",2030,120,120,100,49.1593312438608,308.927889988096,70.5980570648056,65.8250326579593,98.4843840077708,1507.05401574417,1193,1030.99370885227,1334,1174.5,1210,1115.5,74.9804796876215
"2030/2031",2031,120,120,100,23.625691420896,211.811948666447,95.835853595436,38.5025992587968,91.4732230469517,963.709357072017,723.5,587.861216139736,817,698,782,632.5,61.2900493823449
"2031/2032",2032,120,120,100,37.9122532330706,241.495175707576,87.6712427050338,59.7977092007562,101.488133209908,1268.90699072916,967.5,820.236359691848,1166.5,897,1086,887,71.2129722010645
"2032/2033",2033,121,121,100,56.8158619672281,348.332396102066,64.7674413710429,71.9283780518576,100.281958664333,1590.7124532087,1326,1193.39275126628,1463.5,1292,1254,1257.5,82.8869476235977
"2033/2034",2034,120,120,100,38.0011089670671,244.611890482738,87.5799771876565,56.2609541603959,96.8762196509994,1272.50791995914,1001.5,847.23202945197,1169,951.5,1038,926,71.3701482470542
"2034/2035",2035,120,120,100,56.0317501332067,327.249685811197,72.2009870324736,73.1570436646633,100.324317372677,1616.54165897802,1279.5,1114.5371797283,1474,1218.5,1337,1187.5,76.3980145018418
"2035/2036",2036,120,120,100,45.7260568214857,336.123948772626,67.9989050244831,62.3965732915131,98.4313200000799,1486.80079165583,1199,1018.60667485157,1337.5,1158,1205,1093.5,76.0067603915954
"2036/2037",2037,121,121,100,48.6586825095122,343.726617984435,72.9211304019786,66.7433429270105,100.038773743933,1460.27479087007,1161,953.787817103341,1339.5,1075,1261,1033.5,75.176090621123
"2037/2038",2038,120,120,100,55.2394511161961,315.564467566486,70.6665351286882,70.9604961842151,99.7335437878721,1691.56131590836,1395.5,1234.49855874741,1521.5,1363,1392,1323.5,80.2917082153258
"2038/2039",2039,120,120,100,57.4613414975943,332.805416825609,65.4992005380588,75.0592734863559,102.089178144949,1568.15495355068,1311,1174.96067758925,1436,1273,1245,1251.5,82.2039661684203
"2039/2040",2040,120,120,100,46.7224436316029,349.886053438275,68.8730078988063,64.1895805794843,100.672088316041,1335.82696452885,1008,846.422216846368,1189.5,958.5,1078,908,74.3468175268772
"2040/2041",2041,121,121,100,43.6799653674383,312.530166269742,70.633041783902,65.6969998853706,101.662777267996,1401.6534117093,1053,896.520630902432,1214.5,1043.5,1161,968,72.9685056123044
"2041/2042",2042,120,120,100,56.5505720530667,383.248693171863,58.4949200477124,68.0598126354251,95.3491893368797,1655.95254325714,1322,1150.55831722126,1436,1352.5,1281,1235,76.6268423352039
"2042/2043",2043,120,120,100,58.9004514958479,369.691836305477,62.6890848243057,73.8819155347712,99.6169857449788,1484.27282461336,1233.5,1067.08015183888,1360.5,1181.5,1185,1143,78.209680770613
"2043/2044",2044,120,120,100,41.6344426131872,251.140896994284,79.3861072007448,58.7008041225441,99.488633552235,1320.618644535,1069.5,946.80157219835,1230,1020.5,1035,1005,73.4603888075717
"2044/2045",2045,121,121,100,61.1686058969987,376.949456189808,63.6692945059444,80.5252138830757,103.189387197663,1619.67445289405,1326,1167.76576630292,1488,1276.5,1274,1247,81.8055244958778
"2045/2046",2046,120,120,100,37.8799496764703,230.318169918251,85.6287034563084,62.8548553941878,103.304089788238,1351.37338310262,1071.5,878.338839524407,1252,992.5,1203,985,72.8410510262229
"2046/2047",2047,120,120,100,59.8360495967128,358.841669278841,69.7007570310701,71.9646182081691,98.5850439371604,1637.06830459271,1342,1178.6801593588,1495.5,1298,1325,1261.5,79.0008230081094
"2047/2048",2048,120,120,100,42.468635306698,312.745005548358,68.5566135673863,60.1445389568501,96.6161312906374,1554.09529283131,1271,1092.72539401602,1378,1268.5,1251,1188.5,76.1101306666951
"2048/2049",2049,121,121,100,48.2097440413018,315.565218368603,75.3050043141337,66.9972848784138,102.480781213316,1434.3830730363,1137,989.253492938402,1311.5,1071.5,1176,1053,76.4566287652542
"2049/2050",2050,120,120,100,47.12095415411,293.900169939049,75.2009432803585,65.822369239999,101.843596461108,1499.22508277858,1177.5,1004.3186422406,1377.5,1108,1270,1087,77.2811021784291
"2050/2051",2051,120,120,100,50.8442758370584,261.982988523055,79.0380842722856,74.1211408625965,104.532357492037,1527.13782706187,1170.5,1063.13987268619,1408.5,1114.5,1287,1114.5,78.1363476680353
"2051/2052",2052,120,120,100,36.171009608552,291.021770258322,75.9653492167521,52.3189194652197,96.9718649643231,1309.54712010149,1031,870.336668825912,1177.5,986,1067,931.5,71.7751713331572
"2052/2053",2053,121,121,100,52.3170304742967,358.076850972087,65.6788398965605,66.9015993768609,96.2524861938285,1541.17422830558,1219.5,1057.57636916084,1317,1232.5,1217,1124.5,75.5629412849021
"2053/2054",2054,120,120,100,43.5566818732836,349.183375930689,70.939395098736,56.2123922235909,94.3816160128569,1366.13282290968,1068,881.260911350357,1211.5,1040.5,1106,944,70.1030280868099
"2054/2055",2055,120,120,100,62.7207439127458,392.182653805245,63.1644778164189,77.2426189203433,101.034127865363,1562.94717080987,1238.5,1084.2716860134,1410.5,1197,1262,1153.5,80.0030519678576
"2055/2056",2056,120,120,100,65.9452855479407,357.689797066882,69.6107342839187,83.7544217756414,102.519612825837,1609.42810055753,1284.5,1129.13940210232,1473,1206.5,1305,1196,78.8542221008038
"2056/2057",2057,121,121,100,44.7063282166249,338.456866529138,66.7196867056084,60.4841101188217,95.5247026617237,1566.29374947186,1233,1061.06568280687,1330.5,1272,1281,1150,73.0546561225492
"2057/2058",2058,120,120,100,47.0319510148285,276.509315391656,70.6327229466775,61.1960740589615,97.5605149992565,1500.34821174751,1252,1138.58739708737,1340,1273.5,1154,1217.5,77.1841092199584
"2058/2059",2059,120,120,100,53.6456502129964,319.865786745997,70.52873663142,75.0974925066903,103.566043780235,1387.09061186053,1080,958.993429104739,1255,1059,1093,1027.5,75.4690824474792
"2059/2060",2060,120,120,100,42.4907441893638,266.678509455884,85.1764914683008,58.4642864589648,97.3862035015512,1375.16918960179,1110.5,983.306782214044,1282.5,1038.5,1130,1034,74.6340034510731
"2060/2061",2061,121,121,100,43.7278625395965,301.864617594538,79.3263821779877,58.1266231156425,97.0551013505383,1312.89044204901,1022.5,835.954659444411,1170,954.5,1101,905,70.5904754053427
"2061/2062",2062,120,120,100,50.2763093971275,363.629080098221,62.6540360129573,59.121066050803,94.2852493123319,1564.86693558816,1388,1221.9508934586,1441.5,1346.5,1218,1295.5,79.0902147132865
"2062/2063",2063,120,120,100,42.3126019948965,257.347474570023,80.313306238007,60.9255695931334,99.8166548717588,1362.25098380836,1061.5,893.490175418105,1251.5,979.5,1154,949,74.9321265121625
"2063/2064",2064,120,120,100,47.6699407064299,275.719744689462,72.7180698825496,62.7144569456322,96.250328047912,1394.99838243643,1081.5,907.549680543416,1190.5,1074.5,1138,976.5,70.2246679365189
