"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,60.1560102446509,332.907707080913,69.7409599843932,78.6329984169101,100.880335772224,1429.56005231334,1171,1085.56397639128,1302,1153,1049,1133,79.8108735410676
"2002/2003",2003,120,120,100,48.9857657804766,345.113419969581,68.7789760178366,63.3454592867732,97.3499578565107,1406.34412539222,1091,925.641488846208,1248.5,1050,1176,984.5,73.2613700744631
"2003/2004",2004,120,120,100,38.0444609022879,236.67486648292,89.9501334548511,53.9209926121956,96.4202470818164,1216.96453494371,1001.5,903.281736012125,1115,971,950,952.5,72.5578483659551
"2004/2005",2005,121,121,100,47.0698533017058,273.852795834389,81.96950455166,66.5466848367218,101.127798942641,1263.78589584983,959,850.993970370508,1136,905.5,1019,883.5,71.4481331753054
"2005/2006",2006,120,120,100,46.1188909342377,317.29405570275,68.8630207136447,65.0822074042243,101.874300360087,1368.62081080667,1123,973.41563206644,1261,1052.5,1100,1038.5,77.9780858889054
"2006/2007",2007,120,120,100,27.191567650924,202.002611286968,92.379124560624,46.2592487354176,97.0136195741522,1026.73942762168,799.5,684.773417248555,941.5,744,836,728.5,65.6985164822097
"2007/2008",2008,120,120,100,59.3183671546719,353.221733200963,65.1658005756478,78.3273624448729,102.303607149154,1648.04243710645,1362,1188.35614580078,1527.5,1296.5,1352,1269.5,80.1287057742981
"2008/2009",2009,121,121,100,33.378600108863,203.982617249183,101.498072490256,50.3429658501288,95.5952566586478,991.454655420097,738,662.385102768624,891,712.5,799,700.5,64.5268228790047
"2009/2010",2010,120,120,100,63.0765563850553,329.579427047137,69.0851063132672,83.1767395981096,103.788153606246,1503.03121785439,1212.5,1064.54153516956,1384.5,1149.5,1239,1136.5,79.1906226581823
"2010/2011",2011,120,120,100,39.7019559785713,308.868981819501,70.1600943882367,57.1707154792138,97.7554269738871,1309.56155663991,1073.5,901.739009837679,1196,1013.5,1073,969.5,73.8569999044564
"2011/2012",2012,120,120,100,53.0302032914823,356.049993011843,65.7279862257481,68.4123347391286,99.7875732619462,1570.02857397705,1305.5,1119.68480502162,1441.5,1253,1305,1220.5,80.0153353501958
"2012/2013",2013,121,121,100,44.9546406219701,258.666113719949,90.5084561016664,59.7340852363729,96.622529525569,1260.72324368069,983.5,873.148960823253,1107.5,948.5,994,921,71.5901603137584
"2013/2014",2014,120,120,100,46.2506529813385,302.836104337111,74.714105335851,60.8501466195888,96.8118024313347,1423.14801128637,1181.5,1027.02837259471,1312.5,1132.5,1144,1099.5,75.5318077185116
"2014/2015",2015,120,120,100,46.4303581678279,267.987067035544,80.4659800720617,67.6275006112812,103.642206225,1346.80925791315,1033.5,839.159686608032,1242.5,942.5,1171,925,74.3024117643999
"2015/2016",2016,120,120,100,44.5144236628566,330.060351779306,70.3112103778632,60.8324716549559,98.5093107319243,1328.92369458797,1047,894.3016974735,1191,1017.5,1069,954.5,76.5342511477677
"2016/2017",2017,121,121,100,41.3145116652053,261.157174272779,78.8797443804333,67.4555738889261,105.785166770264,1241.96209485336,905,777.313123136562,1117.5,839,1031,827.5,75.3435755436442
"2017/2018",2018,120,120,100,59.3535347533625,330.178877039208,70.248671853711,73.6266570221661,99.0469587075652,1383.57901785974,1113.5,954.916420147734,1281.5,1037.5,1124,1001.5,74.2148421538202
"2018/2019",2019,120,120,100,67.3812567837991,370.689371316712,61.8073080528411,82.1642106389795,100.397704505726,1693.26498481884,1439,1269.76938583985,1592.5,1364.5,1361,1350,81.825536640566
"2019/2020",2020,120,120,100,46.8152176546954,303.901609670394,75.286342041635,63.4355107606863,99.1145163595758,1356.77974980706,1096,973.368768356107,1262.5,1040,1111,1019,74.5023894964961
"2020/2021",2021,121,121,100,39.571922572289,271.088787842998,76.7657262340517,55.3095640185638,97.982669384425,1229.17587163619,986.5,888.369624989529,1085.5,983.5,945,921.5,72.5276851056924
"2021/2022",2022,120,120,100,55.4100540355666,304.60597360378,77.4270768372808,71.9367668752953,101.359111997659,1515.49279935037,1220.5,1089.2291929873,1402,1174,1241,1163,76.0849114211428
"2022/2023",2023,120,120,100,45.8041423276877,332.188833854887,66.7494900379127,60.8725188416138,96.8847350762734,1449.08145121768,1129,976.406114627678,1260,1129.5,1184,1042.5,72.9557671163825
"2023/2024",2024,120,120,100,41.303857521831,275.328780578932,74.6409731980134,66.869025994255,103.978264672271,1258.31778119429,964.5,854.911884218267,1123,925.5,993,904.5,75.0486914996104
"2024/2025",2025,121,121,100,51.8450056069818,334.451830991885,62.6591573272473,72.3381568896098,100.541306264687,1429.36560573507,1122,982.242439972915,1226,1114.5,1124,1023,76.4199347000877
"2025/2026",2026,120,120,100,43.580789512294,305.629892830487,69.4047066200016,61.4018835970557,99.6392612840752,1330.9783240955,1081.5,953.345295113593,1228,1032.5,1039,1011.5,75.0036137039392
"2026/2027",2027,120,120,100,25.8257710709907,190.519376725895,99.2516161523842,45.7741098518035,95.0858709347911,1076.76618771235,805,696.670783147289,942,807,875,766.5,64.1913894116669
"2027/2028",2028,120,120,100,48.0572757723029,369.566703911053,61.0542753804461,62.1580317565107,95.8396819325617,1534.01355860273,1211,1057.14271483086,1341,1220,1219,1127.5,75.9466658747438
"2028/2029",2029,121,121,100,41.9700321771408,225.272989705691,85.3496699329151,69.5803735743429,106.698193340429,1270.54708010831,968.5,855.297898590861,1151,929,1047,929,74.1285703942476
"2029/2030",2030,120,120,100,45.0226097935453,294.616834009835,72.2891291927736,63.2051733067991,98.8969382210814,1413.665849653,1091.5,956.475413179491,1233,1085,1142,1028.5,73.7105633802498
"2030/2031",2031,120,120,100,22.5836301767688,205.63292845164,97.541404901427,36.7674424852864,90.7469681149591,909.709486182328,686,566.45825665028,783,666.5,747,608,61.5728818631596
"2031/2032",2032,120,120,100,35.6316907771597,229.185071420921,89.6382188541541,57.0724524532541,100.943198373754,1184.52564246746,901,768.01605557256,1083.5,822,1000,815,70.1915292797166
"2032/2033",2033,121,121,100,56.4558443463567,341.330371356791,65.9151521862994,73.9031810456269,101.773677162747,1510.17348274906,1243.5,1124.32001821739,1378.5,1208,1206,1179.5,80.1783796129475
"2033/2034",2034,120,120,100,37.5239536645845,235.905262176005,89.0625936219266,56.3155095997224,98.0370975734367,1203.18379474978,942.5,802.309457130516,1102,881.5,975,863,71.0683857147565
"2034/2035",2035,120,120,100,54.6070946886259,317.532220414448,73.7656820608423,73.1112843550398,101.462160633196,1504.31796078452,1156,1009.74332390623,1376.5,1100,1246,1076,75.5406353811741
"2035/2036",2036,120,120,100,43.6520262015316,326.2187885862,69.3655002460282,61.528136848031,99.0975875252236,1399.93458767362,1099.5,948.576357928832,1242,1073.5,1130,1015.5,74.4401065608258
