"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,61.5885381944262,345.814408787587,68.6603806574197,77.2802609100211,99.167523110897,1482.50108307111,1237,1142.72991329799,1363,1195.5,1107,1176.5,80.5490991373349
"2002/2003",2003,120,120,100,48.0789495529474,360.284382431882,67.498635530534,58.788948244315,95.5480136610768,1439.36938453519,1131.5,950.875287104145,1293.5,1083,1169,1026,72.9650749449724
"2003/2004",2004,120,120,100,43.6807318496997,261.064939787591,89.2194204437082,57.5442604948932,95.0493506402888,1301.42525753793,1073.5,957.365915522902,1193.5,1021,1033,1004.5,71.7040857620608
"2004/2005",2005,121,121,100,49.6537215939826,291.857602786692,81.0803089459108,67.6711384314538,99.6308294699826,1362.90520555417,1058.5,920.493665438483,1235.5,992,1112,965,73.322093570431
"2005/2006",2006,120,120,100,49.289406648788,332.092911169818,67.1624170599357,69.5063950243625,102.610795716492,1441.46974362675,1186.5,1045.47645135794,1334.5,1132,1155,1115,79.8006326920025
"2006/2007",2007,120,120,100,34.3317408601849,224.538831853017,91.1957292695414,52.2266679081356,96.7713795476675,1125.62862528293,889,747.644980016279,1042.5,827.5,907,811.5,66.8588209941929
"2007/2008",2008,120,120,100,63.6402792487065,370.233080500515,63.4407403264471,80.1431054034476,101.24870351267,1728.71036114109,1478.5,1278.79434239239,1621.5,1400.5,1438,1379,82.3065626464112
"2008/2009",2009,121,121,100,31.9045968047441,210.473935447708,100.256202818435,49.4624453902023,95.1224043082918,1046.57881928155,809,715.991196995833,952,777.5,846,765,67.6758074461096
"2009/2010",2010,120,120,100,62.4276941399379,345.554080609879,68.4311742780201,78.5312903520499,101.472180302981,1562.50915060757,1243.5,1074.51187674116,1416.5,1180.5,1297,1148,78.2542817137894
"2010/2011",2011,120,120,100,37.2208833311871,302.905348567804,68.9277848022299,55.5658885301709,97.3032646835959,1342.83406817736,1073,880.619373090787,1196.5,1051.5,1101,964,71.4296072725585
"2011/2012",2012,120,120,100,54.8084701464418,366.842396008852,64.0540146955708,68.0243280504886,98.6001271997555,1642.31836831374,1392,1217.79538014084,1526,1337,1345,1310,81.0307800981213
"2012/2013",2013,121,121,100,44.7532132952815,275.961609354997,88.797653344476,59.4228205043845,97.1047271735748,1335.60324380621,1047,916.929954897409,1203.5,1008,1113,975.5,72.455590859043
