"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,55.0993149121884,308.615276297049,72.6360717101451,75.9995738373121,101.714107075039,1456.06707348459,1197,1122.88578323698,1332,1169.5,1092,1160,79.9450681185126
"2002/2003",2003,120,120,100,52.5941180399913,334.390145574772,70.7038201531245,68.3744413752326,99.6636088142469,1440.78448312524,1113.5,968.862119076863,1294,1059,1202,1015.5,75.8304211270573
"2003/2004",2004,120,120,100,38.0818140496773,227.754912972531,92.1650835109525,56.7917310048912,98.4054124176296,1250.06154610656,1020.5,915.591635745872,1144.5,983.5,1017,976,71.6734483081521
"2004/2005",2005,121,121,100,45.6824952445033,254.965112869086,84.7387128865001,68.5468816918727,102.831389513264,1271.53790428727,946.5,833.495064659354,1139.5,896,1047,878,72.8218115661
"2005/2006",2006,120,120,100,47.3558106041184,306.532594412264,71.7383765691052,66.7241872410868,102.703198836685,1402.6137159284,1142,989.54682061268,1303,1063,1178,1054,77.9379564110868
"2006/2007",2007,120,120,100,28.9708147502458,194.975896183536,95.384278736654,47.17823149288,97.4120737751375,1037.62556664633,802,699.493988266677,954,742,830,740,65.353300270856
"2007/2008",2008,120,120,100,61.8075824807593,337.77490720897,67.2153948338046,82.180287214839,103.767899217432,1707.92003019786,1420.5,1242.18718365453,1604,1352.5,1422,1338,83.3081909877673
"2008/2009",2009,121,121,100,32.2619054104288,190.091606133686,104.588599951382,51.0959962532747,96.9552947259453,989.598990099908,739.5,647.793865434786,899,696.5,812,690,64.4424895333544
"2009/2010",2010,120,120,100,61.9603901614631,317.282026728609,71.9388826623943,84.1079889758546,105.029893822953,1528.29359066964,1210.5,1060.05704371902,1408,1145.5,1276,1139,78.3633321943742
"2010/2011",2011,120,120,100,45.7736242428963,307.061761168217,72.5598642502253,64.1665507764717,100.063231158458,1351.38662203915,1079,913.634607028953,1243,1005,1109,983,76.3399622403601
"2011/2012",2012,120,120,100,54.7498889999802,342.768819916259,68.3740932835438,70.1084812298272,100.213909530433,1605.64841388408,1351.5,1167.98763359317,1501.5,1278.5,1343,1263.5,78.5258531478271
"2012/2013",2013,121,121,100,42.8535750269297,242.239978130007,93.5574085085061,59.8433535136735,97.9920995078657,1264.78235142041,972,866.158826113705,1134,936.5,1032,918,70.6757429132306
"2013/2014",2014,120,120,100,50.0486578624096,298.473928604963,77.0409844724189,66.0085945644865,99.0599369942814,1460.57701320177,1179,1049.80879318667,1363,1129.5,1206,1116,77.1844547220071
"2014/2015",2015,120,120,100,45.4283848201085,250.557752832884,82.7720525227062,68.0609991820204,104.609722160441,1362.01982317075,1045,848.199280279445,1273.5,952.5,1191,943.5,74.6439271206268
"2015/2016",2016,120,120,100,50.2635320097432,321.586761278208,72.3831808942924,66.4974095338183,100.116726449947,1383.93366553259,1111.5,956.394618093326,1266,1062.5,1115,1025.5,76.1884228192293
"2016/2017",2017,121,121,100,38.1474215534879,239.769017664012,81.8476143729463,66.3756454211975,106.75562914054,1226.47101180375,895.5,760.127690450541,1122.5,821,1017,817,75.2787898886418
"2017/2018",2018,120,120,100,64.3327172540562,315.735983622934,72.0894563862666,80.5933115723108,101.048603477622,1440.60373203358,1170.5,1030.14121714228,1341.5,1101.5,1145,1087.5,76.165715431194
"2018/2019",2019,120,120,100,70.4202307198213,358.180922331163,63.9781280712104,85.4529158567763,101.376723649987,1739.919459548,1486,1323.41255226649,1651.5,1404,1426,1400,83.6723299578275
"2019/2020",2020,120,120,100,50.7201172602567,292.215048856521,77.6917560867774,69.4327033101993,101.113057155681,1403.30377498478,1107.5,996.508701642758,1294.5,1063.5,1164,1053.5,75.8546211108182
"2020/2021",2021,121,121,100,39.4227912233259,268.193986278606,79.9539753979567,55.584099260309,98.5098298328894,1268.39511988976,1022.5,905.874467095338,1136.5,1010,987,967,74.1859358929114
"2021/2022",2022,120,120,100,58.1310121479556,285.4524519329,80.6654350835579,74.7872339237415,101.6677457402,1527.68391171574,1212,1103.53611800774,1387,1180.5,1222,1173,76.07659693711
"2022/2023",2023,120,120,100,47.1873482823345,315.065367364977,69.2438943766221,62.8952670157186,97.7783526476731,1483.97742989319,1193.5,1029.7988300391,1320,1182,1226,1109.5,74.3018420774447
"2023/2024",2024,120,120,100,43.3700950525879,268.849506878073,77.6291355694735,67.5870357558448,104.120483886061,1298.95890290948,993,868.833109642016,1164,932,1055,924.5,76.3993704591517
"2024/2025",2025,121,121,100,56.1084866201891,333.13342896181,64.7668707307058,77.7284081099161,102.509301666543,1511.36128291643,1194,1052.39771097202,1323.5,1174.5,1214,1105,77.4224220746605
