"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,59.1676177942692,325.49005553577,72.4800561760128,78.1656559638785,101.274098762439,1462.84625968161,1186,1090.05761537432,1341,1160,1136,1146.5,79.1411327971234
"2002/2003",2003,120,120,100,46.4308877367586,342.504623963874,72.1253400947472,57.7221002224669,95.7920887857067,1377.27244066044,1080,892.855307218054,1247.5,1021.5,1147,967,70.5265891286795
"2003/2004",2004,120,120,100,38.3669458558654,238.047642341965,94.854433431427,52.5445152390397,94.1898279781561,1217.74065750042,997,876.980237700537,1110,946.5,963,934.5,68.6274885014394
"2004/2005",2005,121,121,100,41.8576425200483,258.15372419657,86.367294939687,60.5162549301279,99.0641570422665,1240.66855462564,948.5,841.722801899504,1127.5,905.5,1004,882.5,71.6960641006094
"2005/2006",2006,120,120,100,45.6437469048964,302.788915439087,71.6111178511066,65.4659094621257,102.152803259688,1363.28239007618,1101,971.394288202508,1254,1045.5,1108,1033,77.9882270322979
"2006/2007",2007,120,120,100,29.7766305063254,196.588025341187,96.7745900868789,48.1000953547394,95.7813248950944,1030.73891731427,804,681.020613592612,958,751,852,740,65.6014811826316
"2007/2008",2008,120,120,100,55.5867381588828,344.029964410149,67.8451443463425,73.448556049281,102.007697987528,1638.39299627588,1331,1157.47303789092,1539,1260,1375,1243,80.9216251427855
"2008/2009",2009,121,121,100,27.8863015484352,191.027729998971,107.078126372204,42.3697608993655,92.0716772120299,958.685864932428,740,662.167220923838,867.5,712.5,742,701.5,65.0561879243365
"2009/2010",2010,120,120,100,52.3729919682025,311.407731660893,72.4336678928397,73.3457767453193,102.606112931521,1481.86351617284,1171.5,1011.47070511123,1346,1109.5,1257,1084.5,78.2944980110464
"2010/2011",2011,120,120,100,30.3717031461997,262.032647861384,73.8847835127362,48.4165485042938,96.0581650147188,1241.02142116756,991.5,822.269473397196,1116,971,1004,895.5,70.2703474354926
"2011/2012",2012,120,120,100,51.7311499894671,340.945317187112,68.0875681569186,67.3948640533664,100.175622757284,1583.94364855806,1326,1121.67369308388,1477,1246,1325,1225,79.8915556923675
"2012/2013",2013,121,121,100,42.442797877678,247.427015356147,93.6664125420011,56.9644977225646,96.6774133352615,1236.90471761047,969,845.820762583274,1115,931,1016,904,68.6372927010073
"2013/2014",2014,120,120,100,48.811086003456,295.445551745874,78.3295408202744,59.9004214104805,95.3835314733741,1434.6672600391,1195,1054.22264403702,1315,1145.5,1134,1122.5,74.117155163286
"2014/2015",2015,120,120,100,45.7366862135957,253.022972296767,83.6876158929342,65.9454686619293,102.522418759158,1306.41677303977,993.5,820.541817377111,1203.5,923,1132,902.5,70.753733375002
"2015/2016",2016,120,120,100,39.724695107002,318.343844783396,73.8161446924191,56.5518772558064,97.4656054700483,1308.07002204208,1047.5,886.939621406807,1191.5,993,1077,941,70.163718323354
"2016/2017",2017,121,121,100,40.6677526328549,253.33087913467,82.146821923019,64.4575362994112,104.524990569483,1224.21507812849,921.5,781.530302190869,1118.5,848,1010,842,73.4967727067344
"2017/2018",2018,120,120,100,52.5771193412575,318.694213993881,73.9131528621204,68.1052379085163,98.0856309858919,1385.07151056037,1116,952.833621902715,1278,1058.5,1122,1030,74.4554321490264
"2018/2019",2019,120,120,100,61.5275164613542,343.641363494307,64.2623696423018,78.462932874271,100.704331784577,1684.32536493392,1435.5,1254.50988523423,1572,1354,1347,1337,80.8287192376179
"2019/2020",2020,120,120,100,42.2150221805378,282.126409073425,78.7319991036304,57.99264534408,98.2223851156937,1315.19627042658,1062.5,946.082011800604,1221.5,1009,1057,992,70.5430421379806
"2020/2021",2021,121,121,100,37.1972614140611,261.859944288481,80.1581343768222,52.5120071538894,97.5051186581034,1240.07255367802,972.5,878.121548524903,1098.5,977,974,926.5,72.963240857116
"2021/2022",2022,120,120,100,49.0029400154341,283.704475596629,80.6458813508957,66.1358971703626,100.360485783101,1492.65554789718,1224.5,1063.9749580446,1401,1145,1279,1137,74.8364968707015
"2022/2023",2023,120,120,100,46.7444818077304,324.183551444607,68.6945816319516,62.472373271094,97.986343799824,1473.42951861227,1173,1009.31832000401,1294,1156,1197,1088,73.8648901472961
"2023/2024",2024,120,120,100,36.5835408421417,253.706916381411,77.3648694326774,61.600790215562,104.126023091676,1229.37936047072,960.5,833.983066443333,1123.5,906.5,1015,897,75.3959127765597
"2024/2025",2025,121,121,100,44.1046839375119,310.220643181865,65.6190412490383,64.6945870751856,99.4855272755766,1394.92249549115,1077.5,948.17730887907,1203,1079.5,1091,993.5,75.8103519490501
"2025/2026",2026,120,120,100,38.7069648178516,295.980977358604,72.6598939292934,56.0738513379074,98.6245676963882,1336.43361095669,1086.5,941.278858456307,1229.5,1023,1055,999,74.4598358404482
"2026/2027",2027,120,120,100,28.3143657631135,194.082647658098,103.817498330819,44.4143429018751,93.1524951096786,1078.98632200716,841,717.448090068207,979,804,879,774,62.7102764387164
"2027/2028",2028,120,120,100,40.2318516062395,335.380045890835,64.2838970106331,55.4770260650119,94.7783653199038,1477.02564534394,1189,1014.6295213627,1312,1182,1178,1082,73.9467426758897
"2028/2029",2029,121,121,100,38.9877114347308,211.728575911141,88.596591160223,65.6516179828519,106.049664958809,1237.77959404326,939,806.630303164432,1123.5,881.5,1041,881.5,72.2169290022302
"2029/2030",2030,120,120,100,43.7346054997203,287.267920612769,74.6606484224557,61.6538411710382,99.7269051916921,1398.20919090042,1074,936.391025504136,1225,1046.5,1120,998.5,73.1040145989755
"2030/2031",2031,120,120,100,23.0395774655184,201.489076471449,102.748594256304,36.5915649426836,89.5623033618915,905.243393338038,675,564.537570892902,775,652,731,595,57.8724082694239
"2031/2032",2032,120,120,100,31.3282095608943,214.124630545097,93.053843259203,53.5129280900564,100.706074172109,1119.38888038955,830,706.303240490122,1017.5,771,949,762.5,67.228003410195
"2032/2033",2033,121,121,100,49.1021168047298,321.649685343165,68.7262935063406,68.0579275099253,101.594300017548,1493.9248764896,1242,1111.6299497921,1370,1196.5,1172,1171,79.9627000230971
"2033/2034",2034,120,120,100,31.9055153561432,209.13722273373,93.5912438104769,49.8667357763633,95.4539803518063,1124.23328999791,876.5,722.604314900651,1018,817,902,780,67.4836176512963
"2034/2035",2035,120,120,100,52.233537626548,298.201541059623,76.2356076709615,72.1119669919397,101.957883324751,1460.87910053653,1112,981.344292828335,1317,1063.5,1175,1038.5,75.938633001841
"2035/2036",2036,120,120,100,42.4187939254043,323.056111754565,72.4143816116528,59.3784121279577,98.3270342936264,1390.99154791911,1101,950.578187237536,1257,1056.5,1139,1008,77.0298984581195
"2036/2037",2037,121,121,100,44.0630857532704,313.320408127791,77.684234507595,61.4486054030101,99.7070871172572,1325.98991097391,1050,874.281801133289,1237,972,1107,948,72.1200438709147
"2037/2038",2038,120,120,100,49.2464116061747,287.344738871347,74.6329135403509,68.7141579771256,101.495676703228,1592.87449974875,1314.5,1137.63606745013,1462.5,1267.5,1320,1235,76.5487260484833
"2038/2039",2039,120,120,100,52.5649066374705,306.605605358436,69.5595891041999,69.8218716672171,102.120802535575,1475.93142363186,1225,1091.72076714719,1351.5,1192,1178,1180.5,79.0062736561949
"2039/2040",2040,120,120,100,37.3838213091758,315.511356560595,73.6144853644456,55.6431799887482,99.8941436301926,1214.69718843474,908,758.491641672221,1088.5,864,994,813.5,72.0750607509135
"2040/2041",2041,121,121,100,37.2795209362109,283.208194282661,75.2115829456889,58.202969478021,101.342107246085,1262.5022243125,939,797.047897489738,1103.5,918,1035,858,69.7538417378419
"2041/2042",2042,120,120,100,48.7227366826765,345.191526435815,62.5310531781269,64.0665593321628,96.3911977950283,1533.17182164582,1219,1047.05124157589,1312.5,1236.5,1191,1124,75.1836003574781
"2042/2043",2043,120,120,100,57.828820584939,352.354886471426,66.2380822337233,76.7712268674053,102.11852389681,1422.92488031187,1160.5,990.521432763288,1308,1095,1158,1070,78.2825709927511
"2043/2044",2044,120,120,100,35.6887255888068,223.035873934433,84.8561334531077,51.2207185429958,97.2540867819448,1204.1545639086,979.5,873.437041233812,1098,932,939,915.5,68.0997938915798
"2044/2045",2045,121,121,100,49.9196616482932,330.383681298301,67.8145962068142,71.8316639696579,103.979006858979,1481.4184323215,1189,1051.13930657242,1360.5,1149,1197,1117.5,79.4710616799739
"2045/2046",2046,120,120,100,30.1554117727146,195.914571727549,91.1430902042137,52.2587722092429,101.024827396656,1206.08315019359,917.5,758.102015488032,1108,843,1071,834,69.8069448498973
"2046/2047",2047,120,120,100,56.2321751334066,327.962355194518,74.1985564431746,71.0458850818486,99.5851594557995,1539.68954979305,1263,1094.72309033526,1422,1225,1267,1191.5,78.993803254908
"2047/2048",2048,120,120,100,34.0846387867395,282.872750659424,73.0731855046553,53.6435101505818,97.1783209210568,1433.13787790359,1150.5,976.887783706381,1279.5,1123.5,1193,1053.5,74.0920214137113
"2048/2049",2049,121,121,100,41.2735570193223,280.308639768024,79.7815198803037,61.2822019577579,102.495386380802,1316.09448881916,1037,893.158214276225,1215,978,1076,969,75.7873616614561
