"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,61.84255196907,342.08546385074,68.1610486241603,78.0808701094853,99.7238943325838,1489.30539800911,1239.5,1153.12292688934,1360,1219.5,1095,1195.5,79.3369779893798
"2002/2003",2003,120,120,100,53.7800804353104,361.316674821059,66.8427824716136,66.1414213790396,97.0256731879691,1504.5529196033,1194,998.652688331914,1346.5,1143.5,1278,1078.5,72.4374337230743
"2003/2004",2004,120,120,100,42.3472438441005,249.124186385712,87.3232687355125,57.457602748541,97.1775741714653,1283.88163567248,1053,949.254213451528,1175,1024.5,1025,1004,73.54255699382
"2004/2005",2005,121,121,100,48.8337052953913,283.704870362862,80.1231719984359,68.8738606820442,101.447818641173,1339.35889083552,1030,899.461477356746,1209,975.5,1096,951.5,73.1727146534137
"2005/2006",2006,120,120,100,48.2825531308825,333.407303299498,67.6110070079846,66.1664000001021,101.498595343957,1454.26684119156,1202,1049.28798025484,1345.5,1137.5,1189,1121.5,78.9558215322759
"2006/2007",2007,120,120,100,30.912068708929,216.442185487886,89.9434748724127,50.4082541088366,98.0122146694389,1110.31585103932,863.5,737.573046258674,1018,803,894,788,68.2555427681731
"2007/2008",2008,120,120,100,63.0598642854268,366.547651944108,63.5137807988039,79.1451757329787,100.655715013888,1749.19505921318,1490,1297.53379290002,1647,1414.5,1436,1386,82.0243470356705
"2008/2009",2009,121,121,100,35.1512626926752,215.516577398176,99.289343285708,50.881608495108,95.9554391419629,1059.62561972501,805,709.72577283692,961.5,766,848,751.5,66.5131900595709
"2009/2010",2010,120,120,100,66.4453052766046,347.151667089002,67.7009966242876,82.8296892774749,102.338797772284,1602.58062861891,1312.5,1148.70638212482,1482,1238.5,1327,1221,80.6325784464037
"2010/2011",2011,120,120,100,44.6476214816405,324.425956929093,68.7836600422662,60.7761570848727,97.7311818838413,1393.3138304749,1130,935.73672891266,1261.5,1069,1140,1012.5,73.3207857519742
"2011/2012",2012,120,120,100,52.8725346668837,358.391530225066,64.4300141786845,66.3304272132805,98.0606313486461,1649.70231099325,1408,1210.14458365317,1531,1354.5,1353,1321,78.2457765972297
"2012/2013",2013,121,121,100,45.2185349733353,266.883938886359,87.8981127985797,60.2704688088894,97.4665801285671,1328.81412500468,1034.5,926.943642802533,1191.5,1002,1056,974.5,71.7757158008153
"2013/2014",2014,120,120,100,48.4317987680135,314.717674383376,72.9637478481055,62.9055290621732,96.8843964927333,1497.00160959621,1240.5,1094.9129930464,1380,1191,1212,1159,76.9395165723724
"2014/2015",2015,120,120,100,49.8952894854519,276.933963335183,77.9577804137044,71.2438131889666,103.946382023668,1459.47669103095,1140.5,932.868553016152,1353,1057.5,1272,1038,75.6102015987258
"2015/2016",2016,120,120,100,50.1230287367335,348.633461033938,68.3638308313504,64.5980082676454,98.384862026605,1429.98350119979,1148.5,970.944293139813,1299.5,1103.5,1167,1043.5,75.53310913464
"2016/2017",2017,121,121,100,45.8161461697037,278.179961570198,76.9828892617525,72.9573528503396,106.350323133196,1346.94180956079,1009,850.051613703233,1232.5,934.5,1126,923,76.8245743790267
"2017/2018",2018,120,120,100,63.654851044022,342.110708496784,68.3467178070506,75.2649487171085,98.3051108403514,1474.84097164891,1208,1032.1750617827,1380.5,1126.5,1183,1092.5,76.6004104242579
"2018/2019",2019,120,120,100,70.9531371184041,382.198797194541,60.1924280974413,81.2452730727302,98.4362663481407,1781.72644160164,1564.5,1367.61353402797,1679.5,1473,1444,1454.5,81.8874208868976
"2019/2020",2020,120,120,100,50.1530674916243,309.847187105204,73.4431160111337,66.9108801254773,99.3662930085796,1432.66343818781,1192,1045.11105777462,1334,1115.5,1175,1093.5,76.9084108997513
"2020/2021",2021,121,121,100,42.2766476163258,288.99550042808,75.4415447203023,57.2148006989185,97.6396779652589,1313.69010724215,1056.5,943.627467776641,1159.5,1052,1025,991,73.8669904433405
"2021/2022",2022,120,120,100,56.4624111656231,312.310943702824,76.1083594355171,70.0234695310073,99.2306797141157,1595.34314645385,1318,1191.71953455865,1466,1284.5,1291,1272,78.312826438701
"2022/2023",2023,120,120,100,47.3643278620266,336.156942685822,65.1853713705129,60.9861362621521,96.1075682989705,1526.66105422736,1232.5,1065.03702091478,1334.5,1228.5,1259,1142,73.1801769477547
"2023/2024",2024,120,120,100,49.4078266110204,299.625463528179,72.9837101711131,71.093312215884,103.724148848817,1370.79011032672,1054,926.871617363389,1245,1008,1096,985.5,76.5123740514637
"2024/2025",2025,121,121,100,57.6247710977762,346.843868094824,61.2958497297076,74.3911023577453,99.5527726148932,1522.19596790908,1212.5,1060.5357620503,1300,1204.5,1180,1112.5,78.9816166455503
"2025/2026",2026,120,120,100,48.7942506672861,322.942691788929,67.8362107848376,66.1726766996992,100.023428293646,1419.8891131385,1144.5,1006.17821817757,1284,1080.5,1115,1057,77.9610335079956
"2026/2027",2027,120,120,100,29.3681056511636,202.768073671322,96.4039364620733,49.3135971036845,96.0515340460736,1144.85329566071,864.5,744.717829436356,1019,853,940,813,64.8848064422205
"2027/2028",2028,120,120,100,48.8695444473256,381.352805725293,59.7012152606838,61.0669020899149,94.8247013711433,1622.41424931012,1300,1130.27783986704,1428.5,1300,1286,1200.5,77.5587843413109
"2028/2029",2029,121,121,100,49.2214961070278,246.467921289172,83.6269277332747,75.0713542346955,106.173327885013,1375.51221105985,1060.5,931.443628480343,1260.5,1002.5,1150,1002.5,76.0638298418089
"2029/2030",2030,120,120,100,51.3271101111425,315.284673705113,70.3777328797462,68.3178281450483,98.8744390905812,1524.25428283335,1214,1046.69804331142,1351,1190,1242,1132.5,75.1316954289268
"2030/2031",2031,120,120,100,25.3912806448265,217.406835071159,94.7479997203553,40.5855850656493,92.5632536380685,970.268462138658,738,597.71681086838,826,699,791,640.5,63.080380122572
"2031/2032",2032,120,120,100,40.3695692982566,242.854692222615,87.0308730033604,62.2583195523477,102.261919482614,1281.78199854487,992.5,838.368821897491,1172.5,913,1076,906,71.5938968176688
"2032/2033",2033,121,121,100,56.4814147887408,349.87042910752,64.5909756506809,71.8970091806446,100.483428943988,1595.67536104946,1340,1198.53231939845,1464,1291,1257,1259.5,82.3088948447089
"2033/2034",2034,120,120,100,41.2792760867408,247.626332529744,86.9599685735888,59.2043280578911,97.5567394706489,1284.03189668643,1011,857.719678431908,1181,954.5,1057,933,72.3987406208676
"2034/2035",2035,120,120,100,55.7048343633921,324.478872449682,72.1424317762373,73.1100501870674,100.15571694304,1615.55130313872,1301.5,1123.15914029941,1482.5,1223.5,1324,1194,76.3297683306105
"2035/2036",2036,120,120,100,48.1313370762944,335.722771814321,67.4406775052911,65.1025844553477,99.155727744594,1495.1258355532,1211,1029.92307691938,1352,1189.5,1204,1131.5,75.6995774967322
"2036/2037",2037,121,121,100,51.5027502739805,348.347567413355,72.3536124068981,69.9273145637266,100.863747957807,1471.70921238222,1174.5,962.508055136419,1360,1087.5,1267,1053.5,76.1728541683801
"2037/2038",2038,120,120,100,54.8590760291745,319.444873866439,70.4900088138873,70.5692230535019,99.9325559433452,1692.63298303199,1399.5,1232.34265396175,1530,1367,1398,1332,79.9603541688166
"2038/2039",2039,120,120,100,58.7776343437685,337.145805450534,65.2514233857552,77.2032626126895,102.898946096597,1578.6774583831,1325,1174.21079333456,1440,1277.5,1253,1256.5,81.1678115254545
"2039/2040",2040,120,120,100,50.1013730447407,353.04199993518,68.4055833941586,67.2044158053023,101.187895531205,1333.52167510022,1011.5,852.383244799694,1191.5,954,1076,910.5,74.2309280928876
"2040/2041",2041,121,121,100,45.8287673883719,317.739292316932,70.1460234034013,68.1790888778877,102.426193727485,1414.66910751708,1066,912.334345256031,1239.5,1041.5,1184,970.5,74.0015493160436
"2041/2042",2042,120,120,100,59.7209664066383,398.23026691117,58.0826721974306,70.5265137956085,95.9282781719391,1682.48471269413,1360,1178.89250190341,1470.5,1360,1324,1260,79.3844642594113
"2042/2043",2043,120,120,100,56.7462713406873,362.434362353585,62.627030916483,72.2431650225927,99.4285135266396,1468.89677969788,1225,1072.58357107751,1340,1193.5,1155,1156,78.3757258517862
"2043/2044",2044,120,120,100,45.2430677209864,255.682589610688,78.7730458267552,63.3402592752437,100.924344703083,1350.84625458329,1075.5,964.284689991035,1250,1032.5,1045,1022,75.3570187151399
"2044/2045",2045,121,121,100,65.1422467660906,388.200871670315,63.3303958106825,83.0883308078323,103.485541415476,1641.69771511492,1341,1192.81501594319,1530.5,1279,1317,1262.5,83.1763354946916
"2045/2046",2046,120,120,100,39.2171015073387,230.720673206566,85.0736436947022,64.7013823717147,103.77275044874,1357.6842463667,1075,890.256279407222,1255.5,995.5,1206,992,74.2144231182829
"2046/2047",2047,120,120,100,62.8674564439724,361.85609309359,69.3139167774705,74.987918051177,99.0281851456938,1630.31746426018,1323.5,1174.48814173294,1495.5,1285.5,1322,1253,78.4558922233455
"2047/2048",2048,120,120,100,44.6622198604929,319.192770949589,68.1942227098521,62.7322305096446,97.068889021726,1562.07802476417,1275,1112.22156365163,1392.5,1270.5,1249,1197.5,76.8172574231367
"2048/2049",2049,121,121,100,49.8822219996176,318.345437023628,75.2697143804286,67.6399049584087,102.160511191113,1439.79013054189,1143,991.290829256004,1326.5,1076,1209,1060,77.147921936099
