"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,63.2938829112004,362.383798667299,67.3413444756303,71.5588968539682,94.7404543124357,1774.05577153624,1526.5,1396.32155055983,1648.5,1499.5,1378,1468,80.6346131812905
"2002/2003",2003,120,120,100,45.0875265652749,321.733508536841,66.6131713063928,54.2035596491945,92.1674947941038,1761.28605744685,1524,1298.22098954659,1576.5,1483.5,1457,1406.5,75.4302188625362
"2003/2004",2004,120,120,100,40.2103674719077,237.987200292882,85.9852817182993,52.8165571239908,93.6405924399255,1469.86390408804,1248.5,1133.02941969068,1359,1222,1162,1193.5,75.441085414425
"2004/2005",2005,121,121,100,48.7576491769395,289.268016204744,79.0084664273458,64.9902912085226,98.0972684545505,1634.20493541861,1344.5,1179.99168627967,1506.5,1296.5,1346,1272.5,76.6975842906861
"2005/2006",2006,120,120,100,48.6211761265876,325.669691413885,67.4177841889871,63.7942813256102,98.0627576566986,1678.12348545412,1417,1252.46430716544,1559,1367.5,1367,1344.5,80.5431985584107
"2006/2007",2007,120,120,100,35.9675323236198,213.765477077841,88.496183006593,53.5900724172527,96.2931017443681,1309.3833035873,1031.5,869.747452090099,1191.5,960,1071,930.5,69.3500676271583
"2007/2008",2008,120,120,100,57.6302471763214,333.147998287476,62.8345025864242,69.2308119157983,95.8381513728456,1972.8947828965,1779,1567.06288851334,1859.5,1729,1611,1692.5,84.6110813890285
"2008/2009",2009,121,121,100,35.555964620772,206.784105915091,97.2436754265667,49.5740060129655,94.5901050963417,1261.02021296096,987,896.181401231586,1124.5,961.5,976,943,69.3408283461597
"2009/2010",2010,120,120,100,63.133256027791,338.035875273936,67.0139577143463,73.7852770181298,97.9767113241207,1889.34540309697,1635,1459.16207499874,1770,1585.5,1546,1567.5,85.0792172290294
"2010/2011",2011,120,120,100,40.5396064982271,260.747394817164,68.3170302891652,53.6493979625766,93.4661009393992,1514.99202611425,1286.5,1120.05256766345,1368.5,1272,1171,1196.5,75.0168442222644
"2011/2012",2012,120,120,100,49.402793929479,322.121730267382,63.5425610474329,60.1522399375519,94.3726724662072,1857.02026009531,1633.5,1456.39445019237,1708,1611.5,1491,1563,82.5613016831942
"2012/2013",2013,121,121,100,42.7600832799097,255.603506050766,86.3567895680766,54.2352341885232,94.9092930677494,1532.8468571284,1261,1145.785834048,1391,1245,1206,1211.5,74.3331383187597
"2013/2014",2014,120,120,100,42.5589542313113,275.378062420648,72.0850043923052,54.1572450855888,92.5930251212818,1678.63273004635,1461.5,1312.98360788746,1537.5,1442.5,1328,1397,77.2221828237141
"2014/2015",2015,120,120,100,53.5058639452158,278.739818489475,76.279509146273,69.7650610528209,100.509754850771,1744.3610439497,1444,1203.21398593774,1623,1351,1544,1322,77.1963499794413
"2015/2016",2016,120,120,100,45.8130236938068,306.520109655613,67.963768649923,57.194792448744,93.7410671329818,1639.8601992433,1387.5,1188.63595556502,1467,1363.5,1316,1284,76.9375005919946
"2016/2017",2017,121,121,100,54.3410136274428,302.974509740371,75.9081255560972,74.5938439480957,103.358075381181,1690.42412994293,1366.5,1117.30672835541,1574,1257,1475,1234.5,79.0167301260583
"2017/2018",2018,120,120,100,53.4106869968429,327.346123675706,67.6852881986582,62.6099954382647,93.1037999929354,1732.7975009893,1507,1294.232030057,1617,1439,1435,1379.5,77.6210810014736
"2018/2019",2019,120,120,100,61.9456828443195,348.018631309543,59.3267743499325,67.7340733859116,92.7870886373121,1991.32754988258,1825.5,1631.19453978855,1858,1772.5,1544,1746.5,84.7910048796584
"2019/2020",2020,120,120,100,44.6152607478828,283.153510184238,73.03955463562,57.8776135679953,95.5624696280877,1620.13975655652,1413.5,1256.50600676928,1502.5,1367.5,1267,1343.5,78.5010565172615
"2020/2021",2021,121,121,100,41.5719428725262,270.049848149617,74.6643969760684,55.3354960505231,95.4208598499039,1490.81045417906,1208,1114.511927386,1314,1235,1140,1167,74.7171640569454
"2021/2022",2022,120,120,100,52.7397835322532,283.874183551967,74.1357190003655,63.9904343329421,96.3936967650766,1831.46475973117,1606.5,1467.46074378557,1707,1585,1483,1573,81.2514905077219
"2022/2023",2023,120,120,100,43.6128654220116,298.509932308065,64.2983921243837,55.1407233821243,92.4322590312627,1724.56134967029,1466,1278.40353462747,1515.5,1483.5,1393,1377,76.0404178250028
"2023/2024",2024,120,120,100,54.2384372013112,308.093118806637,72.5045143364132,71.6619103115463,101.227742407184,1626.5804008102,1268,1119.22816008883,1478,1228,1327,1192.5,77.9239329946554
"2024/2025",2025,121,121,100,53.9315085367585,324.377530042268,60.9716096507866,66.4557364124921,94.2957709534194,1710.9172892528,1400.5,1236.55442107252,1494.5,1416.5,1355,1308,76.7818748689288
