"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,63.7777739054168,366.61032676162,66.4307989357328,75.499729539019,97.2914684684305,1524.41458664953,1260.5,1168.04914691554,1398.5,1233,1136,1198.5,80.2028623036606
"2002/2003",2003,120,120,100,46.0646136975584,344.564830003566,65.7574780541583,57.8121524541417,94.1547298420024,1502.9653090118,1199,1004.66723521412,1312.5,1160.5,1260,1064.5,73.2097369722852
"2003/2004",2004,120,120,100,39.7484919385774,247.632467124685,85.8595599574846,53.5945603390241,94.5635774910311,1277.20976588346,1064.5,961.915901583777,1167,1033,985,1001,72.0779719179052
"2004/2005",2005,121,121,100,48.6975480131049,304.767950335252,78.2125569119679,66.3170126363845,99.4200778560872,1400.83572615236,1100,957.02790872598,1271.5,1038.5,1153,1010.5,74.6945022167274
"2005/2006",2006,120,120,100,47.5374884116292,339.046989442236,65.5673468735164,64.814275293041,99.937109997258,1478.69280316807,1229.5,1072.28562995477,1351.5,1184.5,1160,1156,78.2247068380245
"2006/2007",2007,120,120,100,31.0967799995836,217.574612086089,88.1260661693188,50.0428460238695,96.4885182134741,1127.00681998531,879.5,738.500227167511,1020,826.5,889,788.5,67.3464217784341
"2007/2008",2008,120,120,100,60.440217026381,367.348322656001,61.9083733720163,75.4551789610915,98.9093190085766,1750.01881561047,1495.5,1300.92600214783,1634,1437.5,1439,1396.5,81.2655612909566
"2008/2009",2009,121,121,100,36.6541961035073,223.71045782832,96.4090398189329,52.233702373048,95.566040186367,1109.42250571485,843,745.955093367567,999.5,802,892,783.5,67.7400637549998
"2009/2010",2010,120,120,100,66.4746741064874,357.097952851539,65.6177791290439,80.0184716273619,100.831531914761,1637.90488856422,1350.5,1188.61795212423,1510.5,1307,1323,1281.5,81.9435700863332
"2010/2011",2011,120,120,100,39.0030611008184,311.402349152101,66.9337314680888,54.7536380762437,95.4739133030732,1385.61775318316,1159.5,956.571783922243,1236.5,1122.5,1119,1043.5,73.121806419904
"2011/2012",2012,120,120,100,52.360640543226,361.484204508025,62.4178558268913,64.8139009645985,96.8872928420032,1671.44656184277,1419.5,1240.44318180383,1532.5,1399.5,1350,1344.5,80.2995828314333
"2012/2013",2013,121,121,100,44.8206160125643,280.948872373641,86.1421840798585,56.7058380944503,95.4261986716876,1365.48539664878,1086.5,967.972712224944,1229.5,1062,1079,1025,72.3411073244113
"2013/2014",2014,120,120,100,44.2566292716045,304.160369021127,71.4078030862864,56.9105749015421,94.0511321728432,1499.48635518707,1259,1102.17336108583,1367.5,1233,1196,1175.5,76.3419441952574
"2014/2015",2015,120,120,100,50.0188764433187,296.535455989986,76.541832059987,68.2232955889786,101.526221718418,1510.05665833008,1189.5,975.661102974795,1407.5,1113,1339,1080.5,74.1484121113854
"2015/2016",2016,120,120,100,45.3123258318375,340.654871430619,67.1996643762411,58.6938404138266,95.4207123531384,1424.59168999675,1144.5,958.920483393591,1251,1121,1151,1032,74.0495589795626
"2016/2017",2017,121,121,100,47.3519329270713,300.457348990328,75.1321882735232,71.247424654285,104.1661404869,1406.64966399204,1064,895.970574948269,1272,985,1195,963.5,75.8196671383291
