"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,33.7995104080672,366.868187704702,49.2308805897265,35.9447886697216,80.7235256178948,1515.94256455548,1322.5,1151.34653810866,1276.5,1384,1062,1193.5,75.0530700793063
"2002/2003",2003,120,120,100,24.4785509829673,334.422808437062,48.1079216631076,30.1653463377598,79.9819485526895,1675.36736121001,1392,1257.31336848678,1288,1589.5,1171,1320,70.3097804027221
"2003/2004",2004,120,120,100,33.1142022559901,301.59940469696,63.0682525300702,42.5539111355014,87.1064731641324,1512.80507117888,1263,1135.28969032121,1284,1332.5,1117,1175,75.1800761730643
"2004/2005",2005,121,121,100,41.6675262625058,339.679287256329,58.4447056219185,49.2462906809935,87.8343436000088,1675.077301468,1425.5,1242.26237029806,1445.5,1464.5,1301,1306,73.3270865020187
"2005/2006",2006,120,120,100,38.2219192581804,355.356021139052,49.181307627107,44.6669365038274,85.1319109953706,1604.33597285628,1402,1232.99908647241,1382.5,1445,1167,1275,73.8724436539931
"2006/2007",2007,120,120,100,41.5297320019403,318.908221793914,64.9688597178163,53.1285356954363,90.4959655221333,1566.93110227849,1273.5,1125.34715346843,1366.5,1307.5,1217,1182.5,76.2965092040716
"2007/2008",2008,120,120,100,30.2873764745064,298.851362133941,46.3168295815989,33.1013770594677,79.0408404373774,1649.47174265437,1500,1371.61922724819,1402,1619.5,1085,1415,75.3489018993428
"2008/2009",2009,121,121,100,32.0351815169536,241.472308572795,73.447571656593,44.9839824361718,89.4340721163638,1383.97334687988,1114.5,943.390462727451,1185,1129,1072,1003.5,71.7429552968115
"2009/2010",2010,120,120,100,34.6057629270757,334.155628157899,49.8441107536912,38.0429327052346,82.4322727710251,1659.53471997144,1455,1317.34765162309,1385,1554.5,1163,1370.5,74.9304550562302
"2010/2011",2011,120,120,100,35.5544256282402,301.390785242676,50.4366554216732,43.0372475267382,81.7061447041675,1553.98242815247,1221,1075.73798451486,1088.5,1432.5,1109,1134.5,64.9960796383821
"2011/2012",2012,120,120,100,29.4725184521608,294.977200685395,46.9136146363671,34.2062433434543,79.3020634368574,1589.52859948501,1347.5,1239.17782793209,1256.5,1505.5,1034,1259,70.9236634667029
"2012/2013",2013,121,121,100,38.1519894371824,293.170122565498,63.1234941479752,47.4345584578698,87.3965917824388,1553.92154158398,1326,1183.43669619543,1328,1389.5,1145,1245.5,73.2587482738043
"2013/2014",2014,120,120,100,30.539693897965,291.624571531407,52.7430496154178,35.7997065673463,81.2716957182998,1529.59445982106,1352.5,1192.58843641221,1331,1422,1071,1241.5,71.5303474544185
"2014/2015",2015,120,120,100,46.3078878699951,322.166727700768,56.2972060166335,53.622228670058,88.6551652548313,1875.08204890427,1663.5,1483.67190095043,1671,1704,1445,1579.5,78.8079466020401
"2015/2016",2016,120,120,100,33.2652981493271,334.865604033075,49.2712200125787,39.42130842959,82.2395111017573,1670.60080036795,1338,1190.43173511604,1316.5,1493,1203,1244,68.2669472239668
"2016/2017",2017,121,121,100,52.7123822522995,375.021504836526,55.5867309006837,59.1649962867988,91.2968721783087,1824.57163239528,1592.5,1413.64960392559,1625,1622,1384,1517,79.5489317601398
"2017/2018",2018,120,120,100,28.983394174601,319.248729919957,49.720171743113,32.0952411816013,79.5091891875125,1621.54447459499,1368.5,1177.52936523572,1279.5,1532.5,1160,1259,70.0742228761637
