"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,30.0041413000698,189.57056236097,94.6255172411135,96.3159287344447,1049.47142682511,804,720.285239600154,934,787.5,837,770.5,67.7209898219705
"2002/2003",2003,120,120,100,27.47839519782,224.902707620033,86.5348047809853,101.520762748901,1088.44331673572,863.5,734.39631220683,996.5,811.5,916,800.5,70.3974082015787
"2003/2004",2004,120,120,100,31.3415264194483,232.720072875531,82.6306241824955,99.6568578774689,1258.4648040804,972,784.150959629392,1137.5,913,1122,866,69.6018147600453
"2004/2005",2005,121,121,100,28.4344473058147,191.636472842826,95.205120252299,98.1321975382484,1047.39919724518,834.5,709.303977886992,956,804,852,781,69.0404619921522
"2005/2006",2006,120,120,100,29.2542889810209,198.391001729245,108.523743070098,92.5170063841932,967.34199009562,728.5,617.372191746301,867,683.5,785,668.5,58.7048374068065
"2006/2007",2007,120,120,100,30.8464361105651,206.241725202655,95.4235679099531,96.4386118084036,1029.82001233546,766,656.444822563201,936.5,745,835,720,64.1198216597897
"2007/2008",2008,120,120,100,42.8262541674093,294.731443810492,73.1014176723882,106.710584524129,1247.50990374543,960,853.727123744901,1131,902.5,977,891,75.4875252619643
"2008/2009",2009,121,121,100,28.7428662159326,203.857574960698,90.464727706972,100.479479972258,1209.27466453029,922.5,804.129040899024,1086,888,1003,870,68.6429092751854
"2009/2010",2010,120,120,100,32.4571708527343,209.799725852323,89.2627482350945,96.0115103343042,1030.18052648478,807.5,728.300644897355,934.5,782,820,767.5,66.9042674744268
"2010/2011",2011,120,120,100,26.252095041762,229.431147389662,93.9392104599961,90.7745264053728,895.997248611693,664.5,532.906955769064,760,644.5,738,579.5,55.7916344726384
"2011/2012",2012,120,120,100,35.4854488875112,236.419981874878,80.037502320403,103.043523521824,1195.96174699706,975.5,850.6102744012,1093.5,919,964,914.5,73.8427499506001
"2012/2013",2013,121,121,100,35.0124346131988,218.554260730344,87.5370779813165,97.8641849858052,1179.3214386675,974,882.553499533088,1069,956,902,937.5,70.1100993219113
"2013/2014",2014,120,120,100,35.3536325864872,277.484574231933,83.3499929290091,97.8189926604294,1113.83020758491,860,702.836235554789,1004,814,928,767.5,65.6181218867125
"2014/2015",2015,120,120,100,51.2188106024358,292.832810129238,75.4027254738117,102.402215687655,1438.57753941178,1135.5,984.370217181326,1318.5,1076,1184,1061.5,76.3467805785676
"2015/2016",2016,120,120,100,28.8271057477707,210.022668481548,83.8149984326215,102.847903135096,1129.43404121132,867,741.883589098375,1030.5,817.5,960,805,71.4947131740221
"2016/2017",2017,121,121,100,37.2543085647358,222.973388005287,95.6739607046501,99.0166148579836,1173.93878909834,916.5,778.553701155465,1076.5,849,1017,841.5,67.5250103488372
"2017/2018",2018,120,120,100,31.1032717766521,223.4350828587,86.2235203157052,99.6402735223114,1119.78332796897,841.5,743.075260312804,954,840,895,795.5,69.2766343310179
"2018/2019",2019,120,120,100,42.9342142061439,305.985476028057,71.561014064693,101.636912182295,1235.41773999809,976,861.366669719877,1090,956,942,918,74.2575061099637
"2019/2020",2020,120,120,100,36.4504229097504,211.031997148252,93.0987684708473,99.8531747069396,1065.92889145595,825,716.736286706324,984.5,767.5,866,763,69.4699792571155
"2020/2021",2021,121,121,100,26.708193758385,164.938203077825,106.794635487038,95.3497843962514,938.762636523628,686.5,587.082978910876,834,650,766,630.5,60.718965376605
"2021/2022",2022,120,120,100,53.7469997544189,309.927679686802,73.6404334053343,100.016867481247,1351.59532857119,1117.5,1049.31114036692,1267.5,1083,1026,1083,75.6104091166085
"2022/2023",2023,120,120,100,35.5569989924901,241.139002736214,80.3287966572641,103.982200814432,1144.75790921909,915.5,808.886894685069,1053.5,866.5,931,859.5,74.0366235663028
"2023/2024",2024,120,120,100,27.2972212865189,178.843035743806,95.7721302444598,98.2824418417231,959.633224651814,686,568.0408414869,870,628.5,827,619,61.0639702458907
"2024/2025",2025,121,121,100,27.7162274052142,208.265307494248,93.3993195440666,99.707656739862,934.331395468645,684.5,592.860416631615,837,658,745,641,66.8940438229133
"2025/2026",2026,120,120,100,30.469760536491,219.207648375115,92.7762502981025,98.0842208238142,1029.91672610983,758.5,644.07114397975,907,728.5,842,695,65.791332386003
"2026/2027",2027,120,120,100,47.6690180885451,284.779273791319,74.5029527202866,99.1493574897814,1469.04891111053,1146.5,971.955195525793,1275.5,1130,1243,1062.5,72.7768961312427
"2027/2028",2028,120,120,100,47.2588150116311,273.179408900192,76.7944473252243,103.834881658505,1103.64760821938,865,760.487340580084,1012.5,812,872,807.5,73.5227420970787
