"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,55.2355309109346,304.334356181844,72.0205066154936,77.3503362964911,103.118079005635,1308.58318982022,1067.5,984.0337462295,1185,1043,960,1028.5,76.9076405334474
"2002/2003",2003,120,120,100,45.4993261498123,321.828988747849,71.6276937998433,61.8699529041533,97.8127042839349,1241.97844371519,945,786.09924000109,1093,911,1011,851,69.7495879436028
"2003/2004",2004,120,120,100,33.7698514523159,220.541815101789,93.9212753025709,50.4895388533821,95.4910589577309,1092.41317728561,890.5,797.736443622702,1000,858,865,844.5,68.8835515644719
"2004/2005",2005,121,121,100,42.2966257781443,245.462370627884,85.3399921360038,60.6817929941451,100.301928703026,1103.40758322684,835.5,751.81055753876,988.5,803.5,875,781.5,69.9979339497025
"2005/2006",2006,120,120,100,41.3017627991498,290.26975970646,71.350008816734,61.4308694078099,101.834782139274,1235.64449102407,1013,873.014742745482,1141,944.5,1010,932.5,74.8215979461661
"2006/2007",2007,120,120,100,20.8161470777228,182.863183473033,96.737093735804,39.7083891657479,95.3120376274645,911.034691049377,712,600.086747509992,826,661.5,730,651.5,62.9919734110338
"2007/2008",2008,120,120,100,52.9772703499276,328.443411775474,68.0676100435489,73.3102928893441,103.38996657094,1464.5918682219,1169.5,1023.82530721062,1356,1105.5,1181,1082.5,78.6146503507664
"2008/2009",2009,121,121,100,29.3316826378547,190.261032497672,106.633464142648,44.1567661704772,92.9220217120323,864.770038209255,646.5,580.841814942619,773.5,623,650,613,63.7093584454218
"2009/2010",2010,120,120,100,53.6101376263068,295.267941047782,71.503854687751,76.1917557053567,104.985855110098,1336.00068748369,1053.5,926.04477187592,1220.5,1011.5,1098,995,77.363328861729
"2010/2011",2011,120,120,100,32.9564329043886,287.976586654487,73.1865832021395,51.5256308935419,97.1904913221121,1174.50280200047,936.5,780.574228254812,1070.5,887,952,838,71.0719756137958
"2011/2012",2012,120,120,100,47.8300561966853,335.89164970947,68.273653918803,66.4359612484755,101.413375629667,1421.95875129202,1144,967.026103283692,1304,1076,1180,1048,77.2749488147258
"2012/2013",2013,121,121,100,43.5944273765172,239.944297155138,94.3364162798385,57.7234753071668,96.2452453313124,1128.95405793867,877.5,775.326289590961,995,837.5,892,814,67.4061870387179
