"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"1973/1974",1974,120,120,100,56.1287520525452,324.703035850044,77.962166301559,74.309321,98.0090416666667,1557.09446586558,1301,1144.57231288061,1474.5,1219.5,1290,1219,77.2503445919884
"1974/1975",1975,120,120,100,43.3936206896552,296.730366880674,75.3531027066415,67.550937,104.756916666667,1361.34193823591,1043,902.249164967575,1252.5,970.5,1132,964.5,76.0619487200107
"1975/1976",1976,120,120,100,35.5185878489327,273.176547878149,72.5305183593296,61.334129,105.155,1202.29527619465,876,766.230078105216,1056.5,845,941,813.5,74.5953904526114
"1976/1977",1977,121,121,100,27.2954844006568,240.986835159745,83.141134674434,44.875457,99.3055416666667,928.817021238863,680.5,588.202883660676,817,656.5,678,618,64.2167780062317
"1977/1978",1978,120,120,100,49.8705911330049,246.62786731789,81.022061067135,72.374722,103.780208333333,1537.27436562315,1200.5,1029.20714160756,1423,1106.5,1345,1099.5,74.1024834026978
"1978/1979",1979,120,120,100,20.2964860426929,154.968242198448,104.877375224469,38.283298,92.3540833333333,820.287148492775,595,516.502567469201,750.5,554.5,667,548,58.4156297025249
"1979/1980",1980,120,120,100,30.8535714285714,155.727546660633,96.5964418559973,57.28505,101.95575,1208.28263281128,849,681.563262717933,1122.5,753.5,1100,753.5,66.8424919635811
"1980/1981",1981,121,121,100,50.658776683087,309.23951593961,72.9976158612514,72.079755,102.449,1775.48917167196,1428,1248.22330437438,1676,1363,1525,1342,80.2838025415114
"1981/1982",1982,120,120,100,39.3524794745484,269.984417616536,81.7583812760491,54.615371,96.375125,1217.75612016814,988,840.741974314012,1125,924.5,1011,905,67.9155400589696
"1982/1983",1983,120,120,100,48.5228489326765,290.013146400834,76.9443472174335,67.558851,102.629541666667,1438.30530931288,1121.5,971.460286861468,1338,1034.5,1216,1031.5,76.8852735829742
"1983/1984",1984,120,120,100,39.7697454844007,234.98665288317,88.7224699216352,59.061874,99.0927083333333,1252.55767629482,944.5,829.780039477169,1153,894.5,1022,886,67.0456905706396
