"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"10513099999","1981-01-01","50.865917","7.142744","92.04","KOLN BONN, GM","  39.4","24","  32.8","24","1019.5","22","999.9"," 0"," 19.3","24"," 17.7","24"," 26.0"," 39.8","  44.6","*","  33.8","*"," 0.16","F","999.9","011100"
"10513099999","1981-01-02","50.865917","7.142744","92.04","KOLN BONN, GM","  41.4","24","  37.9","24","1016.7","24","999.9"," 0"," 10.1","24"," 11.3","24"," 17.1","999.9","  46.4","*","  33.8"," "," 0.51","F","999.9","010000"
"10513099999","1981-01-03","50.865917","7.142744","92.04","KOLN BONN, GM","  46.2","24","  39.9","24","1001.0","24","999.9"," 0"," 17.5","24"," 16.6","24"," 25.1","999.9","  51.8"," ","  42.8","*"," 0.47","F","999.9","010010"
"10513099999","1981-01-04","50.865917","7.142744","92.04","KOLN BONN, GM","  38.9","24","  33.0","24","1002.6","24","999.9"," 0"," 13.1","24"," 13.5","24"," 19.0","999.9","  44.6","*","  32.0","*"," 0.05","F","999.9","011110"
"10513099999","1981-01-05","50.865917","7.142744","92.04","KOLN BONN, GM","  35.9","24","  31.0","24","1017.1","24","999.9"," 0","  9.4","24"," 10.6","24"," 20.0","999.9","  37.4"," ","  32.0"," "," 0.08","F","999.9","011100"
"10513099999","1981-01-06","50.865917","7.142744","92.04","KOLN BONN, GM","  32.3","24","  30.6","24","1015.4","23","999.9"," 0","  3.1","24","  7.1","24"," 11.1","999.9","  33.8"," ","  30.2"," "," 0.63","F","999.9","001000"
"10513099999","1981-01-07","50.865917","7.142744","92.04","KOLN BONN, GM","  28.5","24","  26.1","24","1029.9","24","999.9"," 0","  4.0","24","  4.6","24"," 11.1","999.9","  32.0"," ","  14.0"," "," 0.05","F","999.9","001000"
"10513099999","1981-01-08","50.865917","7.142744","92.04","KOLN BONN, GM","  30.7","24","  27.3","24","1037.3","24","999.9"," 0","  4.1","24","  5.1","24","  8.9","999.9","  33.8"," ","  26.6"," "," 0.00","F","999.9","010000"
"10513099999","1981-01-09","50.865917","7.142744","92.04","KOLN BONN, GM","  34.7","24","  31.8","24","1028.0","24","999.9"," 0","  4.3","24","  7.6","24","  9.9","999.9","  37.4"," ","  32.0"," "," 0.06","F","999.9","010000"
"10513099999","1981-01-10","50.865917","7.142744","92.04","KOLN BONN, GM","  36.7","24","  33.0","24","1016.6","24","999.9"," 0"," 10.6","24","  7.6","24","  9.9","999.9","  37.4"," ","  33.8","*"," 0.24","F","999.9","010000"
"10513099999","1981-01-11","50.865917","7.142744","92.04","KOLN BONN, GM","  31.6","24","  24.4","24","1028.7","23","999.9"," 0"," 20.6","24","  3.8","24","  8.0","999.9","  37.4"," ","  21.2","*"," 0.00","F","999.9","000000"
"10513099999","1981-01-12","50.865917","7.142744","92.04","KOLN BONN, GM","  28.6","24","  25.9","24","1014.1","23","999.9"," 0","  5.1","24","  6.5","24"," 12.0","999.9","  33.8","*","  19.4"," "," 0.16","F","999.9","001000"
"10513099999","1981-01-13","50.865917","7.142744","92.04","KOLN BONN, GM","  30.3","24","  27.3","24","1014.0","23","999.9"," 0","  4.8","24","  6.8","24"," 12.0","999.9","  33.8"," ","  24.8","*"," 0.21","F","999.9","011000"
"10513099999","1981-01-14","50.865917","7.142744","92.04","KOLN BONN, GM","  32.9","24","  29.0","24","1004.4","24","999.9"," 0"," 12.2","24"," 11.1","24"," 20.0","999.9","  39.2","*","  23.0"," "," 0.24","F","999.9","011000"
"10513099999","1981-01-15","50.865917","7.142744","92.04","KOLN BONN, GM","  34.9","24","  31.5","24"," 990.6","24","999.9"," 0","  9.8","24"," 12.2","24"," 20.0","999.9","  39.2","*","  32.0","*"," 0.79","F","999.9","011100"
