"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","ACCESS-CM2",2001,NA
"SSP1 2050","ACCESS-CM2",2002,111.5
"SSP1 2050","ACCESS-CM2",2003,102
"SSP1 2050","ACCESS-CM2",2004,95.1666666666667
"SSP1 2050","ACCESS-CM2",2005,94
"SSP1 2050","ACCESS-CM2",2006,99.3333333333333
"SSP1 2050","ACCESS-CM2",2007,100
"SSP1 2050","ACCESS-CM2",2008,101.375
"SSP1 2050","ACCESS-CM2",2009,98.7083333333333
"SSP1 2050","ACCESS-CM2",2010,98.125
"SSP1 2050","ACCESS-CM2",2011,97.25
"SSP1 2050","ACCESS-CM2",2012,105.166666666667
"SSP1 2050","ACCESS-CM2",2013,98.25
"SSP1 2050","ACCESS-CM2",2014,104.083333333333
"SSP1 2050","ACCESS-CM2",2015,111.333333333333
"SSP1 2050","ACCESS-CM2",2016,104.916666666667
"SSP1 2050","ACCESS-CM2",2017,102.166666666667
"SSP1 2050","ACCESS-CM2",2018,99.0833333333333
"SSP1 2050","ACCESS-CM2",2019,114.208333333333
"SSP1 2050","ACCESS-CM2",2020,100.125
"SSP1 2050","ACCESS-CM2",2021,100.875
"SSP1 2050","ACCESS-CM2",2022,95.4583333333333
"SSP1 2050","ACCESS-CM2",2023,103
"SSP1 2050","ACCESS-CM2",2024,102.083333333333
"SSP1 2050","ACCESS-CM2",2025,101.333333333333
"SSP1 2050","ACCESS-CM2",2026,84.2083333333333
"SSP1 2050","ACCESS-CM2",2027,87.5
"SSP1 2050","ACCESS-CM2",2028,90.0833333333333
"SSP1 2050","ACCESS-CM2",2029,94.1666666666667
"SSP1 2050","ACCESS-CM2",2030,103.208333333333
"SSP1 2050","ACCESS-CM2",2031,93.0416666666667
"SSP1 2050","ACCESS-CM2",2032,91.2083333333333
"SSP1 2050","ACCESS-CM2",2033,101.291666666667
"SSP1 2050","ACCESS-CM2",2034,102
"SSP1 2050","ACCESS-CM2",2035,105.166666666667
"SSP1 2050","ACCESS-CM2",2036,100.041666666667
"SSP1 2050","ACCESS-CM2",2037,111.041666666667
"SSP1 2050","ACCESS-CM2",2038,105.958333333333
"SSP1 2050","ACCESS-CM2",2039,122.208333333333
"SSP1 2050","ACCESS-CM2",2040,94.25
"SSP1 2050","ACCESS-CM2",2041,86.8333333333333
"SSP1 2050","ACCESS-CM2",2042,103.25
"SSP1 2050","ACCESS-CM2",2043,106.583333333333
"SSP1 2050","ACCESS-CM2",2044,93.9583333333333
"SSP1 2050","ACCESS-CM2",2045,107.291666666667
"SSP1 2050","ACCESS-CM2",2046,115.125
"SSP1 2050","ACCESS-CM2",2047,98.9583333333333
"SSP1 2050","ACCESS-CM2",2048,104.083333333333
"SSP1 2050","ACCESS-CM2",2049,105.833333333333
"SSP1 2050","ACCESS-CM2",2050,99.9166666666667
"SSP1 2050","ACCESS-CM2",2051,113.166666666667
"SSP1 2050","ACCESS-CM2",2052,111.041666666667
"SSP1 2050","ACCESS-CM2",2053,98.7916666666667
"SSP1 2050","ACCESS-CM2",2054,102.041666666667
"SSP1 2050","ACCESS-CM2",2055,93
"SSP1 2050","ACCESS-CM2",2056,95.2916666666667
"SSP1 2050","ACCESS-CM2",2057,103.375
"SSP1 2050","ACCESS-CM2",2058,100.166666666667
"SSP1 2050","ACCESS-CM2",2059,103
"SSP1 2050","ACCESS-CM2",2060,102.25
"SSP1 2050","ACCESS-CM2",2061,106.583333333333
"SSP1 2050","ACCESS-CM2",2062,109.75
"SSP1 2050","ACCESS-CM2",2063,101.125
"SSP1 2050","ACCESS-CM2",2064,102.916666666667
"SSP1 2050","ACCESS-CM2",2065,92.9166666666667
"SSP1 2050","ACCESS-CM2",2066,96.75
"SSP1 2050","ACCESS-CM2",2067,89
"SSP1 2050","ACCESS-CM2",2068,99.125
"SSP1 2050","ACCESS-CM2",2069,102.333333333333
"SSP1 2050","ACCESS-CM2",2070,91.9583333333333
"SSP1 2050","ACCESS-CM2",2071,99
"SSP1 2050","ACCESS-CM2",2072,101.208333333333
"SSP1 2050","ACCESS-CM2",2073,92.2916666666667
"SSP1 2050","ACCESS-CM2",2074,100.25
"SSP1 2050","ACCESS-CM2",2075,100.5
"SSP1 2050","ACCESS-CM2",2076,104.333333333333
"SSP1 2050","ACCESS-CM2",2077,99.9166666666667
"SSP1 2050","ACCESS-CM2",2078,109.125
"SSP1 2050","ACCESS-CM2",2079,91.2083333333333
"SSP1 2050","ACCESS-CM2",2080,94.5
"SSP1 2050","ACCESS-CM2",2081,79.125
