"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.9020537190365,5128.00943864978,445
"2002/2003",2003,120,120,100,82.7179965405473,4379.55242096842,469
"2003/2004",2004,120,120,100,82.2145018745601,2404.92519013063,721
"2004/2005",2005,121,121,100,85.6899384204478,3247.63978879736,391
"2005/2006",2006,120,120,100,88.3574958022889,4593.57689099805,222
"2006/2007",2007,120,120,100,85.5200220328099,3754.58826142194,470
"2007/2008",2008,120,120,100,78.6474168017145,2630.79703177972,735
"2008/2009",2009,121,121,100,83.3156392903802,3084.4282538023,617
"2009/2010",2010,120,120,100,85.257597164715,3280.01886378985,456
"2010/2011",2011,120,120,100,89.5036297722036,2747.40696638951,231
"2011/2012",2012,120,120,100,82.5146907147709,2898.01942518738,421
"2012/2013",2013,121,121,100,85.8267805095384,3271.01995828224,625
"2013/2014",2014,120,120,100,81.5445112655914,2570.84607420769,639
"2014/2015",2015,120,120,100,68.0702813517214,4378.26065820607,1219
"2015/2016",2016,120,120,100,85.3716200137405,3714.44880289957,405
"2016/2017",2017,121,121,100,79.9941205631844,4943.53138657345,600
"2017/2018",2018,120,120,100,76.0418010745921,4424.25780783314,747
"2018/2019",2019,120,120,100,74.6870677130601,2690.81243032753,841
"2019/2020",2020,120,120,100,83.404752868295,4561.05092093325,491
"2020/2021",2021,121,121,100,86.420131625785,5103.959865137,352
"2021/2022",2022,120,120,100,75.6230975873395,2597.20115349861,938
"2022/2023",2023,120,120,100,79.8578180769268,4079.32872676477,577
"2023/2024",2024,120,120,100,89.0315468064791,4145.98995189392,233
"2024/2025",2025,121,121,100,90.0295808198139,3917.12399275694,344
"2025/2026",2026,120,120,100,84.0307390267435,3993.33062050538,444
"2026/2027",2027,120,120,100,76.3057161308889,1920.74851710093,1126
"2027/2028",2028,120,120,100,82.5414456298245,3631.43292882084,563
"2028/2029",2029,121,121,100,85.9859308907771,2430.15473462385,594
"2029/2030",2030,120,120,100,82.7540572233406,3013.12408554531,627
"2030/2031",2031,120,120,100,84.5033465629513,4457.39344719821,484
"2031/2032",2032,120,120,100,79.7450175638005,3504.826205611,678
"2032/2033",2033,121,121,100,84.5063707838126,3196.71828482859,502
