"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.7544790938461,6032.06259471688,358
"2002/2003",2003,120,120,100,84.6451554371223,5085.75799451672,420
"2003/2004",2004,120,120,100,85.495639658963,2973.89774443611,620
"2004/2005",2005,121,121,100,87.6032422157974,3835.60594481442,290
"2005/2006",2006,120,120,100,88.9337174040206,5483.71816442633,148
"2006/2007",2007,120,120,100,86.5533402895021,4405.96654002066,408
"2007/2008",2008,120,120,100,79.6560547810285,3023.18218654901,629
"2008/2009",2009,121,121,100,84.9000571882088,3659.33056216844,504
"2009/2010",2010,120,120,100,86.9760730993396,4000.63543481368,379
"2010/2011",2011,120,120,100,90.0021796903513,3497.17752965784,162
"2011/2012",2012,120,120,100,87.7647742759711,3416.17875445029,320
"2012/2013",2013,121,121,100,87.1097455890135,3977.64947277238,552
"2013/2014",2014,120,120,100,83.9230546506237,2992.55075402232,474
"2014/2015",2015,120,120,100,68.9423830914707,4758.35589987517,1070
"2015/2016",2016,120,120,100,87.8042493017692,4401.92693942937,330
"2016/2017",2017,121,121,100,81.818385114831,5616.7721293444,512
"2017/2018",2018,120,120,100,77.3706382522146,5114.29306714539,649
"2018/2019",2019,120,120,100,76.8473294359928,3103.67767154751,727
"2019/2020",2020,120,120,100,85.5609835987457,5274.11651049857,398
"2020/2021",2021,121,121,100,85.7420138545044,5928.97945846082,264
"2021/2022",2022,120,120,100,78.4476396051109,2947.44567906251,771
"2022/2023",2023,120,120,100,80.8331271216307,4569.51908238907,446
"2023/2024",2024,120,120,100,89.2757121230738,4949.63925938727,171
"2024/2025",2025,121,121,100,88.7208350811838,4641.4674683027,208
"2025/2026",2026,120,120,100,85.3724722069592,4727.19387261756,360
"2026/2027",2027,120,120,100,78.098064112367,2272.93650348415,991
"2027/2028",2028,120,120,100,83.5886859385569,4144.7113217311,427
"2028/2029",2029,121,121,100,88.4030877109885,2939.84663477051,476
"2029/2030",2030,120,120,100,84.4428699597906,3563.83250502055,486
"2030/2031",2031,120,120,100,85.2202603375363,5208.1285498077,377
"2031/2032",2032,120,120,100,81.2302826896712,4059.5466996762,578
"2032/2033",2033,121,121,100,87.488696541629,3725.39753466332,419
"2033/2034",2034,120,120,100,84.0464467750262,2784.33853203431,614
"2034/2035",2035,120,120,100,78.6334141229399,3021.17848603753,720
"2035/2036",2036,120,120,100,83.07865059501,4380.19246457471,367
"2036/2037",2037,121,121,100,88.5906801696665,4529.95330943726,389
"2037/2038",2038,120,120,100,82.6935792093254,2064.60792732239,662
"2038/2039",2039,120,120,100,84.8309338898844,5077.34118700959,365
"2039/2040",2040,120,120,100,88.1925640170712,6454.57673181454,192
"2040/2041",2041,121,121,100,88.4736437486863,4498.73400695715,330
"2041/2042",2042,120,120,100,88.6249498652442,2807.51025534142,321
"2042/2043",2043,120,120,100,81.1312233838462,8190.16373970546,297
"2043/2044",2044,120,120,100,85.7325749321335,2102.59338742914,534
"2044/2045",2045,121,121,100,88.4091837297428,3547.58843886666,277
"2045/2046",2046,120,120,100,81.7876710790188,2915.436485718,732
"2046/2047",2047,120,120,100,82.7279632718801,3154.6652768841,526
"2047/2048",2048,120,120,100,81.4034426691951,3379.84736977611,596
"2048/2049",2049,121,121,100,89.4314644878523,3099.2704010983,296
"2049/2050",2050,120,120,100,83.919007776899,2093.387868274,488
"2050/2051",2051,120,120,100,81.9551811562824,1670.50719387317,638
"2051/2052",2052,120,120,100,84.001880122215,4371.68190237973,473
"2052/2053",2053,121,121,100,81.9929487110012,5747.52590973768,464
"2053/2054",2054,120,120,100,87.2496828501098,5591.55689772731,321
"2054/2055",2055,120,120,100,87.303896200131,5043.98693311773,201
"2055/2056",2056,120,120,100,85.3075377488703,3965.59434910212,465
"2056/2057",2057,121,121,100,79.8313486548041,5445.22971636243,282
"2057/2058",2058,120,120,100,81.1211890615223,3978.99852618808,583
"2058/2059",2059,120,120,100,89.063284352781,4831.17789999908,218
"2059/2060",2060,120,120,100,79.3959563367116,2801.37098163459,765
"2060/2061",2061,121,121,100,86.8552252651261,4938.48098937841,329
"2061/2062",2062,120,120,100,75.3219001867601,6167.1761143608,459
"2062/2063",2063,120,120,100,80.1224110288167,2448.92494283058,634
"2063/2064",2064,120,120,100,84.5432576841395,2410.28985426063,644
"2064/2065",2065,121,121,100,82.7084979804586,4189.87826032611,560
"2065/2066",2066,120,120,100,86.5055258670491,4437.55831533857,378
"2066/2067",2067,120,120,100,88.2574711003272,3896.9543082146,228
"2067/2068",2068,120,120,100,83.7468504763037,2123.96737486403,665
"2068/2069",2069,121,121,100,86.5447821683756,6162.54521129373,311
"2069/2070",2070,120,120,100,81.284727974542,4165.57007794548,568
"2070/2071",2071,120,120,100,83.2898188492309,3753.41969444789,471
"2071/2072",2072,120,120,100,82.9455543810782,3964.45059817284,474
"2072/2073",2073,121,121,100,84.1442068087454,5541.78785939701,375
"2073/2074",2074,120,120,100,86.538373495694,5673.13433822896,272
"2074/2075",2075,120,120,100,71.7417634993471,6393.52294901293,629
"2075/2076",2076,120,120,100,82.6884798561932,6059.40832632966,495
"2076/2077",2077,121,121,100,88.8778312699051,5289.28933296539,140
"2077/2078",2078,120,120,100,82.4175235039438,2276.78974646609,639
"2078/2079",2079,120,120,100,83.0324891980072,1994.94416823611,658
"2079/2080",2080,120,120,100,87.8403363361431,3677.44278370589,313
"2080/2081",2081,121,121,100,89.5304455503556,5070.13510650676,149
"2081/2082",2082,120,120,100,86.573793626696,4556.65792808961,438
"2082/2083",2083,120,120,100,85.0231041238221,4396.11028200388,321
"2083/2084",2084,120,120,100,84.9877046493657,5941.40728619136,336
"2084/2085",2085,121,121,100,79.3761235254369,2546.99066931102,660
"2085/2086",2086,120,120,100,83.5746852858592,3525.24554842804,468
"2086/2087",2087,120,120,100,83.2487410421545,3447.54905615933,515
"2087/2088",2088,120,120,100,85.6499883850174,3110.53736809548,437
"2088/2089",2089,121,121,100,84.7183736862116,4312.83660015743,561
"2089/2090",2090,120,120,100,88.4597013260718,3095.4464455666,452
"2090/2091",2091,120,120,100,83.43026057319,1786.81703257002,635
"2091/2092",2092,120,120,100,84.2475887466426,3102.11432614177,570
"2092/2093",2093,121,121,100,84.8907177805413,2493.32536088582,606
"2093/2094",2094,120,120,100,83.3340785708806,5247.69654564466,399
"2094/2095",2095,120,120,100,84.1269142425372,4377.1229326427,555
"2095/2096",2096,120,120,100,88.8375793972864,3389.88148194458,299
"2096/2097",2097,121,121,100,81.6797604453004,6855.18462983705,252
"2097/2098",2098,120,120,100,76.042003608718,6351.66343339998,514
"2098/2099",2099,120,120,100,82.9482208150348,3614.38331240974,549
"2099/2100",2100,120,120,100,80.5224039287441,4058.29976746533,557
