"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.7391028533331,7200.15442557012,295
"2002/2003",2003,120,120,100,87.0471228233731,5760.14578707142,319
"2003/2004",2004,120,120,100,85.7439886859076,3625.89406283209,447
"2004/2005",2005,121,121,100,88.877657723694,4863.1436357678,201
"2005/2006",2006,120,120,100,87.396677868331,7190.64924421115,101
"2006/2007",2007,120,120,100,84.6344350004131,5518.9465978131,335
"2007/2008",2008,120,120,100,83.8213367584558,3428.79176016926,464
"2008/2009",2009,121,121,100,85.8989078610005,4619.33340480237,452
"2009/2010",2010,120,120,100,87.2226075227991,5173.88163851574,278
"2010/2011",2011,120,120,100,88.7948239508469,4928.91810036625,144
"2011/2012",2012,120,120,100,87.3429678395635,4195.419999543,201
"2012/2013",2013,121,121,100,88.2844588075091,4691.44394228829,408
"2013/2014",2014,120,120,100,84.9672608381231,3886.04835027165,373
"2014/2015",2015,120,120,100,73.6677658725073,4908.95519376721,811
"2015/2016",2016,120,120,100,88.362915348263,5096.51639122935,206
"2016/2017",2017,121,121,100,80.6901680854494,6592.97011844767,403
"2017/2018",2018,120,120,100,79.0531891156829,5808.81585622439,504
"2018/2019",2019,120,120,100,80.3905825558249,3387.71424820484,594
"2019/2020",2020,120,120,100,85.3419248379946,6298.90602539619,282
"2020/2021",2021,121,121,100,85.4180738211821,7270.06146545475,228
"2021/2022",2022,120,120,100,81.4557327324446,3434.57594505907,644
"2022/2023",2023,120,120,100,84.5704684335574,5116.39396397676,336
"2023/2024",2024,120,120,100,90.6528616838964,5959.76222059666,100
"2024/2025",2025,121,121,100,89.5918959375185,5724.64328192128,102
"2025/2026",2026,120,120,100,83.7962087462961,5890.95967415208,270
"2026/2027",2027,120,120,100,79.3247127050367,2944.39246579073,886
"2027/2028",2028,120,120,100,85.8452142475835,5054.53963264008,326
"2028/2029",2029,121,121,100,87.6924002330652,3716.57614785014,362
"2029/2030",2030,120,120,100,85.5331509289363,4245.27503700135,324
"2030/2031",2031,120,120,100,86.7898327010803,6076.6903221407,275
"2031/2032",2032,120,120,100,83.314156704153,4537.04460802022,475
"2032/2033",2033,121,121,100,87.2750642270912,4721.60793507379,330
"2033/2034",2034,120,120,100,86.3247816176799,3506.31277754344,474
"2034/2035",2035,120,120,100,81.2315184798754,3345.30264357803,600
"2035/2036",2036,120,120,100,87.1285472605459,5000.76454160735,274
"2036/2037",2037,121,121,100,87.6348201640649,5414.99902998935,305
"2037/2038",2038,120,120,100,84.7037159361598,2554.59153085062,513
"2038/2039",2039,120,120,100,84.6168628785663,6285.98833798803,320
"2039/2040",2040,120,120,100,88.4814945706703,7575.72282083519,83
"2040/2041",2041,121,121,100,90.151977620375,5107.5581586631,173
"2041/2042",2042,120,120,100,91.5031450066626,3529.23813534342,213
"2042/2043",2043,120,120,100,81.3880682851714,9375.91574495425,245
"2043/2044",2044,120,120,100,86.6837874432995,2729.2618296803,403
"2044/2045",2045,121,121,100,90.8379466812157,4381.41446820507,217
"2045/2046",2046,120,120,100,84.3079397419451,3360.26645812439,588
"2046/2047",2047,120,120,100,84.5335007922031,3570.2875382239,400
"2047/2048",2048,120,120,100,83.7115198964948,4017.81019442668,507
"2048/2049",2049,121,121,100,91.5463072814728,3884.14117564773,203
"2049/2050",2050,120,120,100,87.0668647466046,2590.88705712464,370
"2050/2051",2051,120,120,100,83.4517079885927,2007.59483003616,408
"2051/2052",2052,120,120,100,85.1607509126961,5012.39283776376,348
"2052/2053",2053,121,121,100,84.2015838012003,6366.55708853668,328
"2053/2054",2054,120,120,100,86.0915596287905,6808.52415726753,283
"2054/2055",2055,120,120,100,89.0725714228374,6132.23816219764,98
"2055/2056",2056,120,120,100,86.9718991386935,4409.02734281216,300
"2056/2057",2057,121,121,100,82.4280570077599,6018.28349887067,155
"2057/2058",2058,120,120,100,82.0688548111593,4884.90001327312,493
"2058/2059",2059,120,120,100,89.3468543596182,6011.62549760845,141
"2059/2060",2060,120,120,100,82.5153665212047,3080.95455540949,571
"2060/2061",2061,121,121,100,88.1919536677051,5975.77704809466,222
"2061/2062",2062,120,120,100,76.9553121316039,7025.6819702182,316
"2062/2063",2063,120,120,100,83.3405066563209,3123.60894166399,558
"2063/2064",2064,120,120,100,86.1936036675706,2925.23039562814,502
"2064/2065",2065,121,121,100,82.0755389907372,5466.34092713706,513
"2065/2066",2066,120,120,100,85.7861622171204,5801.29156581778,340
"2066/2067",2067,120,120,100,91.1628064231718,4605.06577946525,110
"2067/2068",2068,120,120,100,86.3695373007395,2879.81669356301,566
"2068/2069",2069,121,121,100,83.1443233674236,7943.27370816935,266
"2069/2070",2070,120,120,100,83.9392860397129,4958.56645831838,436
"2070/2071",2071,120,120,100,83.951062842998,4711.29981190059,382
"2071/2072",2072,120,120,100,86.1947500492915,4509.96995574329,303
"2072/2073",2073,121,121,100,82.4553065541986,6527.66117184516,254
"2073/2074",2074,120,120,100,84.2035720710355,7098.2234128071,238
"2074/2075",2075,120,120,100,74.8833781848498,6946.22070098203,529
"2075/2076",2076,120,120,100,79.5413940808139,6993.03817227297,362
"2076/2077",2077,121,121,100,89.7164605296075,6706.18048859201,96
"2077/2078",2078,120,120,100,86.2592710650861,2724.50810535252,450
"2078/2079",2079,120,120,100,83.9869887069035,2947.80864769034,603
"2079/2080",2080,120,120,100,87.8434683628529,4828.81835756078,251
"2080/2081",2081,121,121,100,90.022049778876,6436.52711533103,116
"2081/2082",2082,120,120,100,86.2549662677811,5687.83548492845,345
"2082/2083",2083,120,120,100,87.2367842322819,5019.2542359978,203
"2083/2084",2084,120,120,100,85.6251703414582,7033.72400220484,270
"2084/2085",2085,121,121,100,81.568518340604,3168.72592869308,508
"2085/2086",2086,120,120,100,85.2849058507145,4304.7992541166,361
"2086/2087",2087,120,120,100,86.8823371750423,4017.29455809668,441
"2087/2088",2088,120,120,100,89.1899653172804,3667.87726602238,259
"2088/2089",2089,121,121,100,84.0524082215652,5083.49826848973,465
"2089/2090",2090,120,120,100,90.1691588926333,3772.14990234468,309
"2090/2091",2091,120,120,100,84.1751660083119,2439.0057022227,538
"2091/2092",2092,120,120,100,85.8881930407624,3695.30116843432,447
"2092/2093",2093,121,121,100,87.567678845091,3020.25212663785,434
"2093/2094",2094,120,120,100,85.6761318077533,6151.63159027509,301
"2094/2095",2095,120,120,100,85.8173075926643,5087.04858778603,441
"2095/2096",2096,120,120,100,91.0541791898813,4272.81923045497,182
"2096/2097",2097,121,121,100,83.3187465252449,7635.59700508788,149
"2097/2098",2098,120,120,100,78.5348287162724,6775.80695906468,375
"2098/2099",2099,120,120,100,85.7113861212456,4212.79540924542,409
"2099/2100",2100,120,120,100,82.7643749860836,4722.30129113328,449
